HealthBoard,FinancialYear,Category breakdown,MetricType,Value
Wales,2009-10,total,Expenditure,5230830.077
Wales,2009-10,infectious_diseases_total,Expenditure,75470.46837
Wales,2009-10,cancers_tumours_total,Expenditure,352292.6521
Wales,2009-10,blood_disorders_total,Expenditure,48638.60667
Wales,2009-10,endocrine_nutritional_metabolic_problems_total,Expenditure,165598.3997
Wales,2009-10,diabetes,Expenditure,75954.5582
Wales,2009-10,other_endocrine_nutritional_and_metabolic_problems,Expenditure,89643.84146
Wales,2009-10,mental_health_problems_total,Expenditure,607446.5348
Wales,2009-10,general_mental_illness,Expenditure,306627.4371
Wales,2009-10,elderly_mental_illness,Expenditure,167445.2606
Wales,2009-10,child_adolescent_mental_health_services,Expenditure,43814.2631
Wales,2009-10,other_mental_health_problems,Expenditure,89559.57876
Wales,2009-10,learning_disability_problems_total,Expenditure,119782.2766
Wales,2009-10,neurological_system_problems_total,Expenditure,164611.2366
Wales,2009-10,eyevision_problems_total,Expenditure,113431.266
Wales,2009-10,hearing_problems_total,Expenditure,26277.51063
Wales,2009-10,circulation_problems_total,Expenditure,459837.0212
Wales,2009-10,coronary_heart_disease,Expenditure,180115.7398
Wales,2009-10,cerebrovascular_disease,Expenditure,73134.65531
Wales,2009-10,other_problems_of_circulation,Expenditure,206587.3607
Wales,2009-10,respiratory_problems_total,Expenditure,338337.3712
Wales,2009-10,dental_problems_total,Expenditure,187870.2517
Wales,2009-10,gastro_intestinal_problems_total,Expenditure,299618.0061
Wales,2009-10,skin_problems_total,Expenditure,103110.3586
Wales,2009-10,musculo_skeletal_system_problems_exc_trauma_total,Expenditure,331505.5898
Wales,2009-10,trauma_injuries_inc_burns_total,Expenditure,368930.5198
Wales,2009-10,genito_urinary_system_disorders_exc_infertility_total,Expenditure,232446.3524
Wales,2009-10,genital_tract_problems,Expenditure,104889.4866
Wales,2009-10,renal_problems,Expenditure,17656.1559
Wales,2009-10,chronic_renal_failure,Expenditure,35285.51563
Wales,2009-10,sexually_transmitted_infections,Expenditure,0.0
Wales,2009-10,other_problems_of_the_genito_urinary_system,Expenditure,74615.19419
Wales,2009-10,maternity_reproductive_health_total,Expenditure,183692.9922
Wales,2009-10,neonates_total,Expenditure,44929.23481
Wales,2009-10,poisoning_total,Expenditure,61569.28631
Wales,2009-10,healthy_individuals_includes_screening_total,Expenditure,137957.7505
Wales,2009-10,social_care_needs_total,Expenditure,47942.9295
Wales,2009-10,other_total,Expenditure,759532.7219
Wales,2009-10,general_medical_services,Expenditure,360506.2216
Wales,2009-10,open_access,Expenditure,64790.13911
Wales,2009-10,continuing_care,Expenditure,162265.4592
Wales,2009-10,other_phw_functions,Expenditure,0.0
Wales,2009-10,other_expenditure,Expenditure,171970.902
Wales,2010-11,total,Expenditure,5355032.405
Wales,2010-11,infectious_diseases_total,Expenditure,80741.54956
Wales,2010-11,cancers_tumours_total,Expenditure,347081.8851
Wales,2010-11,blood_disorders_total,Expenditure,45470.62354
Wales,2010-11,endocrine_nutritional_metabolic_problems_total,Expenditure,178041.573
Wales,2010-11,diabetes,Expenditure,84466.29335
Wales,2010-11,other_endocrine_nutritional_and_metabolic_problems,Expenditure,93575.27963
Wales,2010-11,mental_health_problems_total,Expenditure,636711.5062
Wales,2010-11,general_mental_illness,Expenditure,327713.2853
Wales,2010-11,elderly_mental_illness,Expenditure,176320.534
Wales,2010-11,child_adolescent_mental_health_services,Expenditure,41928.56283
Wales,2010-11,other_mental_health_problems,Expenditure,90749.12413
Wales,2010-11,learning_disability_problems_total,Expenditure,119724.9755
Wales,2010-11,neurological_system_problems_total,Expenditure,171250.679
Wales,2010-11,eyevision_problems_total,Expenditure,119226.0008
Wales,2010-11,hearing_problems_total,Expenditure,26561.02751
Wales,2010-11,circulation_problems_total,Expenditure,464444.9564
Wales,2010-11,coronary_heart_disease,Expenditure,170237.3794
Wales,2010-11,cerebrovascular_disease,Expenditure,71850.99114
Wales,2010-11,other_problems_of_circulation,Expenditure,222356.5859
Wales,2010-11,respiratory_problems_total,Expenditure,349257.2816
Wales,2010-11,dental_problems_total,Expenditure,188349.5564
Wales,2010-11,gastro_intestinal_problems_total,Expenditure,304548.2808
Wales,2010-11,skin_problems_total,Expenditure,106208.4748
Wales,2010-11,musculo_skeletal_system_problems_exc_trauma_total,Expenditure,334850.4469
Wales,2010-11,trauma_injuries_inc_burns_total,Expenditure,377076.3984
Wales,2010-11,genito_urinary_system_disorders_exc_infertility_total,Expenditure,258222.8973
Wales,2010-11,genital_tract_problems,Expenditure,108831.3277
Wales,2010-11,renal_problems,Expenditure,27076.09681
Wales,2010-11,chronic_renal_failure,Expenditure,35102.94639
Wales,2010-11,sexually_transmitted_infections,Expenditure,0.0
Wales,2010-11,other_problems_of_the_genito_urinary_system,Expenditure,87212.52639
Wales,2010-11,maternity_reproductive_health_total,Expenditure,192001.445
Wales,2010-11,neonates_total,Expenditure,43344.517
Wales,2010-11,poisoning_total,Expenditure,61897.48556
Wales,2010-11,healthy_individuals_includes_screening_total,Expenditure,142607.229
Wales,2010-11,social_care_needs_total,Expenditure,44077.15521
Wales,2010-11,other_total,Expenditure,763336.4605
Wales,2010-11,general_medical_services,Expenditure,329471.274
Wales,2010-11,open_access,Expenditure,69837.43755
Wales,2010-11,continuing_care,Expenditure,150407.3478
Wales,2010-11,other_phw_functions,Expenditure,25240.0
Wales,2010-11,other_expenditure,Expenditure,188380.4011
Wales,2011-12,total,Expenditure,5389459.054
Wales,2011-12,infectious_diseases_total,Expenditure,77967.02553
Wales,2011-12,cancers_tumours_total,Expenditure,356754.6848
Wales,2011-12,blood_disorders_total,Expenditure,40953.91874
Wales,2011-12,endocrine_nutritional_metabolic_problems_total,Expenditure,180530.6787
Wales,2011-12,diabetes,Expenditure,86277.11186
Wales,2011-12,other_endocrine_nutritional_and_metabolic_problems,Expenditure,94253.56683
Wales,2011-12,mental_health_problems_total,Expenditure,641841.7856
Wales,2011-12,general_mental_illness,Expenditure,316356.3515
Wales,2011-12,elderly_mental_illness,Expenditure,186407.7283
Wales,2011-12,child_adolescent_mental_health_services,Expenditure,42819.89858
Wales,2011-12,other_mental_health_problems,Expenditure,96257.80717
Wales,2011-12,learning_disability_problems_total,Expenditure,118619.0622
Wales,2011-12,neurological_system_problems_total,Expenditure,167405.0784
Wales,2011-12,eyevision_problems_total,Expenditure,122642.8018
Wales,2011-12,hearing_problems_total,Expenditure,26795.97657
Wales,2011-12,circulation_problems_total,Expenditure,453723.7454
Wales,2011-12,coronary_heart_disease,Expenditure,162256.7516
Wales,2011-12,cerebrovascular_disease,Expenditure,75272.97057
Wales,2011-12,other_problems_of_circulation,Expenditure,216194.0232
Wales,2011-12,respiratory_problems_total,Expenditure,354673.5639
Wales,2011-12,dental_problems_total,Expenditure,184004.6932
Wales,2011-12,gastro_intestinal_problems_total,Expenditure,314411.7589
Wales,2011-12,skin_problems_total,Expenditure,108037.0543
Wales,2011-12,musculo_skeletal_system_problems_exc_trauma_total,Expenditure,355409.0542
Wales,2011-12,trauma_injuries_inc_burns_total,Expenditure,357931.5479
Wales,2011-12,genito_urinary_system_disorders_exc_infertility_total,Expenditure,262804.566
Wales,2011-12,genital_tract_problems,Expenditure,110872.2651
Wales,2011-12,renal_problems,Expenditure,20869.18186
Wales,2011-12,chronic_renal_failure,Expenditure,39392.69762
Wales,2011-12,sexually_transmitted_infections,Expenditure,0.0
Wales,2011-12,other_problems_of_the_genito_urinary_system,Expenditure,91670.42143
Wales,2011-12,maternity_reproductive_health_total,Expenditure,191552.0008
Wales,2011-12,neonates_total,Expenditure,45756.06735
Wales,2011-12,poisoning_total,Expenditure,62481.99879
Wales,2011-12,healthy_individuals_includes_screening_total,Expenditure,146558.1106
Wales,2011-12,social_care_needs_total,Expenditure,42851.30254
Wales,2011-12,other_total,Expenditure,775752.5783
Wales,2011-12,general_medical_services,Expenditure,328289.4197
