Category breakdown,2009-10 ,2010-11 ,2011-12 ,2012-13 ,2013-14 ,2014-15 ,2015-16 ,2016-17 ,2017-18 ,2018-19 ,2019-20,2020-21,2021-22,2022-23
total,1202894.41,1214824.468,1226967.79,1241266.027,1253523.831,1326420.557,1379255.592,1432099.921,1473226.234,1544480.988,1635520.056,1851775.418,1939276.322,2042763.009
infectious_diseases_total,15915.43318,17633.53256,17328.11064,16660.86564,15950.36981,16455.83336,18414.15622,18005.41694,25650.07405,26147.29721,30551.12031,97456.52531,93834.47829,66315.5591
cancers_tumours_total,84041.21009,87886.91655,89985.80685,88700.2414,89671.52566,99766.44566,103617.6355,107621.5181,112017.3438,120426.3794,135296.7598,161493.7988,160019.2868,171799.058
blood_disorders_total,12447.76951,11177.28709,10093.21937,11861.92765,11869.50981,12182.97714,11628.77702,12994.02636,14121.36431,15333.28805,16286.53501,18434.89876,20009.07401,20462.05036
endocrine_nutritional_metabolic_problems_total,35691.8982,37837.06711,38162.46385,41885.54197,44570.29858,43431.80433,42628.05123,46399.22225,49560.70957,52350.91048,54772.90778,71543.12173,71061.11453,75788.59936
diabetes,15874.94463,17632.54841,16964.68543,18212.23328,18868.90328,20048.23645,20736.79314,21687.63673,23136.8106,25038.872,26897.11905,30235.69152,30997.7302,32699.48733
other_endocrine_nutritional_and_metabolic_problems,19816.95356,20204.51869,21197.77841,23673.30869,25701.3953,23383.56788,27462.82575,24711.58552,26423.89897,27312.03848,27875.78873,41307.43021,40063.38434,43089.11203
mental_health_problems_total,131440.3056,133359.9258,135842.9148,130349.4441,130850.4428,141280.2497,146006.0135,159764.0091,170873.3243,172777.4575,184797.4614,211925.7327,219943.2721,224460.3734
general_mental_illness,69951.30424,64900.90621,62519.13204,22627.69058,41792.57788,62957.97864,65629.50968,73501.59617,76102.12787,78954.3463,83659.12193,94735.13852,99430.09903,104320.802
elderly_mental_illness,32394.06581,38118.49842,40757.99922,36182.62883,35163.05813,40933.09234,44413.10023,51032.35978,55987.78125,54507.60698,57970.28156,66322.88167,62459.00455,62496.72519
