Category breakdown,2009-10 ,2010-11 ,2011-12 ,2012-13 ,2013-14 ,2014-15 ,2015-16 ,2016-17 ,2017-18 ,2018-19 ,2019-20,2020-21,2021-22,2022-23
total,713949.7026,746821.8168,758011.8784,764074.4254,783662.1627,822743.2106,891212.0,921837.3476,936264.6503,971937.4446,1032039.348,1221895.748,1286670.059,1368970.98
infectious_diseases_total,14481.57308,14564.01497,11060.07335,13025.315,12908.257,13328.01059,15413.81543,16637.47318,21518.76358,17627.35693,18045.9056,69549.06382,60810.09947,39497.28785
cancers_tumours_total,42799.67856,40945.39427,40639.58053,44289.67901,47558.50621,54550.77195,59732.8157,62558.79108,64530.40038,67823.68307,73268.62537,84402.96467,90791.84335,103981.6918
blood_disorders_total,8886.666109,7634.235048,5836.234202,5741.004716,7997.706557,8295.486308,10751.21027,9382.471014,12056.61927,13240.4893,13979.30691,15488.09042,19687.9669,16467.3572
endocrine_nutritional_metabolic_problems_total,26289.98566,26492.79489,27562.09696,30055.02796,30609.51678,34218.72195,36597.663,40966.88761,41218.49495,43797.09043,47056.92265,52103.87162,60242.64596,63132.86738
diabetes,11355.8453,10883.88651,11196.92066,12538.72869,13139.65688,14163.18033,15224.25719,17110.76002,17396.3612,18478.50253,21302.19881,20804.40149,22810.63155,22824.61573
other_endocrine_nutritional_and_metabolic_problems,14934.14035,15608.90838,16365.1763,17516.29928,17469.8599,20055.54162,25148.09171,23856.12759,23822.13375,25318.5879,25754.72385,31299.47013,37432.01441,40308.25165
mental_health_problems_total,96897.28789,101150.3774,102228.3407,101844.1653,105493.7187,107752.7588,106636.0397,111645.5285,115443.667,117422.9032,124424.2503,153754.1643,155623.6818,162923.1703
general_mental_illness,50381.80979,54726.52273,50384.96553,48679.67965,50401.16068,54596.61639,53598.47549,57769.35182,57554.33301,55401.91631,57732.33548,70947.10422,76357.98392,79188.16343
elderly_mental_illness,22933.59694,25285.77549,29530.95353,32731.91677,27922.8651,27242.12471,27039.80791,28732.56883,32852.42213,33023.28834,34540.59249,41494.0027,38115.18745,40096.16001
child_adolescent_mental_health_services,6619.636054,4929.220579,1630.946747,4251.213519,4593.629739,4560.351635,4302.770488,5077.696993,6272.539564,6814.528488,8618.096532,11083.99183,11523.07768,13234.72569
other_mental_health_problems,16962.2451,16208.85864,20681.47493,16181.35533,22576.06321,21353.66605,21694.98581,20065.9109,18764.37226,22183.17001,23533.22577,30229.06551,29627.4328,30404.12116
learning_disability_problems_total,13597.48857,17709.92155,16920.21545,18413.91343,20119.16262,21526.11386,22571.30371,23502.98082,24978.00156,25713.72768,29730.37323,33278.10072,34639.8915,40533.90212
neurological_system_problems_total,23902.10718,24000.39965,22311.13692,30339.56811,33413.68375,35506.43901,35780.32066,37597.49854,35015.41545,33727.88626,38254.06119,47447.87843,45400.31527,47884.63739
eyevision_problems_total,14329.98755,13746.39812,14596.80887,14309.63376,16941.00057,17955.82539,20244.78187,21229.56723,21875.75069,23474.2916,24473.50622,25578.73054,27905.92668,33305.85208
hearing_problems_total,4468.803071,4464.262278,4101.146893,4093.742005,4232.173343,4696.97076,5441.067385,5395.477703,5915.22867,5549.631774,5351.337463,6460.889349,6948.967503,7108.045675
circulation_problems_total,61071.43029,57538.75022,49275.92544,52990.11289,50551.45524,51615.66188,55082.89886,58911.60808,59226.43535,58160.09241,67295.16382,76514.64449,77030.92525,90025.8942
coronary_heart_disease,25709.19755,22439.51166,18597.05754,16233.0236,13563.93293,13826.69216,13616.19587,16640.56034,15075.56156,13051.06913,13500.15626,14863.04402,15037.28196,15105.15409
cerebrovascular_disease,10374.14781,7379.595722,6273.342279,9337.405837,8756.33602,10116.18758,10291.67018,10582.0282,10919.82348,9788.556235,10421.78174,15139.4707,15368.79688,14765.01398
other_problems_of_circulation,24988.08494,27719.64284,24405.52562,27419.68345,28231.18629,27672.78215,31175.03281,31689.01953,33231.05031,35320.46704,43373.22582,46512.12977,46624.84642,60155.72614
respiratory_problems_total,46939.71868,47385.04866,46339.27707,44429.8626,46209.65609,47498.52614,52964.81636,60202.3708,54363.20566,57044.3862,61353.18898,51791.95405,60353.60951,71654.28696
dental_problems_total,30079.29627,26934.56084,26720.92866,25778.37324,26233.80547,26601.15651,39507.26174,38268.27369,35853.30567,37544.34628,40221.19419,39478.54785,50348.72161,43980.21552
gastro_intestinal_problems_total,34817.31637,36440.47183,35533.20894,36899.46971,38939.61717,42916.44282,47750.84643,50546.57574,49718.7258,53493.71804,58826.63187,73760.4999,68505.22742,75377.98811
skin_problems_total,13916.68717,12981.86053,12869.21023,14882.87079,15988.08492,15681.98132,16920.04021,16305.64692,15949.80112,16915.79457,17418.58856,16635.99483,19105.32161,22276.28036
musculo_skeletal_system_problems_exc_trauma_total,40153.174,41802.41629,45981.52802,44608.88045,43305.11821,44456.47073,46538.66607,45959.15627,47066.17903,46674.60897,49379.11072,47453.51194,48442.41865,52581.00455
trauma_injuries_inc_burns_total,46478.28344,46698.74367,43545.38174,46151.27133,51343.22696,52411.09221,58126.67868,58742.23544,56910.04282,57273.21659,63885.40629,87605.89169,75161.27176,90403.30698
genito_urinary_system_disorders_exc_infertility_total,30508.88265,36102.37857,34562.79591,36214.68081,39689.48391,40342.58382,44791.18728,49331.34579,48169.03378,51343.88219,52304.0696,46685.92473,53635.65431,57118.44112
genital_tract_problems,12168.46654,12935.19869,11925.48573,8247.637666,8155.915506,7777.805343,8410.784678,9128.088937,10689.84213,9244.725933,9779.509498,8477.328903,9942.378371,8411.804843
renal_problems,1543.168771,3367.787049,2859.447787,9339.186282,6913.797698,6895.79441,7885.790733,13794.33349,14743.83295,17573.52955,18107.79914,15925.06216,17663.62152,16813.89058
chronic_renal_failure,6449.336516,6253.563805,5816.443206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sexually_transmitted_infections,0.0,0.0,0.0,1301.480594,5999.123718,5999.071689,6609.661356,1933.065201,1825.640229,2127.875165,2213.8286,2557.105263,2392.089994,2569.309651
other_problems_of_the_genito_urinary_system,10347.91082,13545.82903,13961.41919,17326.37627,18620.64699,19669.91238,21884.95051,24475.85817,20909.71847,22397.75154,22202.93236,19726.42841,23637.56443,29323.43604
maternity_reproductive_health_total,23788.86166,25810.51454,25880.32453,23359.56445,26695.85947,27369.55176,29038.32697,30157.04557,28827.1864,29982.47456,33974.91932,39073.46491,38854.28011,42528.40795
neonates_total,6714.073022,6465.24345,8067.271882,8617.617791,7339.812637,8029.252725,10006.45214,9778.160797,8488.673425,9437.254187,9987.934705,9402.272699,10877.2886,10815.86956
poisoning_total,8226.812293,9791.610788,8456.269238,9450.707878,9410.244093,8970.309807,9163.314715,10387.64424,11086.01069,10229.58392,11246.72685,12074.55866,9628.5691,10586.70575
healthy_individuals_includes_screening_total,23669.44068,22597.63312,21104.98845,18551.37572,18753.85874,19703.40809,21873.09036,26249.08891,24795.27273,28294.30301,30935.1175,41268.86682,52424.3726,50861.78072
social_care_needs_total,7158.243682,6879.279759,6372.65525,6586.995771,6271.371924,6663.373358,7111.6387,7103.693889,7936.961922,9367.641472,10143.28425,10892.00504,11571.54915,11261.96234
other_total,94773.90472,118685.5063,148046.4792,133440.5928,123656.8423,132652.3008,139167.7638,130977.8257,145321.4745,157799.082,150483.7224,181193.8562,208679.5104,224664.0236
general_medical_services,51996.12762,50222.18295,53391.47809,57974.42643,54794.00252,57085.57411,60173.37902,61893.25191,64630.74761,69546.56787,68455.31956,83433.03355,84286.03344,88662.54858
open_access,11169.53833,11461.822,8983.931457,8953.56671,8723.103494,10012.85007,9570.813152,11003.86467,12360.66631,11734.50698,12309.78953,13442.03024,13915.45717,13643.13676
continuing_care,18135.6621,23176.70912,21430.88566,26297.00145,20056.47816,21389.81398,22441.35382,23135.8132,28786.10307,30779.2878,28535.3621,31717.7699,29380.27102,29680.74765
other_phw_functions,0.0,3913.0,4189.337165,8031.911133,11001.0,11453.0,11965.0,9831.257466,10817.45641,11748.93375,13292.53949,11798.08238,17184.97087,20585.24838
other_expenditure,13472.57667,29911.79224,60050.84682,32183.68704,29082.25812,32711.06264,35017.2178,25113.63848,28726.50105,33989.78561,27890.71172,40802.94012,63912.77793,72092.34229
