Category breakdown,2009-10 ,2010-11 ,2011-12 ,2012-13 ,2013-14 ,2014-15 ,2015-16 ,2016-17 ,2017-18 ,2018-19 ,2019-20,2020-21,2021-22,2022-23
total,542301.9112,548012.379,559923.3621,560711.172,575413.978,595554.66,621512.983,650781.92,664524.0865,694862.7926,1088562.146,1225379.621,1293751.052,1348407.425
infectious_diseases_total,8010.725053,6095.275,6434.086,6040.607,6709.031,6985.265,7648.825,8543.671,14224.927,13293.756,17230.499,87900.45228,56698.249,42223.24662
cancers_tumours_total,38557.7957,32384.916,36395.689,37059.464,38981.941,41416.262,41919.102,42261.501,43071.803,45699.778,70181.889,79729.939,89850.446,91622.58756
blood_disorders_total,5634.139601,5227.934,3205.929,3785.982,4797.47,5754.008,5528.323,6156.798,6698.49,7617.455,16109.215,15352.855,14228.631,15512.70644
endocrine_nutritional_metabolic_problems_total,16963.93141,19021.65,18481.536,22386.357,23693.688,24320.988,24574.635,26376.263,30543.077,33367.549,50635.493,56698.212,61079.063,66116.83329
diabetes,7502.790705,9014.672,8634.45,10337.797,10402.836,10358.952,10475.7,11957.519,13862.824,15193.43,24728.497,24644.754,26351.366,27796.98646
other_endocrine_nutritional_and_metabolic_problems,9461.140706,10006.978,9847.086,12048.56,13290.852,13962.036,16617.509,14418.744,16680.253,18174.119,25906.996,32053.458,34727.697,38319.84683
mental_health_problems_total,70540.53078,77312.51,78365.233,65735.016,73506.125,74991.414,75363.434,77579.138,79601.562,83135.842,128870.256,150138.77,149635.311,163749.4002
general_mental_illness,40221.6651,47690.981,47003.664,38543.186,38926.436,40008.715,40068.902,43920.665,47239.652,47617.415,71342.007,82780.936,88056.33,91708.64282
elderly_mental_illness,19078.98303,18304.209,19470.641,15246.651,20145.706,21992.519,21994.623,22022.24,21391.163,20289.011,31000.58,33801.415,33467.992,40100.71286
child_adolescent_mental_health_services,3069.344911,3409.352,3842.609,4468.79,4397.77,4414.739,4877.92,4008.665,4901.035,6517.037,10147.66,12372.332,11297.869,12955.98977
other_mental_health_problems,8170.537739,7907.968,8048.319,7476.389,10036.213,8575.441,8421.989,7627.568,6069.712,8712.379,16380.009,21184.087,16813.12,18984.05479
learning_disability_problems_total,6587.478254,6812.524,7025.417,7047.041,6239.373,7019.756,6499.277,8161.745,7614.01,7286.383,11342.726,12747.522,13012.104,13560.18739
neurological_system_problems_total,14789.11679,14805.155,13328.795,21073.143,23484.905,27714.977,31069.768,32469.97,31252.949,32581.489,45278.604,48936.472,48992.546,57925.54284
eyevision_problems_total,11515.68369,11486.835,10480.687,12243.624,13770.745,14632.379,15596.981,19339.074,18998.337,16971.786,32021.56,23773.046,32061.997,34373.73074
hearing_problems_total,2006.464486,2042.695,2046.425,2127.443,2177.225,2737.829,2871.329,3442.755,3575.545,3568.25,7703.519,5859.432,6693.008,7904.867947
circulation_problems_total,44880.79894,46105.314,45337.324,45362.955,43848.428,45105.088,48660.523,50552.426,49254.147,51001.514,80501.825,84586.154,96925.465,99020.90445
coronary_heart_disease,16561.39692,16085.603,15466.565,12841.137,12123.91,12062.229,11793.744,12271.11,11925.171,11985.728,15788.228,16761.848,19328.111,18848.50144
cerebrovascular_disease,7531.57007,7322.628,7853.803,8130.851,8638.63,8907.938,9364.134,8120.871,8165.401,8624.955,13126.638,17119.539,18595.781,16610.17916
other_problems_of_circulation,20787.83194,22697.083,22016.956,24390.967,23085.888,24134.921,27502.645,30160.445,29163.575,30390.831,51586.959,50704.767,59001.573,63562.22384
respiratory_problems_total,39652.98928,37336.882,40781.391,42748.832,42527.719,44564.522,45878.353,49500.1855,50160.615,49436.126,74547.42,63555.267,73920.767,88249.35887
dental_problems_total,22616.92178,20751.551,18574.783,23246.751,20589.088,20960.694,23921.34,21171.196,21466.789,22677.747,33630.352,34011.089,35685.492,36278.579
gastro_intestinal_problems_total,30267.57572,29591.251,29155.316,30798.173,31288.636,33311.197,35988.579,39991.8,40216.787,43511.169,63706.853,78115.113,80546.1,94323.10235
skin_problems_total,11190.56852,10245.233,10536.304,13036.507,10459.006,11635.776,10061.261,12793.54,11041.989,13133.041,21031.927,25145.615,24239.953,29692.46551
