Category breakdown,2009-10 ,2010-11 ,2011-12 ,2012-13 ,2013-14 ,2014-15 ,2015-16 ,2016-17 ,2017-18 ,2018-19 ,2019-20,2020-21,2021-22,2022-23
total,879521.079,904083.2798,911190.0298,917180.9913,940765.0656,979846.9984,1043028.0,1099803.204,1119247.041,1157517.737,920094.8954,1071853.954,1120030.483,1170896.853
infectious_diseases_total,12915.40476,14008.46204,14840.87524,13322.73262,13987.74323,13757.57282,14554.23008,15102.95879,24331.61378,17365.81382,13370.24778,62217.04571,54955.88198,36520.39323
cancers_tumours_total,60696.70643,56088.37623,62948.09127,64470.99487,71445.28863,74489.73449,79449.32937,82437.7498,85975.51793,92930.65661,74291.04952,88163.59058,86911.17084,103336.9427
blood_disorders_total,7062.44736,6273.44203,6262.663656,5792.25297,6836.427913,7783.195361,9194.893179,9516.475089,12053.71137,11990.36814,10768.78857,11928.80281,16589.65332,15458.64325
endocrine_nutritional_metabolic_problems_total,27980.51726,29396.14735,30160.63221,31746.2058,32903.53777,35997.95659,37605.09599,39789.88431,39211.17917,43205.15887,34492.00745,39531.50749,43214.02632,49072.51178
diabetes,13895.65261,14621.16933,15400.36706,15032.48509,16036.82259,17161.02851,17989.45756,18874.3168,19690.24111,21625.02244,17865.1655,18594.29223,19149.11918,20810.32669
other_endocrine_nutritional_and_metabolic_problems,14084.86466,14774.97802,14760.26515,16713.72071,16866.71518,18836.92808,24033.06249,20915.56751,19520.93806,21580.13643,16626.84195,20937.21526,24064.90714,28262.18509
mental_health_problems_total,111269.0032,112062.9506,110625.5901,110372.0111,114320.6814,121568.4401,123481.8924,130925.6473,130551.5825,128168.9479,100646.4679,110360.4405,114067.6136,120487.567
general_mental_illness,49762.04586,47928.64333,51284.80525,42977.15166,45147.5154,56060.11911,54059.38234,46878.59698,56349.61086,58090.75676,44784.82301,51368.03292,52325.91689,61211.88087
elderly_mental_illness,38155.42032,44852.1608,40925.82786,38746.64317,37283.32149,43363.62002,45920.9396,49259.12708,44868.28998,43563.11581,35452.51256,39741.18077,35734.51093,27989.57606
child_adolescent_mental_health_services,6647.684244,7016.57577,6055.247504,3972.625187,4016.183502,5565.228641,5231.794814,5628.91834,5471.758081,6674.973175,6486.749187,3636.415493,7084.20304,7956.611164
other_mental_health_problems,16703.85281,12265.57073,12359.7095,24675.5911,27873.66101,16579.47232,18269.77566,29159.00489,23861.9236,19840.10213,13922.38315,15614.81133,18922.98272,23329.49894
learning_disability_problems_total,18401.21398,18656.56102,17265.91222,19537.76407,18963.71245,21266.35804,24530.07117,25153.55902,26171.94329,29347.11114,24774.28357,29837.94994,31908.6913,38619.08454
neurological_system_problems_total,26384.01837,27995.71653,26630.52873,38507.03111,41527.89294,42845.83714,49132.48202,51794.60249,48919.03923,51363.02256,42281.49045,46514.26842,47148.83588,52334.66067
eyevision_problems_total,20822.59134,21497.98632,21217.49366,20783.33824,21917.51998,21687.4225,23120.22294,27089.30004,27896.34723,30424.00473,24400.04584,23695.9905,24659.05586,28174.10655
hearing_problems_total,4768.265595,4292.68626,5478.294978,4293.429803,4671.204683,4954.489287,6157.833988,7057.151834,7314.395926,7325.860283,6254.054084,5308.509504,5981.107595,6476.016723
circulation_problems_total,73721.08994,76911.85617,78088.87007,74130.8879,72902.90719,75367.94114,78641.8716,80480.46713,82076.60819,88073.40426,75363.88752,86201.92957,86890.13702,91695.47531
coronary_heart_disease,29037.42029,29146.11192,28204.56492,22788.5184,19073.66715,19092.91349,17720.24104,18002.50275,18032.58775,18150.95773,12844.88258,17595.644,14628.32827,13449.43408
cerebrovascular_disease,11684.50807,11944.98366,12308.7768,13860.28608,15747.20009,15615.39088,15808.76569,16684.85545,15743.51938,15312.34825,13946.24254,17345.71618,16248.97849,15143.27756
other_problems_of_circulation,32999.89104,35820.76059,37575.52835,37480.91078,38082.03995,40659.63677,45112.86487,45793.10893,48300.50107,54610.09828,48572.7624,51260.5694,56012.83026,63102.76367
respiratory_problems_total,56529.03801,56258.89805,59370.16916,62893.58441,63289.61029,69562.61424,73744.99458,79083.55817,76076.67168,75368.89818,59793.39181,52813.3454,57404.22467,62430.76452
dental_problems_total,30396.46167,39109.89554,34576.28862,33730.41778,33284.37711,33549.81722,34138.18783,34208.28059,35278.61301,37676.98823,28669.97606,29296.40174,31470.36404,32782.66418
gastro_intestinal_problems_total,50743.16672,49645.87204,52075.27837,48817.35929,52819.11039,55890.31303,59074.67004,68139.273,63181.16209,68238.84485,56815.07945,61342.39774,68100.05589,73478.10122
skin_problems_total,16629.73978,17013.31848,18259.76061,21464.45435,21351.38663,21023.53231,22052.79101,23837.64143,23806.96738,23492.55396,19949.47915,20713.1414,21865.08137,21702.05429
