Category breakdown,2009-10 ,2010-11 ,2011-12 ,2012-13 ,2013-14 ,2014-15 ,2015-16 ,2016-17 ,2017-18 ,2018-19 ,2019-20,2020-21 ,2021-22 ,2022-23
total,1720.691321,1744.055738,1734.218756,1744.08535,1781.155047,1839.851772,1935.564861,1993.928562,2044.090088,2119.327239,2253.747894,2555.065178,2800.553888,2906.045226
infectious_diseases_total,23.622179,27.887423,25.990916,20.911059,22.568208,22.60771,24.016899,23.403536,34.541851,32.269569,34.635064,163.212051,131.73527,84.494329
cancers_tumours_total,106.61598,107.071026,103.427932,101.762017,107.461055,114.883679,119.583292,127.648284,131.551132,140.546166,152.090613,172.661864,188.677869,214.664182
blood_disorders_total,14.42864,14.352677,13.847644,11.319753,13.064567,13.146804,15.25522,14.933612,16.362236,19.876649,22.498021,25.605335,25.025745,23.87303
endocrine_nutritional_metabolic_problems_total,53.468254,59.441645,60.38153,62.587506,63.949204,67.441155,70.64107,75.111978,81.61082,84.222635,88.404341,104.123908,120.847033,124.168112
diabetes,25.772906,30.089256,30.744504,30.557347,31.577846,31.398936,32.040665,34.845205,36.081734,38.351916,40.178523,45.373554,50.481949,49.333112
other_endocrine_nutritional_and_metabolic_problems,27.695348,29.352389,29.637026,32.03016,32.371358,36.042219,46.337975,40.266774,45.529086,45.87072,48.225818,58.750354,70.365084,74.835
mental_health_problems_total,169.423174,188.074727,191.861615,189.600905,185.145953,192.123676,201.284518,193.391834,210.19228,216.327308,232.889804,253.840055,268.148221,290.005796
general_mental_illness,72.58985,99.572581,85.408542,83.610824,79.090574,71.285029,74.620728,65.367565,92.207799,97.68079,101.365987,118.967352,126.477835,134.187137
elderly_mental_illness,47.373689,37.322397,50.515444,54.88443,51.108683,61.864628,68.572179,70.740708,69.968321,70.817309,76.286102,77.063446,79.779429,84.614859
child_adolescent_mental_health_services,16.797664,11.615265,15.290719,17.483385,14.94054,14.370578,12.438986,13.528214,14.320232,15.157677,22.998156,21.040797,24.2107,31.600179
other_mental_health_problems,32.661979,39.564483,40.64691,33.622265,40.006156,44.603441,45.652625,43.755347,33.695928,32.671532,32.239559,36.76846,37.680257,39.603621
learning_disability_problems_total,39.281482,39.626032,37.9794,35.423622,42.656953,41.425421,46.380436,50.032702,58.192289,59.436236,58.071549,71.469011,62.950967,69.912945
neurological_system_problems_total,54.901738,59.307486,55.603881,81.54658,89.933243,89.277907,107.340253,92.829293,85.68276,87.343561,87.385945,111.59418,111.398266,117.040809
eyevision_problems_total,33.347492,35.461443,35.562386,36.877298,38.375659,43.123333,44.427132,52.290032,56.018037,54.412114,58.560579,50.600035,56.793021,60.67752
hearing_problems_total,7.287377,8.195528,7.243571,6.767881,7.102097,7.341518,7.718498,7.521088,8.576488,8.544054,9.270311,7.582636,11.692371,10.791279
circulation_problems_total,150.986811,143.812814,135.083155,136.845424,136.996011,139.479497,137.655758,141.365611,145.32564,146.216679,156.875231,193.68798,198.548979,207.066682
coronary_heart_disease,67.479407,51.061676,49.182778,40.5691,38.88654,36.589321,35.446456,34.085545,31.768176,29.065331,28.465445,33.929008,35.274234,29.322444
cerebrovascular_disease,18.192578,17.18772,15.436287,19.606243,18.610539,19.428317,21.430435,21.699026,21.026346,22.904073,23.861456,34.704462,30.114783,35.23402
other_problems_of_circulation,65.314827,75.563417,70.464091,76.670081,79.498932,83.461859,80.778867,85.58104,92.531118,94.247274,104.54833,125.054511,133.159962,142.510217
respiratory_problems_total,109.876034,115.554875,114.488994,114.835855,119.093336,121.410069,129.436269,131.122775,126.237457,129.829198,139.003174,132.046146,139.40711,151.489585
dental_problems_total,62.812507,53.849259,56.591394,55.434253,54.614813,65.075612,68.611058,72.118185,72.550947,61.80742,63.787085,67.835225,83.211008,71.517541
gastro_intestinal_problems_total,97.950354,101.312281,103.561471,100.127036,102.845432,109.420972,118.675327,123.274806,118.917355,123.431387,135.832784,152.530615,162.112039,190.246839
skin_problems_total,33.393125,39.254539,40.081533,45.056995,47.56437,47.915384,49.236564,48.394051,43.684671,45.325364,48.239194,50.396223,51.717643,54.689638
musculo_skeletal_system_problems_exc_trauma_total,112.176083,113.566188,112.883348,116.914909,115.55401,115.536403,120.412066,129.661634,128.95318,124.441227,124.320737,85.257412,127.98267,151.535031
trauma_injuries_inc_burns_total,118.365126,115.744986,108.048822,114.271352,116.013162,120.288368,131.459745,134.475156,137.37892,147.024483,158.762791,181.044971,213.309438,231.938787
genito_urinary_system_disorders_exc_infertility_total,70.982379,78.361013,80.66924,77.072595,78.089282,81.175783,87.717142,86.917867,79.261076,85.07988,88.018909,96.97584,112.894033,117.708671
genital_tract_problems,32.524853,36.669776,33.042043,18.907678,19.222779,17.4953,19.437951,20.549896,21.220498,21.342632,21.795053,18.060472,26.963641,26.216679
renal_problems,4.842582,5.183527,4.898665,22.678139,16.574641,18.176127,18.099231,27.836095,27.211016,30.692283,33.685886,38.831171,41.807779,44.65277
chronic_renal_failure,12.243925,11.104814,11.318774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sexually_transmitted_infections,0.0,0.0,0.0,0.884412,7.073801,8.043884,8.33749,0.058429,0.084624,0.206278,0.16192,0.114245,0.112616,0.104003
other_problems_of_the_genito_urinary_system,21.371019,25.402896,31.409758,34.602366,35.218062,37.460472,41.842471,38.473447,30.744939,32.838688,32.376051,39.969952,44.009998,46.735219
maternity_reproductive_health_total,61.391844,63.941961,59.894943,63.895507,62.621978,63.949512,63.470612,66.685252,67.088194,72.857174,77.47651,89.766728,97.367955,104.763732
neonates_total,14.923308,17.746439,12.419209,15.060956,17.791159,16.798549,18.376329,16.098954,16.367826,15.549687,18.178157,26.906578,21.533519,24.749945
poisoning_total,16.316142,19.698052,17.185885,18.274548,19.774337,18.464299,20.166302,20.243215,20.255652,20.32726,21.992696,25.12839,22.942996,26.610669
healthy_individuals_includes_screening_total,45.725312,47.670921,47.229456,46.725197,38.987052,38.505992,41.881656,46.000971,43.810874,42.400742,46.916096,55.477823,73.015732,71.34942
social_care_needs_total,18.917997,12.864793,11.504317,7.852363,13.83178,13.595121,17.390735,17.999722,18.86309,17.529098,21.026924,19.711312,21.36882,21.492837
other_total,304.497975,281.25963,302.678113,284.92174,287.121385,296.865007,294.427977,322.408004,342.667312,384.529347,409.511378,417.61086,497.873185,485.257846
general_medical_services,113.043641,110.403718,110.602235,118.599325,107.342693,114.391159,108.589894,102.076793,104.326871,123.857401,118.691531,142.879284,153.873979,140.186524
open_access,17.084388,18.483665,29.416872,21.029684,19.262547,21.288738,22.239729,23.796225,23.673074,22.677908,25.596625,20.246235,26.911559,34.494734
continuing_care,117.950737,76.201578,63.023073,61.245819,72.278142,88.260834,69.731873,83.688072,64.563673,63.122578,59.188408,89.081691,91.097496,85.365292
other_phw_functions,0.0,8.199688,8.87453,11.894352,22.963825,23.729584,24.726704,19.883138,21.964418,23.669741,26.559051,23.320083,34.636277,41.617222
other_expenditure,56.419209,67.970982,90.761403,72.15256,65.274178,49.194693,69.139777,92.963776,128.139276,151.201719,179.475762,142.083567,191.353874,183.594073
