Category breakdown,2009-10 ,2010-11 ,2011-12 ,2012-13 ,2013-14 ,2014-15 ,2015-16 ,2016-17 ,2017-18 ,2018-19 ,2019-20,2020-21 ,2021-22 ,2022-23
total,1757.140429,1771.110928,1782.303154,1799.134436,1813.599686,1913.841745,1989.234441,2061.091441,2115.840998,2211.554333,2337.930118,2632.752481,2822.415902,2968.265098
infectious_diseases_total,23.248633,25.708193,25.170951,24.148842,23.077013,23.743496,26.557858,25.913562,36.838523,37.440518,43.671971,138.55833,136.566368,96.360742
cancers_tumours_total,122.764065,128.131662,130.714097,128.565235,129.736864,143.949208,149.442765,154.889883,160.878814,172.439469,193.402929,229.603004,232.891504,249.635002
blood_disorders_total,18.183208,16.295536,14.661491,17.193093,17.17282,17.578354,16.771629,18.701123,20.281041,21.955854,23.281146,26.209726,29.121136,29.732666
endocrine_nutritional_metabolic_problems_total,52.137309,55.163231,55.435098,60.710371,64.484358,62.666098,61.480402,66.778189,71.178872,74.961676,78.296338,101.716077,103.422095,110.125675
diabetes,23.189489,25.706758,24.643037,26.397449,27.29955,28.926837,29.907686,31.213047,33.228985,35.853355,38.448678,42.987444,45.113987,47.514443
other_endocrine_nutritional_and_metabolic_problems,28.94782,29.456473,30.792061,34.312922,37.184808,33.73926,39.608321,35.565142,37.949887,39.10832,39.847659,58.728633,58.308108,62.611231
mental_health_problems_total,192.002784,194.427449,197.326497,188.933048,189.314568,203.847896,210.577497,229.933838,245.407512,247.401385,264.162796,301.304355,320.104661,326.155256
general_mental_illness,102.18209,94.620011,90.815788,32.797367,60.465549,90.839672,94.654306,105.784176,109.297539,113.055342,119.588372,134.689212,144.710215,151.584787
elderly_mental_illness,47.319966,55.573534,59.205393,52.444369,50.873952,59.060801,64.054892,73.446244,80.409404,78.049866,82.866894,94.294227,90.902614,90.811733
child_adolescent_mental_health_services,18.038615,18.790969,21.308085,18.833033,18.024491,17.537593,23.184642,24.711478,28.104329,27.931267,31.465288,33.548452,46.988494,44.264166
other_mental_health_problems,24.462113,25.442935,25.997231,84.858279,59.950576,36.40983,28.683657,25.99194,27.59624,28.364909,30.242242,38.772465,37.503338,39.49457
learning_disability_problems_total,48.163459,45.194474,44.597375,40.366652,35.810828,40.603578,40.726138,49.003717,53.296702,59.396042,54.58074,59.417086,60.899988,60.878861
neurological_system_problems_total,58.679606,61.434227,64.62324,101.134271,103.783469,109.074546,121.776251,121.971993,111.141477,115.243871,121.827156,137.2082,142.059406,152.492235
eyevision_problems_total,40.233091,42.596129,48.066411,44.11952,42.985007,48.137798,47.781964,53.039935,58.731888,70.509056,64.594648,65.885932,64.892715,77.257132
hearing_problems_total,10.085017,10.744994,10.098706,7.778702,12.833471,11.112447,13.057349,13.570582,13.015186,14.256461,15.308206,13.338869,15.92607,17.263744
circulation_problems_total,166.015022,167.521518,172.183346,155.926352,151.435196,157.464842,150.086049,148.41146,159.547617,166.575903,180.953992,190.365092,216.251651,241.650797
coronary_heart_disease,57.501321,59.469536,59.043231,41.702872,39.142417,40.541241,30.282367,34.892667,30.693247,29.855004,32.304379,35.334883,38.321689,43.839431
cerebrovascular_disease,29.25005,30.250065,35.660588,28.813376,29.983111,30.489935,24.695508,25.455638,31.897547,31.77215,35.286182,34.809135,41.965649,51.73971
other_problems_of_circulation,79.263658,77.801917,77.479527,85.410104,82.309668,86.433666,95.108174,88.063155,96.956823,104.94875,113.36343,120.221073,135.964312,146.071657
respiratory_problems_total,115.319618,126.57033,124.887905,125.972915,117.782205,129.922782,132.298201,134.034013,135.355037,144.599343,157.495172,132.040048,151.94583,172.720781
dental_problems_total,57.717022,63.932745,64.880378,66.032222,63.115761,55.663311,53.106144,53.116218,52.783279,56.127269,59.20863,61.039124,68.766104,67.672665
gastro_intestinal_problems_total,106.548194,106.935365,112.104147,107.401569,109.09974,117.291176,128.015521,132.166156,124.636732,137.106023,149.841155,160.846463,174.824943,182.991265
skin_problems_total,37.599773,39.23319,37.454668,47.006847,51.522533,48.13097,53.826915,52.867431,54.918166,56.380711,59.651532,62.46859,62.516293,69.068875
musculo_skeletal_system_problems_exc_trauma_total,114.634451,113.397593,124.575906,117.436803,117.200301,124.355099,113.803999,116.079078,120.357685,128.837395,134.137292,109.21564,121.642038,156.803253
trauma_injuries_inc_burns_total,123.024716,133.694387,127.84919,115.821297,123.159375,134.886504,140.083708,138.946565,139.971119,156.063696,171.21651,198.370367,212.359327,235.488004
genito_urinary_system_disorders_exc_infertility_total,82.322468,90.740406,94.652573,96.61013,96.241523,114.111425,124.606836,119.008205,112.453154,119.070846,123.571765,132.487838,135.631814,138.780549
genital_tract_problems_total,38.130745,38.96363,41.173078,20.038552,17.128315,21.215628,22.905373,21.039883,19.730028,21.945645,23.302286,20.389013,23.179736,25.700262
renal_problems,10.105476,11.638588,5.403253,18.80632,33.869388,41.446381,46.073457,41.210443,41.922864,43.747106,46.91655,54.894142,55.141243,56.246674
chronic_renal_failure,9.118993,10.807723,15.487115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sexually_transmitted_infections,0.0,0.0,0.0,12.583368,3.852946,0.416987,0.266153,0.3269,0.329205,0.099476,0.128661,0.159244,0.133905,0.093102
other_problems_of_the_genito_urinary_system,24.967253,29.330466,32.589127,45.181891,41.390875,51.032429,55.361853,56.430979,50.471056,53.278618,53.224269,57.045439,57.17693,56.740511
