Category breakdown,2009-10 ,2010-11 ,2011-12 ,2012-13 ,2013-14 ,2014-15 ,2015-16 ,2016-17 ,2017-18 ,2018-19 ,2019-20,2020-21 ,2021-22 ,2022-23 
total,1851.497995,1870.655872,1909.541382,1903.820032,1949.406038,2012.505314,2095.281864,2184.616356,2221.894097,2313.787544,2426.365397,2724.058592,2926.224267,3036.700601
infectious_diseases_total,27.349786,20.806395,21.942563,20.510076,22.729072,23.60469,25.786178,28.680335,47.562281,44.266188,38.406155,195.405553,128.240894,95.089478
cancers_tumours_total,131.641951,110.546834,124.122476,125.830469,132.064277,139.95432,141.320192,141.868057,144.014321,152.173319,156.432876,177.242237,203.224998,206.339984
blood_disorders_total,19.235776,17.845702,10.933379,12.854797,16.253024,19.444012,18.637414,20.667817,22.396984,25.364968,35.906854,34.129894,32.182517,34.935617
endocrine_nutritional_metabolic_problems_total,57.917342,64.930944,63.028729,76.009891,80.270241,82.185769,82.847484,88.542742,102.123435,111.108869,112.864671,126.041962,138.149481,148.899378
diabetes,25.615624,30.77184,29.446601,35.100612,35.243063,35.005092,35.316308,40.140315,46.351558,50.591814,55.11892,54.786086,59.601889,62.600609
other_endocrine_nutritional_and_metabolic_problems,32.301717,34.159105,33.582128,40.909279,45.027177,47.180676,56.021944,48.402426,55.771877,60.517055,57.745751,71.255875,78.547592,86.29877
mental_health_problems_total,240.835683,263.908456,267.253816,223.194483,249.026422,253.411868,254.069731,260.426187,266.154748,276.829725,287.24711,333.763349,338.447244,368.774224
general_mental_illness,137.322644,162.794523,160.299512,130.86825,131.876236,135.19792,135.082687,147.437721,157.949886,158.558758,159.018737,184.024702,199.167042,206.533786
elderly_mental_illness,65.138437,62.481939,66.401935,51.767971,68.250273,74.317379,74.149593,73.926678,71.523215,67.559325,69.099164,75.141641,75.698374,90.309395
child_adolescent_mental_health_services,10.479192,11.63792,13.104688,15.173181,14.898907,14.918338,16.444737,13.456728,16.387037,21.700743,22.618765,27.504095,25.553679,29.177726
other_mental_health_problems,27.89541,26.994074,27.447682,25.385082,34.001006,28.978231,28.392715,25.60506,20.29461,29.010899,36.510444,47.092912,38.028151,42.753317
learning_disability_problems_total,22.490614,23.254745,23.959215,23.927288,21.137949,23.721242,21.910753,27.398244,25.458105,24.262549,25.282523,28.338154,29.430959,30.538418
neurological_system_problems_total,50.492207,50.537818,45.456017,71.551048,79.562919,93.654776,104.744266,108.998768,104.496954,108.491409,100.92436,108.787363,110.812027,130.452063
eyevision_problems_total,39.316227,39.210639,35.742937,41.571593,46.652974,49.445907,52.581478,64.919532,63.522593,56.513469,71.374892,52.848251,72.518274,77.411861
hearing_problems_total,6.850363,6.972798,6.97905,7.223449,7.376073,9.251704,9.679997,11.557019,11.955146,11.88173,17.170863,13.025707,15.138339,17.802273
circulation_problems_total,153.229608,157.381803,154.616689,154.023866,148.551119,152.419644,164.047275,169.699946,164.685526,169.827294,179.435638,188.03776,219.227376,223.001472
coronary_heart_disease,56.54303,54.908664,52.746586,43.600369,41.073773,40.760826,39.759777,41.193012,39.872847,39.910654,35.191386,37.262131,43.716592,42.448042
cerebrovascular_disease,25.713881,24.995999,26.784312,27.607221,29.266229,30.101809,31.56893,27.261033,27.301729,28.71979,29.258798,38.05729,42.060198,37.407196
other_problems_of_circulation,70.972697,77.47714,75.085791,82.816277,78.211116,81.557009,92.718567,101.2459,97.51095,101.196851,114.985454,112.71834,133.450585,143.146233
respiratory_problems_total,135.381102,127.450511,139.079308,145.14796,144.076778,150.592957,154.667857,166.167669,167.71638,164.61479,166.163486,141.285417,167.195027,198.743255
dental_problems_total,77.217477,70.836011,63.346735,78.931244,69.752377,70.830624,80.645057,71.0698,71.776077,75.513453,74.96083,75.607753,80.713946,81.701703
gastro_intestinal_problems_total,103.337928,101.010579,99.430183,104.57109,106.00065,112.565589,121.326857,134.248875,134.468326,144.885583,142.000256,173.652427,182.180298,212.421718
