Category breakdown,2009-10 ,2010-11 ,2011-12 ,2012-13 ,2013-14 ,2014-15 ,2015-16 ,2016-17 ,2017-18 ,2018-19 ,2019-20,2020-21,2021-22 ,2022-23 
total,1759.487828,1820.129144,1804.716096,1808.830209,1867.24934,1927.955855,2035.853521,2152.064683,2204.336252,2275.281611,2420.843751,2767.072904,2936.393774,3048.887428
infectious_diseases_total,22.718707,23.716777,27.834298,24.193803,25.318123,27.762749,30.992134,29.198583,51.402731,48.687783,47.06053,152.605736,150.243458,102.424608
cancers_tumours_total,127.030112,132.434672,130.053134,138.787552,143.6117,143.224843,161.140164,168.365482,159.541916,165.49722,180.392829,230.187621,227.958146,239.77779
blood_disorders_total,12.230531,12.296322,13.135463,14.552759,15.583283,15.860631,16.202722,20.187886,19.041849,20.862793,26.642371,33.155242,36.324113,35.445225
endocrine_nutritional_metabolic_problems_total,53.728702,60.290114,60.518453,61.056792,68.591188,73.065644,76.370491,80.513348,80.72083,91.526395,96.617203,111.487431,127.223958,142.210457
diabetes,23.496311,29.926748,31.563345,30.952294,35.630978,35.339751,39.383996,41.507627,41.38256,46.631575,50.476866,53.829486,59.632386,68.88135
other_endocrine_nutritional_and_metabolic_problems,30.232391,30.363366,28.955107,30.105035,32.96021,37.725893,45.963332,39.005721,39.33827,44.89482,46.140337,57.657946,67.591572,73.329107
mental_health_problems_total,190.750437,192.872079,198.904331,190.873614,199.237778,201.848776,200.922475,210.994434,217.974135,220.953096,237.451565,266.293852,278.039253,300.68075
general_mental_illness,109.72811,111.100882,114.864599,108.700399,104.362965,103.784714,109.127936,103.90932,104.03477,108.517927,128.641534,129.490345,136.575939,145.336472
elderly_mental_illness,48.516416,43.909047,45.078522,44.753469,54.442637,55.590527,51.953813,61.786169,62.91275,64.051207,58.562153,81.595757,84.055116,87.76535
child_adolescent_mental_health_services,8.141152,9.952787,10.333441,12.389504,12.387735,11.867695,12.184711,16.992148,17.108485,15.851988,20.574117,22.043942,25.714562,32.276534
other_mental_health_problems,24.364759,27.909362,28.627768,25.030242,28.044442,30.60584,27.656016,28.306797,33.91813,32.531974,29.673762,33.163807,31.693637,35.302394
learning_disability_problems_total,55.073419,53.043833,58.22446,62.681785,63.638704,63.424324,62.134672,59.623606,61.445662,61.956462,74.251141,76.643819,73.340435,75.103418
neurological_system_problems_total,48.118405,52.499375,49.425585,69.759502,82.253518,94.141561,95.872416,109.706799,99.653296,98.056269,98.931982,109.978708,124.424006,123.571962
eyevision_problems_total,41.558762,42.954273,42.983552,41.035614,40.561789,46.612594,49.521401,57.449358,62.177417,66.539726,62.408378,67.036448,81.767077,70.097065
hearing_problems_total,6.81244,5.676035,6.902927,6.731476,5.998878,5.995977,9.360357,9.172591,9.962001,10.272838,10.512803,8.569436,11.263643,12.137415
circulation_problems_total,160.488627,168.224201,157.471057,151.956639,146.371511,149.256795,162.651416,164.953416,174.777949,192.080151,200.815382,213.55386,240.145332,252.934825
coronary_heart_disease_total,60.722435,67.625824,62.731265,47.177687,42.968601,38.197671,42.045729,41.377898,36.93932,39.11558,38.9252,42.620102,45.104155,43.372029
cerebrovascular_disease,23.806111,25.221268,25.576968,26.570568,27.48706,26.372739,30.092455,33.361845,27.806738,33.055901,33.002188,36.008911,45.338189,52.940286
other_problems_of_circulation,75.960081,75.377109,69.162824,78.209564,75.915851,84.686384,90.513231,90.213673,110.031892,119.90867,128.887995,134.924847,149.702988,156.62251
respiratory_problems_total,103.095925,107.715777,106.118099,106.651088,108.048306,117.60786,122.99557,131.95039,124.352848,128.000065,134.263991,114.187712,142.453358,162.449105
dental_problems_total,53.896535,52.925472,51.070137,50.467822,49.349872,48.825011,45.691477,50.686368,50.11174,49.713246,52.840601,54.718324,60.272737,62.950923
gastro_intestinal_problems_total,110.082471,114.985731,119.269274,108.119417,111.189207,120.418474,124.198135,125.705992,125.802366,134.287411,144.685613,178.899195,188.541767,201.187082
skin_problems_total,33.687613,35.923671,37.387363,41.427193,46.71099,48.777555,49.895889,53.744353,53.730193,56.723279,56.053016,53.151619,63.673254,72.019326
musculo_skeletal_system_problems_exc_trauma_total,120.912232,126.440379,131.964794,120.16428,117.731213,126.028058,124.820063,135.60604,131.760501,143.427992,140.836712,105.069451,127.950644,143.849462
trauma_injuries_inc_burns_total,140.632484,130.640855,123.239243,121.760741,136.051449,144.373282,155.750531,159.772066,170.715194,176.716669,198.57666,273.80449,277.666427,287.884374
genito_urinary_system_disorders_exc_infertility_total,81.031488,81.776457,86.532746,89.704819,95.990285,94.913476,99.784482,107.025505,96.547659,101.335832,100.603106,115.336957,123.668536,137.655253
genital_tract_problems_total,38.050374,35.823722,38.133696,23.132192,23.556129,21.35314,24.113039,24.876766,25.009253,24.549787,23.118796,24.246785,27.343026,32.183024
renal_problems,4.780382,14.084877,13.973451,29.534964,33.787281,30.954524,32.169341,34.43588,32.846173,32.861093,36.756911,36.512953,47.854897,51.382992
chronic_renal_failure,5.036921,5.215745,4.606316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sexually_transmitted_infections,0.0,0.0,0.0,0.104362,3.371834,4.013575,3.944289,3.488911,0.097166,0.093429,0.118167,0.085345,0.135946,1.092313
