Category breakdown,2009-10 ,2010-11 ,2011-12 ,2012-13 ,2013-14 ,2014-15 ,2015-16 ,2016-17 ,2017-18 ,2018-19 ,2019-20,2020-21 ,2021-22 ,2022-23 
total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
infectious_diseases_total,1.323095,1.451529,1.412271,1.342248,1.272442,1.24062,1.335079,1.257274,1.741082,1.69295,1.867976,5.26287,4.838634,3.246366
cancers_tumours_total,6.986582,7.234536,7.333999,7.145949,7.153556,7.521479,7.512577,7.514945,7.60354,7.797207,8.2724,8.721025,8.251495,8.410132
blood_disorders_total,1.034818,0.920074,0.822615,0.955631,0.946891,0.918485,0.84312,0.907341,0.958533,0.992779,0.995802,0.995526,1.03178,1.001685
endocrine_nutritional_metabolic_problems_total,2.967168,3.114612,3.110307,3.374421,3.5556,3.274362,3.090656,3.239943,3.364094,3.389547,3.34896,3.863488,3.664311,3.710102
diabetes,1.319729,1.451448,1.382651,1.46723,1.505269,1.511454,1.503477,1.514394,1.570486,1.621184,1.644561,1.632795,1.598417,1.600748
other_endocrine_nutritional_and_metabolic_problems,1.647439,1.663164,1.727656,1.907191,2.050332,1.762908,1.991134,1.725549,1.793608,1.768364,1.704399,2.230693,2.065894,2.109354
mental_health_problems_total,10.927003,10.977712,11.071433,10.50133,10.438608,10.651241,10.585856,11.155926,11.59858,11.186765,11.299003,11.444462,11.341513,10.988077
general_mental_illness,5.815249,5.34241,5.095418,1.822953,3.334007,4.746457,4.758328,5.132435,5.165678,5.112031,5.115139,5.115909,5.127175,5.106848
elderly_mental_illness,2.69301,3.137778,3.321848,2.914978,2.805137,3.085981,3.220078,3.563464,3.800352,3.529186,3.544456,3.581583,3.220738,3.059421
child_adolescent_mental_health_services,1.026589,1.060971,1.195537,1.046783,0.993852,0.916355,1.165506,1.198951,1.328282,1.26297,1.345861,1.274273,1.664832,1.491247
other_mental_health_problems,1.392155,1.436552,1.458631,4.716617,3.305612,1.902447,1.441945,1.261077,1.304268,1.282578,1.293548,1.472697,1.328767,1.330561
learning_disability_problems_total,2.741014,2.551758,2.502233,2.243671,1.974572,2.121574,2.047327,2.377562,2.518937,2.685715,2.334575,2.256843,2.157726,2.050991
neurological_system_problems_total,3.339494,3.468683,3.625828,5.621274,5.722513,5.699246,6.121765,5.917835,5.252827,5.21099,5.210898,5.211588,5.033256,5.13742
eyevision_problems_total,2.289691,2.405051,2.696871,2.452264,2.370149,2.515244,2.402028,2.573391,2.775818,3.188213,2.762899,2.502549,2.29919,2.602771
hearing_problems_total,0.573945,0.606681,0.56661,0.432358,0.707624,0.580636,0.656401,0.658417,0.615131,0.644635,0.654776,0.506651,0.564271,0.581611
circulation_problems_total,9.448022,9.458556,9.660722,8.666743,8.349979,8.227684,7.544915,7.200625,7.540624,7.532074,7.739923,7.230649,7.661934,8.141146
coronary_heart_disease,3.272437,3.357753,3.312749,2.317941,2.158272,2.118317,1.522313,1.692922,1.450641,1.349956,1.381751,1.342127,1.357762,1.476938
cerebrovascular_disease,1.664639,1.707971,2.000815,1.601513,1.653238,1.593127,1.241458,1.235056,1.507559,1.436643,1.509292,1.322158,1.48687,1.743096
other_problems_of_circulation,4.510946,4.392831,4.347158,4.747289,4.538469,4.516239,4.781145,4.272647,4.582425,4.745475,4.84888,4.566364,4.817303,4.921112
respiratory_problems_total,6.562914,7.146381,7.007108,7.001862,6.494388,6.788585,6.650709,6.50306,6.397222,6.538358,6.736522,5.015285,5.383538,5.818914
dental_problems_total,3.284713,3.609754,3.640255,3.670222,3.480137,2.908459,2.669677,2.577092,2.494671,2.53791,2.532524,2.318453,2.436427,2.279873
gastro_intestinal_problems_total,6.063727,6.037757,6.289847,5.969624,6.015646,6.128572,6.435416,6.412435,5.890647,6.199532,6.409137,6.109441,6.19416,6.164923
skin_problems_total,2.139827,2.215174,2.101476,2.612748,2.840899,2.514888,2.705911,2.565021,2.595571,2.54937,2.551468,2.372748,2.214992,2.326911
musculo_skeletal_system_problems_exc_trauma_total,6.523921,6.402625,6.989603,6.527406,6.462303,6.497669,5.720995,5.631923,5.688409,5.825649,5.737438,4.148344,4.309855,5.282657
trauma_injuries_inc_burns_total,7.001416,7.548617,7.173257,6.437612,6.79088,7.047945,7.042091,6.741407,6.615389,7.056743,7.323423,7.534714,7.524027,7.933523
genito_urinary_system_disorders_exc_infertility_total,4.685025,5.123361,5.310689,5.369812,5.306657,5.962427,6.26406,5.774038,5.314821,5.384034,5.28552,5.032294,4.805522,4.675477
genital_tract_problems,2.170045,2.199954,2.310105,1.113788,0.944437,1.108536,1.151467,1.020813,0.932491,0.992318,0.996706,0.774437,0.821273,0.865834
renal_problems,0.575109,0.657135,0.303161,1.045298,1.867523,2.165612,2.31614,1.999448,1.981381,1.978116,2.006756,2.085048,1.953689,1.894934
chronic_renal_failure,0.518968,0.610223,0.868938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sexually_transmitted_infections,0.0,0.0,0.0,0.699412,0.212447,0.021788,0.01338,0.015861,0.015559,0.004498,0.005503,0.006049,0.004744,0.003137
