Category breakdown,2009-10 ,2010-11 ,2011-12 ,2012-13 ,2013-14 ,2014-15 ,2015-16 ,2016-17 ,2017-18 ,2018-19 ,2019-20,2020-21 ,2021-22,2022-23 
total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
infectious_diseases_total,2.028374,1.950133,1.45909,1.704718,1.647171,1.619948,1.729534,1.804817,2.298363,1.813631,1.748568,5.691898,4.726161,2.885181
cancers_tumours_total,5.994775,5.482619,5.361338,5.796514,6.068751,6.630352,6.702425,6.786316,6.892325,6.978194,7.099402,6.907542,7.056342,7.59561
blood_disorders_total,1.244719,1.02223,0.76994,0.751367,1.020555,1.008272,1.206358,1.017801,1.287736,1.362278,1.354532,1.267546,1.530149,1.2029
endocrine_nutritional_metabolic_problems_total,3.68233,3.547405,3.636104,3.933521,3.905958,4.159101,4.106505,4.444047,4.402441,4.506164,4.559605,4.264183,4.682059,4.611702
diabetes,1.590567,1.457361,1.477143,1.641035,1.676699,1.721458,1.708264,1.856158,1.85806,1.901203,2.064088,1.702633,1.772842,1.667283
other_endocrine_nutritional_and_metabolic_problems,2.091764,2.090045,2.15896,2.292486,2.229259,2.437643,2.821786,2.587889,2.54438,2.604961,2.495518,2.56155,2.909216,2.94442
mental_health_problems_total,13.572005,13.544111,13.486377,13.32909,13.461632,13.096767,11.965283,12.111196,12.330239,12.081323,12.056154,12.583247,12.095073,11.901141
general_mental_illness,7.056773,7.327922,6.646989,6.371065,6.431491,6.635924,6.014111,6.266762,6.147229,5.700152,5.594005,5.806314,5.934543,5.784503
elderly_mental_illness,3.212215,3.385784,3.895843,4.283865,3.563125,3.311133,3.034049,3.116881,3.508882,3.397676,3.346829,3.395871,2.962312,2.928927
child_adolescent_mental_health_services,0.927185,0.660026,0.215161,0.556387,0.586175,0.554286,0.4828,0.550824,0.669954,0.701128,0.835055,0.907114,0.895574,0.966765
other_mental_health_problems,2.375832,2.170378,2.728384,2.117772,2.880841,2.595423,2.434324,2.17673,2.004174,2.282366,2.280264,2.473948,2.302644,2.220947
learning_disability_problems_total,1.904544,2.371372,2.232183,2.409963,2.567326,2.616383,2.532653,2.54958,2.667836,2.645615,2.88074,2.723481,2.692212,2.960903
neurological_system_problems_total,3.34787,3.213671,2.943376,3.970761,4.263787,4.315616,4.014793,4.078539,3.739906,3.47017,3.706648,3.883136,3.528513,3.497856
eyevision_problems_total,2.007142,1.840653,1.92567,1.872806,2.161773,2.182434,2.271601,2.302962,2.336492,2.415206,2.371373,2.093364,2.168849,2.432911
hearing_problems_total,0.625927,0.597768,0.54104,0.535778,0.540051,0.570891,0.610524,0.585296,0.63179,0.570987,0.518521,0.528759,0.540074,0.519225
circulation_problems_total,8.554024,7.704482,6.50068,6.935203,6.450669,6.273605,6.180673,6.390673,6.325822,5.983934,6.520601,6.261962,5.986844,6.576173
coronary_heart_disease,3.600982,3.004667,2.453399,2.124534,1.730839,1.68056,1.527829,1.805151,1.610182,1.342789,1.308105,1.216392,1.168698,1.103395
cerebrovascular_disease,1.453064,0.988133,0.827605,1.222054,1.117361,1.229568,1.154795,1.147928,1.166318,1.007118,1.009824,1.239015,1.194463,1.078548
other_problems_of_circulation,3.499978,3.711681,3.219676,3.588614,3.602469,3.363477,3.498049,3.437593,3.549322,3.634027,4.202672,3.806555,3.623683,4.394229
respiratory_problems_total,6.574653,6.344893,6.113265,5.814861,5.89663,5.77319,5.94301,6.530693,5.806393,5.869142,5.94485,4.238656,4.690683,5.234171
dental_problems_total,4.213083,3.606558,3.525133,3.373804,3.347591,3.233227,4.432981,4.151304,3.829399,3.862836,3.897254,3.230926,3.913103,3.212648
gastro_intestinal_problems_total,4.876718,4.879406,4.687685,4.829303,4.968929,5.216262,5.357967,5.483242,5.310328,5.503823,5.700038,6.036562,5.324226,5.506179
skin_problems_total,1.949253,1.738281,1.697758,1.94783,2.040176,1.90606,1.898543,1.76882,1.703557,1.74042,1.687783,1.361491,1.484866,1.627228
musculo_skeletal_system_problems_exc_trauma_total,5.62409,5.597375,6.06607,5.83829,5.525993,5.403444,5.221952,4.985604,5.027017,4.802224,4.784615,3.883597,3.764945,3.840914
trauma_injuries_inc_burns_total,6.510022,6.252997,5.744683,6.040154,6.551704,6.370286,6.522206,6.372299,6.078414,5.892685,6.19021,7.16967,5.841534,6.603742
genito_urinary_system_disorders_exc_infertility_total,4.273254,4.834136,4.559664,4.73968,5.064617,4.903423,5.025873,5.351415,5.14481,5.282632,5.068031,3.820778,4.168563,4.172363
genital_tract_problems,1.704387,1.732033,1.573258,1.079429,1.040744,0.94535,0.943747,0.990206,1.141754,0.951165,0.947591,0.693785,0.772722,0.614462
renal_problems,0.216145,0.450949,0.37723,1.222288,0.882242,0.838147,0.884839,1.496396,1.574751,1.808093,1.754565,1.303308,1.372817,1.228214
chronic_renal_failure,0.903332,0.837357,0.767329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sexually_transmitted_infections,0.0,0.0,0.0,0.170334,0.765524,0.729155,0.741649,0.209697,0.194992,0.218931,0.21451,0.209274,0.185913,0.187682
other_problems_of_the_genito_urinary_system,1.449389,1.813797,1.841847,2.267629,2.376106,2.390772,2.455639,2.655117,2.233313,2.304444,2.151365,1.614412,1.837112,2.142006
maternity_reproductive_health_total,3.332008,3.456047,3.414237,3.057237,3.406552,3.326621,3.258296,3.271406,3.078957,3.084815,3.292018,3.197774,3.019755,3.106597
neonates_total,0.940413,0.865701,1.064267,1.127851,0.936604,0.975912,1.122791,1.060725,0.906653,0.970973,0.967786,0.769482,0.845383,0.790073
poisoning_total,1.152296,1.311104,1.115585,1.236883,1.200804,1.090293,1.028186,1.126841,1.184068,1.052494,1.089758,0.988182,0.748332,0.773333
healthy_individuals_includes_screening_total,3.315281,3.02584,2.784256,2.427954,2.393105,2.394843,2.454308,2.847475,2.648319,2.911124,2.997475,3.377446,4.074422,3.715329
social_care_needs_total,1.002626,0.921141,0.840707,0.862088,0.800265,0.809897,0.797974,0.770602,0.847726,0.963811,0.982839,0.891402,0.899341,0.822659
other_total,13.274591,15.892078,19.530892,17.464345,15.779356,16.123172,15.615562,14.208344,15.52141,16.235518,14.5812,14.828913,16.218572,16.41116
general_medical_services,7.282884,6.724788,7.04362,7.587537,6.992044,6.938444,6.751859,6.714119,6.903043,7.155457,6.633014,6.828163,6.550711,6.476583
open_access,1.564471,1.534747,1.185197,1.171819,1.11312,1.217008,1.07391,1.193688,1.320211,1.207332,1.192764,1.100096,1.081509,0.996598
continuing_care,2.540188,3.103379,2.827249,3.441681,2.559327,2.599817,2.518071,2.50975,3.074569,3.166797,2.764949,2.595784,2.283435,2.168106
other_phw_functions,0.0,0.523954,0.552674,1.051195,1.403794,1.39205,1.342554,1.066485,1.155384,1.208816,1.287988,0.965556,1.335616,1.503702
other_expenditure,1.887048,4.005211,7.922151,4.212114,3.711071,3.975853,3.929168,2.724303,3.068203,3.497117,2.702485,3.339314,4.967301,5.26617
