Category breakdown,2009-10 ,2010-11 ,2011-12 ,2012-13 ,2013-14 ,2014-15 ,2015-16 ,2016-17 ,2017-18 ,2018-19 ,2019-20,2020-21 ,2021-22,2022-23 
total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
infectious_diseases_total,1.291211,1.303027,1.542309,1.337539,1.355905,1.44001,1.522317,1.356771,2.331892,2.139857,1.943972,5.51506,5.116598,3.359409
cancers_tumours_total,7.219721,7.276114,7.206293,7.672779,7.691083,7.428845,7.915116,7.82344,7.23764,7.273703,7.451651,8.318813,7.763201,7.864436
blood_disorders_total,0.695119,0.675574,0.727841,0.80454,0.834558,0.822666,0.795869,0.938071,0.863836,0.916932,1.100541,1.198206,1.237031,1.162563
endocrine_nutritional_metabolic_problems_total,3.053656,3.312409,3.35335,3.375485,3.673381,3.789799,3.751276,3.741214,3.661911,4.02264,3.991055,4.029075,4.33266,4.664339
diabetes,1.335406,1.64421,1.748937,1.711177,1.908207,1.833017,1.93452,1.928735,1.877325,2.049486,2.085094,1.945358,2.030803,2.259229
other_endocrine_nutritional_and_metabolic_problems,1.71825,1.668198,1.604413,1.664337,1.765175,1.956782,2.257693,1.812479,1.784586,1.973154,1.905961,2.083716,2.301857,2.40511
mental_health_problems_total,10.841248,10.596615,11.021364,10.552323,10.670122,10.469575,9.869201,9.804279,9.888425,9.711022,9.808628,9.623666,9.468732,9.861983
general_mental_illness,6.236367,6.104011,6.364691,6.009431,5.589128,5.383148,5.360304,4.828355,4.719551,4.769428,5.313913,4.679687,4.651145,4.766869
elderly_mental_illness,2.757417,2.412414,2.497818,2.474166,2.91566,2.883392,2.551943,2.871018,2.854045,2.815089,2.41908,2.948811,2.862529,2.878603
child_adolescent_mental_health_services,0.4627,0.546818,0.57258,0.684946,0.663422,0.615558,0.598506,0.789574,0.776129,0.696704,0.849874,0.796652,0.875719,1.058633
other_mental_health_problems,1.384764,1.533373,1.586275,1.383781,1.501912,1.587476,1.358448,1.315332,1.5387,1.4298,1.225761,1.198516,1.079339,1.157878
learning_disability_problems_total,3.130082,2.91429,3.226239,3.465322,3.408152,3.289719,3.052021,2.77053,2.78749,2.723024,3.06716,2.769852,2.497636,2.463306
neurological_system_problems_total,2.734796,2.884376,2.73869,3.856609,4.405063,4.882973,4.7092,5.097746,4.520785,4.309632,4.086674,3.97455,4.237307,4.053018
eyevision_problems_total,2.361981,2.359957,2.381735,2.268627,2.172275,2.417721,2.432464,2.6695,2.820687,2.924461,2.57796,2.422648,2.784609,2.299103
hearing_problems_total,0.387183,0.311848,0.382494,0.372145,0.321268,0.311002,0.459776,0.426223,0.451927,0.451497,0.434262,0.309693,0.383588,0.398093
circulation_problems_total,9.121326,9.242432,8.725531,8.400824,7.838884,7.741712,7.989348,7.664891,7.928824,8.442039,8.295264,7.717681,8.17824,8.295971
coronary_heart_disease,3.451143,3.715441,3.475963,2.608188,2.301171,1.981252,2.065263,1.922707,1.675757,1.719153,1.607919,1.540259,1.536039,1.422553
cerebrovascular_disease,1.353014,1.385686,1.417229,1.468937,1.472062,1.367912,1.478125,1.550225,1.261456,1.452827,1.363251,1.301336,1.544009,1.73638
other_problems_of_circulation,4.31717,4.141306,3.832338,4.323765,4.065652,4.392548,4.44596,4.191959,4.991611,5.270058,5.324094,4.876086,5.098192,5.137038
respiratory_problems_total,5.859428,5.918029,5.880044,5.896136,5.786496,6.100132,6.041474,6.131339,5.641283,5.62568,5.546165,4.126661,4.851303,5.328144
dental_problems_total,3.063195,2.907787,2.829816,2.790081,2.642918,2.532476,2.24434,2.355244,2.273326,2.184927,2.182735,1.97748,2.052611,2.064718
gastro_intestinal_problems_total,6.256507,6.317449,6.608756,5.977312,5.954706,6.245914,6.100544,5.841181,5.707041,5.902013,5.976661,6.465287,6.420861,6.598705
skin_problems_total,1.914626,1.973688,2.071648,2.290275,2.501594,2.530014,2.450858,2.497339,2.437477,2.493022,2.315433,1.920861,2.168417,2.362151
musculo_skeletal_system_problems_exc_trauma_total,6.872013,6.946781,7.312219,6.643204,6.305061,6.536875,6.131093,6.301207,5.977332,6.303747,5.81767,3.797133,4.357408,4.718097
trauma_injuries_inc_burns_total,7.992808,7.17756,6.828733,6.731463,7.286196,7.488412,7.65038,7.424129,7.744517,7.766804,8.202787,9.895095,9.456035,9.442276
genito_urinary_system_disorders_exc_infertility_total,4.605402,4.492893,4.794812,4.959272,5.140732,4.923011,4.901359,4.973155,4.379897,4.453771,4.155704,4.168194,4.211579,4.514934
genital_tract_problems,2.162582,1.968197,2.113002,1.278848,1.261542,1.107553,1.184419,1.155949,1.134548,1.078978,0.954989,0.876261,0.931177,1.055566
renal_problems,0.271692,0.773839,0.774274,1.632821,1.809468,1.605562,1.58014,1.600132,1.490071,1.444265,1.518351,1.319552,1.629717,1.685303
chronic_renal_failure,0.286272,0.286559,0.255238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sexually_transmitted_infections,0.0,0.0,0.0,0.00577,0.180578,0.208178,0.193741,0.162119,0.004408,0.004106,0.004881,0.003084,0.00463,0.035827
other_problems_of_the_genito_urinary_system,1.884856,1.464298,1.652298,2.041833,1.889145,2.001718,1.943058,2.054954,1.75087,1.926422,1.677483,1.969297,1.646055,1.738238
maternity_reproductive_health_total,3.386153,3.389865,3.459276,3.317096,3.490518,3.51226,3.389921,3.225883,3.083609,3.082516,2.851891,3.813594,3.299812,3.005155
neonates_total,0.757328,0.674129,0.772243,0.799496,0.833781,0.838901,1.064239,0.922744,0.668837,0.703096,0.471778,0.739421,0.685376,0.820871
poisoning_total,1.166552,1.245947,1.233963,1.238655,1.297256,1.259524,1.276986,1.290689,1.024284,0.918264,0.88948,0.944455,1.015174,0.938365
healthy_individuals_includes_screening_total,2.39231,2.790157,2.74225,2.186272,2.054223,1.831558,1.682405,1.732779,1.682875,1.775693,1.843627,1.765025,2.379338,2.654898
social_care_needs_total,0.784203,0.628031,0.732049,0.798546,0.724245,0.718306,0.827233,0.801305,0.771611,0.959297,0.940406,0.776899,0.880265,0.819504
other_total,14.113153,14.661042,13.428346,14.265999,13.611582,12.888596,13.742582,14.210341,16.114493,14.916363,16.048496,13.73065,12.22222,12.309962
general_medical_services,7.746272,6.720192,6.343941,6.796251,6.25879,6.390785,6.409144,5.970956,6.977373,6.784646,6.393448,5.763292,6.062587,6.233013
