Category breakdown,2009-10 ,2010-11 ,2011-12 ,2012-13 ,2013-14 ,2014-15 ,2015-16 ,2016-17 ,2017-18 ,2018-19 ,2019-20,2020-21 ,2021-22 ,2022-23 
total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
infectious_diseases_total,0.837841,1.375047,1.099354,0.992653,0.985889,0.926534,1.051497,1.224962,2.098087,1.521596,1.120791,5.598674,4.384329,3.286609
cancers_tumours_total,7.083199,7.244813,7.162992,5.92733,5.840191,6.49744,7.710531,6.560382,6.466617,7.618608,7.005489,6.139692,6.209151,7.156698
blood_disorders_total,0.71259,0.904678,1.047016,0.721623,0.787009,0.650719,1.028091,0.770733,0.628321,0.761085,0.767205,0.771639,0.789371,0.781954
endocrine_nutritional_metabolic_problems_total,3.204744,3.324466,3.372332,3.936105,3.99433,3.92275,3.928816,3.964236,3.653816,3.79014,3.654235,3.605879,3.683306,4.16891
diabetes,1.525849,1.475187,1.760588,1.712999,1.865957,1.810301,1.861262,1.884062,1.745493,1.750437,1.76893,1.510497,1.696893,1.738868
other_endocrine_nutritional_and_metabolic_problems,1.678896,1.849279,1.611744,2.223106,2.128373,2.112449,2.531768,2.080174,1.908323,2.039703,1.885306,2.095382,1.986413,2.430042
mental_health_problems_total,11.660715,12.718897,11.54589,10.892097,10.291649,10.633029,12.4503,13.430037,14.48585,13.578245,12.597539,15.018101,14.879396,14.142768
general_mental_illness,5.480647,5.264147,4.935153,4.758368,3.486672,4.093818,4.242427,4.171186,2.411223,1.931492,3.175338,3.455465,3.472114,4.986289
elderly_mental_illness,3.902826,4.70496,3.84387,2.912083,4.227856,4.043529,3.93006,4.440044,3.852225,3.602299,4.360962,4.87945,4.9728,3.494691
child_adolescent_mental_health_services,1.010383,1.306215,1.58254,0.949939,0.531637,0.640893,1.441611,0.889729,0.371987,0.807299,1.126976,1.045805,1.190352,0.991593
other_mental_health_problems,1.266858,1.443575,1.184328,2.271708,2.045484,1.854789,2.836202,3.929078,7.850415,7.237155,3.934263,5.637381,5.244129,4.670196
learning_disability_problems_total,2.023987,1.054689,1.049551,2.079113,1.826418,1.93164,1.036095,0.510762,0.711656,0.696969,0.388069,0.826854,1.276261,1.959075
neurological_system_problems_total,4.037408,3.347231,3.978676,5.826566,5.034555,5.234095,5.635405,5.208417,5.518799,4.640001,5.152535,4.501444,4.291011,4.236591
eyevision_problems_total,1.822363,2.659265,2.597021,1.889017,1.502619,1.612085,1.857029,1.579435,1.761893,1.696954,2.063608,1.716609,1.898453,1.939485
hearing_problems_total,0.572931,0.616859,0.575899,0.4874,0.525729,0.602503,0.571938,0.52781,0.487258,0.4599,0.622406,0.31767,0.471328,0.413132
circulation_problems_total,8.012444,9.060767,10.024085,10.252725,9.210719,9.691201,9.876925,10.487798,9.585791,9.89008,10.000085,11.50244,8.575806,9.565693
coronary_heart_disease,3.246007,2.720455,2.877642,2.585393,2.133922,2.074066,1.750443,2.093367,1.800465,1.570155,1.706643,1.658321,1.406853,1.476884
cerebrovascular_disease,1.699816,2.020246,2.305732,3.184779,2.532542,2.486174,3.046121,2.676423,2.608474,2.668581,2.594989,3.778748,2.09869,2.467576
other_problems_of_circulation,3.066621,4.320066,4.840711,4.482553,4.544256,5.13096,5.080361,5.718008,5.176852,5.651344,5.698453,6.065371,5.070263,5.621233
respiratory_problems_total,5.950038,5.707738,6.414992,7.219853,7.58664,7.32488,7.144447,8.038158,7.73268,7.152922,6.388706,5.476221,5.169864,6.190708
dental_problems_total,3.696415,2.685126,3.002278,2.890721,3.023226,2.929327,3.098426,2.406755,2.619437,2.929661,2.868225,2.94294,2.751065,2.869822
gastro_intestinal_problems_total,5.432933,5.49886,6.230052,5.367795,5.504654,5.994883,6.237285,5.629327,5.005342,5.762014,5.819762,5.456108,5.51959,5.552625
skin_problems_total,1.560184,1.149296,1.306438,1.884862,2.002929,1.761199,1.712573,2.082858,1.680652,2.050372,1.500825,1.673742,1.463834,1.677719
musculo_skeletal_system_problems_exc_trauma_total,7.448388,6.328527,5.951151,4.985508,5.663565,4.698361,4.805089,4.881234,4.15201,4.520841,6.99397,2.671633,6.043702,3.915689
trauma_injuries_inc_burns_total,7.150643,8.356868,7.975154,9.491198,10.431536,9.504026,8.192447,9.794809,9.417381,8.745495,9.241506,9.446965,8.551649,8.772365
genito_urinary_system_disorders_exc_infertility_total,3.77778,4.346491,5.17747,5.082232,4.730441,5.114517,6.182747,5.295814,4.752988,4.655635,4.157579,4.060931,3.409472,3.849435
genital_tract_problems,1.906535,2.157613,2.479447,0.75814,0.746373,0.719924,0.773274,0.616616,0.650272,0.616423,0.886205,0.251809,0.7688,0.66434
renal_problems,0.353004,0.436631,0.483626,1.489978,1.243668,1.789076,2.477938,1.753964,1.617768,1.562211,1.171787,1.320359,1.159375,1.453884
chronic_renal_failure,0.398088,0.234421,0.97773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sexually_transmitted_infections,0.0,0.0,0.0,0.044322,0.001572,0.011747,0.011075,0.001022,0.001968,0.002004,0.007975,5.8e-05,0.003428,0.001586
other_problems_of_the_genito_urinary_system,1.120152,1.517826,1.236667,2.789792,2.738828,2.59377,2.92046,2.924212,2.482981,2.474997,2.091612,2.488704,1.477869,1.729625
maternity_reproductive_health_total,3.652721,3.50152,3.444853,2.955066,2.851617,2.435771,2.660348,2.47478,2.632689,2.441065,2.447787,2.601598,2.34794,2.032702
neonates_total,1.67238,0.251642,0.312515,0.352001,0.386549,0.315307,0.30512,0.324466,0.431569,0.367798,0.348887,0.491361,0.454141,0.356522
poisoning_total,1.320249,0.842622,1.141821,1.250494,1.035424,1.150198,0.975324,1.093775,1.023926,1.001928,1.01676,0.942778,0.997203,0.764293
healthy_individuals_includes_screening_total,1.859787,2.381084,3.562615,2.804142,2.004215,1.568012,1.631469,1.140187,0.968926,0.977006,1.06707,1.346005,2.958218,2.536615
social_care_needs_total,1.411436,1.77437,0.827728,0.855779,0.910521,0.830318,0.350791,0.365596,0.373357,0.416771,0.320373,0.27917,0.296445,0.296275
other_total,15.098824,14.869145,12.200118,11.855721,13.869575,14.671205,11.557306,12.207669,13.810954,14.324912,14.456587,12.611546,13.578466,13.534316
general_medical_services,9.838354,5.515941,4.802428,4.513992,4.673866,4.904607,4.454663,4.941819,5.401276,5.553875,5.240796,4.69877,4.976192,4.864753
open_access,0.616256,0.792544,0.853205,0.411649,0.277556,0.394943,0.364049,0.348106,0.00011,0.000488,0.002453,0.037773,0.083675,0.07415
continuing_care,0.815044,2.081925,1.656775,1.501821,1.903502,2.382993,2.122477,2.277474,2.112783,1.376309,1.361171,1.700733,1.665178,1.827928
other_phw_functions,0.0,0.44644,0.484939,0.64938,1.181194,1.173101,1.194756,0.932791,0.996015,1.039084,1.086686,0.858366,1.158605,1.384961
other_expenditure,3.829171,6.032294,4.402771,4.778878,5.833458,5.815562,3.421361,3.707478,5.30077,6.355156,6.765481,5.315903,5.694816,5.382524
