Category breakdown,2009-10 ,2010-11 ,2011-12 ,2012-13 ,2013-14 ,2014-15 ,2015-16 ,2016-17 ,2017-18 ,2018-19 ,2019-20,2020-21,2021-22 ,2022-23 ,2022-23 
total,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
infectious_diseases_total,1.468459,1.549466,1.628735,1.452574,1.486848,1.404053,1.395382,1.373242,2.173927,1.500263,1.453138,5.80462,4.906642,3.11901,3.11901
cancers_tumours_total,6.901109,6.203895,6.908338,7.029255,7.594382,7.60218,7.617181,7.495682,7.68155,8.028443,8.074281,8.225336,7.759715,8.825452,8.825452
blood_disorders_total,0.802988,0.693901,0.687306,0.631528,0.726688,0.794328,0.881558,0.865289,1.076948,1.035869,1.1704,1.112913,1.481179,1.32024,1.32024
endocrine_nutritional_metabolic_problems_total,3.181336,3.251487,3.310027,3.46128,3.49753,3.673834,3.605377,3.617909,3.503353,3.73257,3.748745,3.688143,3.85829,4.191019,4.191019
diabetes,1.579911,1.617237,1.690138,1.638988,1.704658,1.751399,1.724734,1.716154,1.75924,1.868224,1.941666,1.734779,1.709696,1.777298,1.777298
other_endocrine_nutritional_and_metabolic_problems,1.601424,1.63425,1.619889,1.822293,1.792872,1.922436,2.304163,1.901755,1.744113,1.864346,1.807079,1.953365,2.148594,2.413721,2.413721
mental_health_problems_total,12.65109,12.395202,12.140781,12.033831,12.151884,12.40688,11.83879,11.904461,11.664233,11.072742,10.938705,10.29622,10.184331,10.290195,10.290195
general_mental_illness,5.657857,5.301353,5.628333,4.685787,4.799021,5.721314,5.182927,4.262453,5.0346,5.018563,4.867413,4.792447,4.67183,5.227777,5.227777
elderly_mental_illness,4.338204,4.961065,4.49147,4.224536,3.963085,4.42555,4.402656,4.478904,4.008792,3.763494,3.853137,3.707705,3.190494,2.390439,2.390439
child_adolescent_mental_health_services,0.75583,0.776098,0.664543,0.433134,0.426906,0.567969,0.501597,0.511811,0.488878,0.576663,0.705009,0.339264,0.632501,0.679531,0.679531
other_mental_health_problems,1.899199,1.356686,1.356436,2.690373,2.962872,1.692047,1.751609,2.651293,2.131962,1.714021,1.513146,1.456804,1.689506,1.992447,1.992447
learning_disability_problems_total,2.092186,2.063589,1.894875,2.130197,2.015776,2.170375,2.351813,2.287096,2.338353,2.535349,2.692579,2.78377,2.848913,3.298248,3.298248
neurological_system_problems_total,2.999816,3.096586,2.92261,4.198411,4.414268,4.372707,4.710562,4.709443,4.37071,4.437342,4.59534,4.339609,4.209603,4.469622,4.469622
eyevision_problems_total,2.367492,2.377877,2.328548,2.266002,2.329755,2.213348,2.216645,2.463104,2.492421,2.628383,2.651905,2.210748,2.201641,2.406199,2.406199
