Category breakdown,2009-10 ,2010-11 ,2011-12 ,2012-13 ,2013-14 ,2014-15 ,2015-16 ,2016-17 ,2017-18 ,2018-19 ,2019-20,2020-21,2021-22,2022-23
Total ,985126.754,1002444.869,1000777.757,1008391.78,1031905.052,1068574.87,1126972.963,1166111.235,1201399.64,1252999.247,1339095.863,1528424.659,1647574.254,1718623.522
Infectious diseases Total,13524.12281,16029.07718,14998.76,12090.31425,13074.80094,13130.42227,13983.71947,13687.11321,20301.73129,19078.57571,20578.90811,97632.46985,77500.25426,49969.60819
Cancers & tumours Total,61039.5674,61542.07023,59685.881,58836.55934,62257.13255,66723.7513,69626.77408,74652.67353,77318.25721,83094.40699,90366.76708,103285.2913,110999.7564,126951.5385
Blood disorders Total,8260.656095,8249.602954,7991.157,6544.832388,7568.904676,7635.584845,8882.275466,8733.639311,9616.789846,11751.57194,13367.514,15316.95779,14722.72074,14118.41468
"Endocrine, nutritional & metabolic problems Total",30611.53808,34165.74964,34844.792,36186.71919,37048.71547,39169.41828,41130.40973,43927.81346,47966.18824,49794.52766,52526.67686,62286.2973,71094.6718,73432.52485
Diabetes ,14755.45271,17294.64236,17741.946,17667.58555,18294.49865,18236.31353,18655.51684,20378.5558,21206.78686,22674.61141,23872.63197,27142.18783,29698.68202,29175.40491
"Other endocrine, nutritional and metabolic problems ",15856.08537,16871.10728,17102.846,18519.13363,18754.21682,20933.10475,26980.05425,23549.25766,26759.40138,27119.91626,28654.04489,35144.10947,41395.98978,44257.11994
Mental health problems Total,96997.81647,108101.2152,110718.925,109623.0718,107263.5671,111584.2784,117196.9045,113101.5395,123539.0414,127898.1124,138374.7377,151845.598,157752.4028,171508.2679
General mental illness ,41558.99548,57232.12896,49287.305,48341.93918,45820.80762,41401.91725,43447.54579,38228.97828,54194.48858,57751.32506,60228.0204,71165.55633,74407.28977,79357.73602
Elderly mental illness ,27122.2895,21452.09293,29151.301,31732.97009,29609.61102,35930.60456,39925.8085,41371.35882,41123.39087,41868.96358,45326.4553,46098.89103,46934.47736,50040.88944
Child & adolescent mental health services ,9616.965119,6676.199031,8823.922,10108.50878,8655.742197,8346.345647,7242.537409,7911.719038,8416.616274,8961.597342,13664.67638,12586.47823,14243.22761,18688.21935
Other mental health problems ,18699.57099,22740.79429,23456.397,19439.65377,23177.40629,25905.41097,26581.01277,25589.48339,19804.54564,19316.22643,19155.58559,21994.67241,22167.40807,23421.42306
Learning disability problems Total,22489.35572,22776.17162,21917.038,20481.15903,24713.13483,24059.63602,27004.77718,29260.67526,34202.11047,35140.18877,34504.02355,42752.33369,37034.243,41346.23606
Neurological system problems Total,31432.23299,34088.63845,32087.721,47148.43878,52102.46477,51852.07249,62498.32534,54289.44851,50359.44216,51639.69657,51921.58269,66754.9691,65535.93399,69217.46627
Eye/vision problems Total,19092.03933,20382.45706,20522.235,21321.64236,22232.78457,25045.77305,25867.47543,30580.8316,32924.20898,32169.80225,34794.5879,30268.63723,33411.50471,35884.44233
Hearing problems Total,4172.154717,4710.609433,4180.098,3913.040062,4114.571536,4263.909699,4494.057117,4398.565472,5040.770734,5051.458265,5508.08508,4535.887508,6878.657214,6381.919077
Circulation problems Total,86442.66688,82660.44133,77953.382,79121.01328,79368.09124,81008.8548,80149.37664,82674.99149,85414.12744,86446.95603,93209.61482,115862.9877,116806.96,122458.4076
Coronary Heart Disease ,38633.17507,29349.12816,28382.25,23456.16082,22528.7614,21250.85787,20638.52167,19934.28353,18671.52287,17184.1506,16913.1428,20296.1291,20751.93747,17341.17622
Cerebrovascular disease ,10415.57811,9879.123345,8907.926,11335.8983,10781.94152,11283.8502,12477.76376,12690.26295,12358.08756,13541.46056,14177.61816,20760.00074,17716.61747,20837.25878
Other problems of circulation,37393.91394,43432.18983,40663.206,44328.95416,46057.38832,48474.14673,47033.09121,50050.44501,54384.51701,55721.34486,62118.85387,74806.85791,78338.4051,84279.97255
Respiratory problems Total,62906.00706,66418.40015,66068.965,66395.5648,68996.24791,70514.23987,75363.62042,76684.66345,74195.1818,76758.26778,82590.68189,78989.21244,82013.62075,89590.33482
Dental problems Total,35961.29105,30951.36929,32657.592,32050.86538,31640.87365,37795.52525,39948.44562,42176.95015,42641.31126,36542.09163,37899.98974,40578.62463,48953.28535,42295.18791
Gastro intestinal problems Total,56078.34104,58232.07019,59762.943,57891.2494,59583.08963,63551.04411,69098.11598,72094.92791,69892.84303,72975.72184,80706.95022,91242.89844,95370.9986,112511.2194
Skin problems Total,19118.16515,22562.64533,23130.131,26050.9631,27556.22726,27828.96743,28667.74323,28302.34127,25675.35949,26797.48831,28661.9923,30146.71797,30425.6447,32343.23332
Musculo skeletal system problems (exc Trauma) Total,64222.82676,65275.34624,65142.384,67597.62801,66945.75343,67102.84992,70109.32355,75830.14336,75791.3291,73572.76472,73866.90616,51000.47223,75292.58893,89617.21117
Trauma & injuries (inc burns) Total,67766.16515,66527.67173,62352.49,66069.18196,67211.76119,69862.76233,76541.77951,78645.24011,80743.49851,86924.55025,94331.13495,108300.0152,125490.5825,137167.6706
Genito Urinary system disorders (exc infertility) Total,40638.68992,45040.18646,46552.363,44561.67879,45240.71317,47146.40781,51072.86748,50832.26309,46585.14246,50301.35218,52297.66728,58010.3654,66415.89839,69612.43699
Genital tract problems ,18621.06356,21076.98059,19067.803,10932.00339,11136.63987,10161.1653,11317.64958,12018.21618,12472.19889,12618.29742,12949.83561,10803.66612,15862.79065,15504.43918
Renal problems ,2772.465413,2979.377269,2826.907,13112.00095,9602.45171,10556.58536,10538.18671,16279.41153,15993.08408,18146.04496,20014.94068,23228.57347,24595.64178,26407.46954
Chronic renal failure,7009.867688,6382.802985,6531.804,0,0,0,0,0,0,0,0,0,0,0
Sexually transmitted infections,0,0,0,511.347532,4098.178236,4671.839518,4854.461694,34.170858,49.737104,121.956697,96.207042,68.340489,66.252077,61.506871
Other problems of the genito urinary system ,12235.29325,14601.02562,18125.849,20006.32691,20403.44336,21756.81763,24362.56949,22500.46452,18070.1224,19415.05311,19236.68395,23909.78533,25891.21388,27639.0214
Maternity & reproductive health Total,35147.93567,36752.43228,34563.994,36942.97639,36279.79225,37141.49313,36955.44676,38999.60244,39430.61653,43074.98288,46033.75292,53697.91785,57281.85978,61956.8519
Neonates Total,8543.862192,10200.26294,7166.84,8707.913646,10307.23704,9756.496531,10699.52596,9415.167219,9620.07496,9193.363619,10800.80675,16095.35337,12668.23358,14637.01866
Poisoning Total,9341.28503,11322.00689,9917.579,10565.94149,11456.1832,10723.95407,11741.72854,11838.8598,11905.11785,12017.98439,13067.26794,15031.65236,13497.43316,15737.44337
Healthy individuals (includes Screening) Total,26178.56426,27400.19678,27255.03262,27015.48111,22586.99284,22364.04914,24385.38477,26902.79415,25749.53428,25068.37869,27875.85543,33186.50059,42955.3742,42195.7616
Social care needs Total,10830.894,7394.399837,6638.877,4540.063256,8013.386639,7895.964583,10125.66872,10526.79524,11086.64928,10363.64097,12493.44156,11791.1885,12571.34089,12710.77801
Other Total,174330.5714,161661.8478,174668.5772,164735.4817,166342.6259,172417.415,171429.2172,188554.1953,201400.3142,227343.3629,243316.9185,249812.3109,292900.2883,286979.5492
General medical services,64719.51918,63457.6284,63826.006,68571.52045,62188.55971,66437.69888,63225.92265,59697.67268,61317.38841,73227.5918,70522.23511,85469.53049,90524.52374,82905.74982
Open access,9781.11944,10624.00389,16975.8,12158.90041,11159.67963,12364.37101,12948.9708,13916.77023,13913.68351,13407.74633,15208.59318,12111.17607,15832.15105,20400.04776
Continuing care,67528.92028,43798.99065,36369.166,35410.98531,41874.05246,51261.36258,40601.03459,48943.37863,37946.84674,37319.64597,35167.62151,53288.13299,53592.93008,50484.69244
Other PHW functions,0,4713,5121.28717,6877.052644,13304,13782,14397,11628.27576,12909.43305,13994.14235,15780.43204,13949.93389,20376.62556,24612.25856
Other expenditure,32301.01249,39068.2249,52376.318,41717.02294,37816.33406,28571.98253,40256.28917,54368.09799,75312.96248,89394.2364,106638.0367,84993.53745,112574.0579,108576.8006
