Category breakdown,2019-20,2020-21,2021-22,2022-23
Total ,1088562.146,1225379.621,1293751.052,1348407.425
Infectious diseases Total,17230.499,87900.45228,56698.249,42223.24662
Cancers & tumours Total,70181.889,79729.939,89850.446,91622.58756
Blood disorders Total,16109.215,15352.855,14228.631,15512.70644
"Endocrine, nutritional & metabolic problems Total",50635.493,56698.212,61079.063,66116.83329
Diabetes ,24728.497,24644.754,26351.366,27796.98646
"Other endocrine, nutritional and metabolic problems ",25906.996,32053.458,34727.697,38319.84683
Mental health problems Total,128870.256,150138.77,149635.311,163749.4002
General mental illness ,71342.007,82780.936,88056.33,91708.64282
Elderly mental illness ,31000.58,33801.415,33467.992,40100.71286
Child & adolescent mental health services ,10147.66,12372.332,11297.869,12955.98977
Other mental health problems ,16380.009,21184.087,16813.12,18984.05479
Learning disability problems Total,11342.726,12747.522,13012.104,13560.18739
Neurological system problems Total,45278.604,48936.472,48992.546,57925.54284
Eye/vision problems Total,32021.56,23773.046,32061.997,34373.73074
Hearing problems Total,7703.519,5859.432,6693.008,7904.867947
Circulation problems Total,80501.825,84586.154,96925.465,99020.90445
Coronary Heart Disease ,15788.228,16761.848,19328.111,18848.50144
Cerebrovascular disease ,13126.638,17119.539,18595.781,16610.17916
Other problems of circulation,51586.959,50704.767,59001.573,63562.22384
Respiratory problems Total,74547.42,63555.267,73920.767,88249.35887
Dental problems Total,33630.352,34011.089,35685.492,36278.579
Gastro intestinal problems Total,63706.853,78115.113,80546.1,94323.10235
Skin problems Total,21031.927,25145.615,24239.953,29692.46551
Musculo skeletal system problems (exc Trauma) Total,54304.907,37807.145,46119.667,51378.76133
Trauma & injuries (inc burns) Total,85208.408,105894.65,110890.58,110024.387
Genito Urinary system disorders (exc infertility) Total,42351.604,46050.586,49392.183,58360.72574
Genital tract problems ,11978.249,8660.326,12724.144,14983.81672
Renal problems ,11843.111,18336.443,17846.45,21897.73073
Chronic renal failure,0,0,0,0
Sexually transmitted infections,59.697,138.308,70.163,283.59981
Other problems of the genito urinary system ,18470.547,18915.509,18751.426,21195.57848
Maternity & reproductive health Total,38634.597,39179.924,37140.909,40737.11017
Neonates Total,10645.049,12797.813,13534.803,10851.21134
Poisoning Total,10193.723,12615.094,10697.476,13715.3705
Healthy individuals (includes Screening) Total,20556.80842,38202.04326,46319.06092,45212.77152
Social care needs Total,14874.68,13226.851,14931.191,16243.14926
Other Total,159000.2311,153055.5762,181156.0499,161330.4249
General medical services,53420.501,62404.234,67512.581,64479.7847
Open access,14960.534,21962.27,27998.92,27909.93858
Continuing care,18279.956,13775.655,14851.743,19216.09252
Other PHW functions,11915.42613,10536.65219,15323.02185,18496.66854
Other expenditure,60423.814,44376.765,55469.784,31227.94052
