Category breakdown,2009-10 ,2010-11 ,2011-12 ,2012-13 ,2013-14 ,2014-15 ,2015-16 ,2016-17 ,2017-18 ,2018-19 
Total ,542301.9112,548012.379,559923.3621,560711.172,575413.978,595554.66,621512.983,650781.92,664524.0865,694862.7926
Infectious diseases Total,8010.725053,6095.275,6434.086,6040.607,6709.031,6985.265,7648.825,8543.671,14224.927,13293.756
Cancers & tumours Total,38557.7957,32384.916,36395.689,37059.464,38981.941,41416.262,41919.102,42261.501,43071.803,45699.778
Blood disorders Total,5634.139601,5227.934,3205.929,3785.982,4797.47,5754.008,5528.323,6156.798,6698.49,7617.455
"Endocrine, nutritional & metabolic problems Total",16963.93141,19021.65,18481.536,22386.357,23693.688,24320.988,24574.635,26376.263,30543.077,33367.549
Diabetes ,7502.790705,9014.672,8634.45,10337.797,10402.836,10358.952,10475.7,11957.519,13862.824,15193.43
"Other endocrine, nutritional and metabolic problems ",9461.140706,10006.978,9847.086,12048.56,13290.852,13962.036,16617.509,14418.744,16680.253,18174.119
Mental health problems Total,70540.53078,77312.51,78365.233,65735.016,73506.125,74991.414,75363.434,77579.138,79601.562,83135.842
General mental illness ,40221.6651,47690.981,47003.664,38543.186,38926.436,40008.715,40068.902,43920.665,47239.652,47617.415
Elderly mental illness ,19078.98303,18304.209,19470.641,15246.651,20145.706,21992.519,21994.623,22022.24,21391.163,20289.011
Child & adolescent mental health services ,3069.344911,3409.352,3842.609,4468.79,4397.77,4414.739,4877.92,4008.665,4901.035,6517.037
Other mental health problems ,8170.537739,7907.968,8048.319,7476.389,10036.213,8575.441,8421.989,7627.568,6069.712,8712.379
Learning disability problems Total,6587.478254,6812.524,7025.417,7047.041,6239.373,7019.756,6499.277,8161.745,7614.01,7286.383
Neurological system problems Total,14789.11679,14805.155,13328.795,21073.143,23484.905,27714.977,31069.768,32469.97,31252.949,32581.489
Eye/vision problems Total,11515.68369,11486.835,10480.687,12243.624,13770.745,14632.379,15596.981,19339.074,18998.337,16971.786
Hearing problems Total,2006.464486,2042.695,2046.425,2127.443,2177.225,2737.829,2871.329,3442.755,3575.545,3568.25
Circulation problems Total,44880.79894,46105.314,45337.324,45362.955,43848.428,45105.088,48660.523,50552.426,49254.147,51001.514
Coronary Heart Disease ,16561.39692,16085.603,15466.565,12841.137,12123.91,12062.229,11793.744,12271.11,11925.171,11985.728
Cerebrovascular disease ,7531.57007,7322.628,7853.803,8130.851,8638.63,8907.938,9364.134,8120.871,8165.401,8624.955
Other problems of circulation,20787.83194,22697.083,22016.956,24390.967,23085.888,24134.921,27502.645,30160.445,29163.575,30390.831
Respiratory problems Total,39652.98928,37336.882,40781.391,42748.832,42527.719,44564.522,45878.353,49500.1855,50160.615,49436.126
Dental problems Total,22616.92178,20751.551,18574.783,23246.751,20589.088,20960.694,23921.34,21171.196,21466.789,22677.747
Gastro intestinal problems Total,30267.57572,29591.251,29155.316,30798.173,31288.636,33311.197,35988.579,39991.8,40216.787,43511.169
Skin problems Total,11190.56852,10245.233,10536.304,13036.507,10459.006,11635.776,10061.261,12793.54,11041.989,13133.041
Musculo skeletal system problems (exc Trauma) Total,28741.80948,28905.392,30277.26,37477.295,34533.569,36318.596,35097.524,38975.236,36235.383,37660.206
Trauma & injuries (inc burns) Total,38583.95123,41234.416,37186.56,36620.106,42481.962,45975.679,50508.133,50229.355,49217.149,53456.204
Genito Urinary system disorders (exc infertility) Total,25774.27918,29378.724,25790.711,28696.023,26239.677,27700.726,26521.087,28421.594,28064.014,27127.702
Genital tract problems ,11682.92885,11929.548,12079.852,6293.376,6234.86,6040.77,7316.745,6847.357,8648.008,8044.267
Renal problems ,1435.868676,2013.05,1535.73,5392.349,6007.45,6128.708,5733.964,7853.407,7165.937,7679.373
Chronic renal failure,4504.876011,3209.657,3399.445,0,0,0,0,0,0,0
Sexually transmitted infections,0,0,0,2674.928,662.168,1191.438,447.155,71.357,19.091,0
Other problems of the genito urinary system ,8150.605638,12226.469,8775.684,14335.37,13335.199,14339.81,13023.223,13649.473,12230.978,11404.062
Maternity & reproductive health Total,21882.27461,24251.586,27319.361,17013.218,20919.149,21517.981,20437.353,23021.825,26276.625,25966.01
Neonates Total,2957.171061,4761.593,6367.946,6850.035,6607.967,5826.65,6000.808,7823.528,4805.94,5180.849
Poisoning Total,6587.111816,5806.254,7048.332,7373.665,7591.845,6812.491,8342.406,8008.202,8283.271,7849.058
Healthy individuals (includes Screening) Total,17787.78664,20315.961,23396.72577,15339.32855,15398.672,10461.295,11028.365,13839.98608,14204.70585,14456.39125
Social care needs Total,2290.997512,4943.51,5692.1,6340.306,7420.594,9303.176,10631.872,10123.036,9378.154,9196.991
Other Total,74481.80966,69195.218,76695.4513,72309.3004,72147.163,70487.911,77363.705,71999.09545,80337.81767,90687.4964
General medical services,36110.00119,24995.792,26037.343,27701.202,27243.535,28105.186,29337.369,32423.336,34118.911,37377.255
Open access,6205.440891,8038.236,9779.796,8362.74,11866.113,9622.952,11669.273,8374.258,7726.07,8875.864
Continuing care,11697.295,16472.539,11721.617,10529.297,9720.532,11583.427,13897.039,11128.832,13137.405,17199.463
Other PHW functions,0,2435,2600.584299,3466.432401,6780,7033,7348,5822.919446,6575.625674,7121.085398
Other expenditure,20469.07257,17253.651,26556.111,22249.629,16536.983,14143.346,15112.024,14249.75,18779.806,20113.829
