Category breakdown,2009-10 ,2010-11 ,2011-12 ,2012-13 ,2013-14 ,2014-15 ,2015-16 ,2016-17 ,2017-18 ,2018-19 ,2019-20,2020-21,2021-22,2022-23
Total ,666935.6206,692004,689161.5214,693503.6931,716711.916,740194.3074,779994.5235,825652.528,846991.9572,877382.7186,937554.0512,1078380.885,1123223.474,1174108.255
Infectious diseases Total,8611.548453,9017,10629,9275.879764,9717.931246,10658.86896,11873.98542,11202.2115,19750.93391,18774.73954,18225.79013,59473.3549,57470.82718,39443.10209
Cancers & tumours Total,48150.89093,50351,49663,53211.00864,55122.90984,54987.88416,61737.4698,64594.42743,61302.22608,63818.21031,69863.25645,89708.48945,87198.09403,92336.98843
Blood disorders Total,4635.995164,4675,5016,5579.513375,5981.378386,6089.324657,6207.732787,7745.203638,7316.620862,8045.006003,10318.16414,12921.22786,13894.62721,13649.74343
"Endocrine, nutritional & metabolic problems Total",20365.91831,22922,23110,23409.11318,26327.56135,28051.87346,29259.74994,30889.42911,31016.09098,35293.95076,37418.29683,43448.77026,48665.4541,54764.39363
Diabetes ,8906.300165,11378,12053,11867.07851,13676.34508,13567.88446,15089.15092,15924.65032,15900.79338,17981.83472,19548.88271,20978.37326,22810.46111,26525.79461
"Other endocrine, nutritional and metabolic problems ",11459.61814,11544,11057,11542.24032,12651.21627,14483.989,17609.88539,14964.77879,15115.2976,17312.11604,17869.41413,22470.397,25854.99299,28238.59903
Mental health problems Total,72304.1438,73329,75955,73180.75271,76474.03397,77495.19485,76979.22709,80949.28055,83754.16378,85202.8283,91961.19192,103779.7736,106355.0191,115790.3528
General mental illness ,41592.54972,42240,43863,41675.62437,40057.94977,39845.75385,41810.07681,39865.43392,39974.21593,41846.14056,49820.80776,50464.8477,52242.75488,55968.20328
Elderly mental illness ,18390.19598,16694,17214,17158.43518,20896.88055,21342.70431,19905.01256,23704.6346,24173.53225,24699.10605,22680.18491,31799.41701,32152.59485,33797.90987
Child & adolescent mental health services ,3085.911944,3784,3946,4750.123313,4754.821431,4556.32835,4668.316055,6519.139537,6573.747193,6112.764508,7968.026135,8590.943112,9836.282874,12429.49947
Other mental health problems ,9235.486159,10611,10932,9596.569841,10764.38222,11750.40834,10595.82167,10860.0725,13032.6684,12544.81719,11492.17311,12924.56576,12123.38649,13594.74017
Learning disability problems Total,20875.63445,20167,22234,24032.13377,24426.63469,24350.31041,23805.59492,22874.95431,23609.81954,23891.34102,28756.27885,29869.55267,28054.03632,28921.8758
Neurological system problems Total,18239.3297,19960,18874,26745.72324,31571.61445,36143.48702,36731.50269,42089.67166,38290.68281,37811.96812,38314.77387,42860.79191,47594.42198,47586.821
Eye/vision problems Total,15752.89048,16331,16414,15733.01337,15568.95299,17895.83341,18973.08473,22040.79085,23890.9885,25658.71647,24169.76624,26125.37747,31277.37875,26993.95904
Hearing problems Total,2582.262288,2158,2636,2580.841139,2302.567522,2302.017623,3586.224383,3519.119454,3827.789427,3961.360579,4071.440585,3339.672129,4308.546047,4674.0455
Circulation problems Total,60833.3744,63958,60133,58260.02328,56182.21626,57303.7134,62316.47442,63285.36781,67156.50431,74068.98733,77772.58447,83225.9968,91859.91216,97403.68355
Coronary Heart Disease ,23016.89953,25711,23955,18087.87819,16492.76684,14665.11723,16108.93821,15874.87891,14193.52726,15083.55431,15075.10697,16609.86372,17253.15102,16702.30804
Cerebrovascular disease ,9023.730304,9589,9767,10187.12936,10550.44056,10125.20667,11529.29238,12799.47201,10684.43303,12746.85132,12781.21925,14033.35668,17342.67357,20386.98647
Other problems of circulation,28792.74457,28658,26411,29985.46881,29139.00885,32513.3895,34678.24384,34611.01688,42278.54402,46238.5817,49916.25825,52582.7764,57264.08757,60314.38904
Respiratory problems Total,39078.61339,40953,40523,40889.92037,41472.5056,45152.833,47123.16967,50623.55893,47781.21395,49358.74523,51998.29541,44501.12077,54490.97361,62558.1755
Dental problems Total,20429.53566,20122,19502,19349.31258,18942.10927,18745.24005,17505.73,19446.12933,19254.88475,19170.17325,20464.31948,21324.77039,23055.40662,24242.02287
Gastro intestinal problems Total,41726.87078,43717,45545,41452.87654,42678.08706,46231.90332,47583.90715,48227.85801,48338.17549,51783.24,56034.42302,69720.41547,72120.61955,77475.93799
Skin problems Total,12769.32321,13658,14277,15883.14434,17929.21946,18727.02041,19116.56197,20619.34369,20645.23567,21873.34728,21708.43622,20714.19574,24356.16573,27734.2105
Musculo skeletal system problems (exc Trauma) Total,45831.90234,48072,50393,46070.86475,45189.1247,48385.5741,47822.18605,52026.07087,50627.52326,55307.9852,54543.80528,40947.56121,48943.42434,55395.5646
Trauma & injuries (inc burns) Total,53306.88366,49669,47061,46682.94641,52221.03576,55428.80121,59672.54504,61297.51164,65595.43555,68144.59827,76905.56312,106706.8121,106212.4064,110862.5453
Genito Urinary system disorders (exc infertility) Total,30715.06641,31091,33044,34392.73793,36844.23919,36439.84601,38230.32884,41060.97708,37097.37579,39076.61691,38961.97349,44949.00358,47305.44098,53010.21183
Genital tract problems ,14423.03225,13620,14562,8868.859461,9041.619743,8198.047017,9238.404678,9544.120387,9609.53035,9466.766058,8953.539811,9449.432724,10459.19963,12393.48947
Renal problems ,1812.008596,5355,5336,11323.67576,12968.67353,11884.27745,12325.0074,13211.53207,12620.78052,12671.73042,14235.36368,14229.79154,18305.35951,19787.28174
Chronic renal failure,1909.249993,1983,1759,0,0,0,0,0,0,0,0,0,0,0
Sexually transmitted infections,0,0,0,40.012421,1294.221263,1540.919966,1511.171313,1338.541771,37.335062,36.027798,45.764023,33.260506,52.001903,420.643272
Other problems of the genito urinary system ,12570.77558,10133,11387,14160.19028,13539.72465,14816.60157,15155.74545,16966.78286,14829.72986,16902.09264,15727.30598,21236.51881,18488.87994,20408.79736
Maternity & reproductive health Total,22583.45782,23458,23840,23004.18268,25016.95717,25997.55206,26441.19562,26634.58805,26117.92318,27045.46361,26738.02241,41125.06786,37064.26441,35283.76897
Neonates Total,5050.887647,4665,5322,5544.534052,5975.806066,6209.496897,8301.009178,7618.655726,5664.999055,6168.840177,4423.175032,7973.777706,7698.309472,9637.910071
Poisoning Total,7780.150841,8622,8504,8590.116486,9297.585123,9322.923322,9960.41849,10656.60545,8675.604527,8056.686838,8339.35783,10184.81799,11402.67271,11017.42169
Healthy individuals (includes Screening) Total,15955.16885,19308,18898.53055,15161.87775,14722.86238,13557.09136,13122.66298,14306.73575,14253.81954,15579.62,17285.002,19033.69682,26725.27902,31171.37563
Social care needs Total,5230.128361,4346,5045,5537.946947,5190.752153,5316.860318,6452.375928,6615.995551,6535.484,8416.704705,8816.813144,8377.931932,9887.346041,9621.859631
Other Total,94125.64365,101455,92542.99088,98935.22984,97555.83142,95400.65741,107191.3864,117328.0416,136488.4622,130873.5886,150463.3213,148068.7065,137282.8478,144532.2854
General medical services,51662.64854,46504,43720,47132.25212,44857.49672,47304.2278,49990.97133,49299.34872,59097.78782,59527.30961,59942.02833,62150.23864,68096.40449,73182.32337
Open access,9880.482965,10927,9152,13607.66218,13989.41694,13098.65932,12254.46198,13045.26113,15631.4156,16174.1863,13917.631,11540.87337,13528.38754,19135.20186
Continuing care,21781.65108,23636,20034,18871.77097,17149.5134,14203.05983,21812.13502,19087.71985,17928.03299,17975.16731,17475.52372,18342.8718,14690.56615,11289.29479
Other PHW functions,0,3146,3390.522875,5316.827783,8820,9124,9532,7513.674046,8468.739593,9148.718511,10285.89555,9126.818448,13275.22198,16003.03232
Other expenditure,10800.86107,17242,16246.468,14006.71678,12739.40436,11670.71046,13601.8181,28382.03785,35362.48619,28048.20692,48842.24272,46907.90424,27692.26765,24922.4331
