Category breakdown,2009-10 ,2010-11 ,2011-12 ,2012-13 ,2013-14 ,2014-15 ,2015-16 ,2016-17 ,2017-18 ,2018-19 ,2019-20,2020-21 ,2021-22 ,2022-23 
Total,5230830.077,5355032.405,5389459.054,5427472.461,5560110.73,5802109.506,6117680.829,6381461.871,6534940.178,6802830.95,7276543.027,8340780.721,8801640.64,9227210.428
Infectious diseases Total,75470.46837,80741.54956,77967.02553,72821.35228,74892.99623,76806.26301,84787.7579,86672.13916,131931.4511,116907.8672,121630.2102,494556.0409,418417.5589,287228.7037
Cancers & tumours Total,352292.6521,347081.8851,356754.6848,360932.4973,380112.5157,409398.3385,437341.4286,452835.276,463181.2689,496927.0192,535943.481,629075.4819,650055.5191,718901.8188
Blood disorders Total,48638.60667,45470.62354,40953.91874,41054.3251,47082.89434,49489.54631,55027.70652,56726.55722,63706.37705,70289.21283,83312.78769,92244.42713,102220.0197,98823.63182
"Endocrine, nutritional & metabolic problems Total",165598.3997,178041.573,180530.6787,195207.8941,205463.8299,215734.1296,222627.5373,239654.5383,250231.8907,269317.9475,288730.211,338703.6607,369762.9381,399126.7968
Diabetes ,75954.5582,84466.29335,86277.11186,89807.26512,95235.63348,98401.22926,103302.4632,111306.3251,116313.1133,126307.4749,139940.1072,147883.8679,158454.7949,166847.9133
"Other endocrine, nutritional and metabolic problems ",89643.84146,93575.27963,94253.56683,105400.8346,110228.1965,117332.9003,144831.6345,128348.2132,133918.7774,143010.4726,148790.1038,190819.7928,211308.1432,232278.8835
Mental health problems Total,607446.5348,636711.5062,641841.7856,617500.846,634474.271,663251.2489,679989.5821,712264.3478,746248.3938,755836.4356,809849.6612,936330.7626,961572.8497,1015976.769
General mental illness ,306627.4371,327713.2853,316356.3515,254376.9074,271146.5484,305874.2562,310310.4645,312059.8325,338486.2214,345526.8766,377844.945,434007.3889,456400.334,491872.1302
Elderly mental illness ,167445.2606,176320.534,186407.7283,178856.514,181934.7523,201672.6569,210034.6559,228784.2163,231694.6387,228889.4731,241086.0235,276973.6274,268313.1351,268620.9675
Child & adolescent mental health services ,43814.2631,41928.56283,42819.89858,42846.74606,40248.6238,41320.27949,46373.23096,48853.60814,52295.27914,57038.59473,72544.7923,75663.84126,90926.00676,99728.17534
Other mental health problems ,89559.57876,90749.12413,96257.80717,141420.6784,141144.3466,114384.0562,113271.2308,122566.6908,123772.2545,124381.4912,118373.9004,149685.9051,145933.3739,155755.4958
Learning disability problems Total,119782.2766,119724.9755,118619.0622,122400.5475,123928.2559,131554.9373,135505.4621,144459.541,155772.7171,164975.4523,168546.2208,193279.1827,191484.8725,212781.8791
Neurological system problems Total,164611.2366,171250.679,167405.0784,247709.2202,266829.2522,283726.7162,315184.2608,317843.643,297409.4563,301696.1722,317953.3497,365364.6873,369063.5735,396986.5571
Eye/vision problems Total,113431.266,119226.0008,122642.8018,119408.2931,124020.0701,134912.8334,142052.5667,161637.2557,171647.1026,183092.7414,191726.6524,182015.877,201328.6524,219725.1941
Hearing problems Total,26277.51063,26561.02751,26795.97657,23556.39618,27725.03752,28276.26292,33180.81583,34747.44813,36165.05673,36809.31912,41612.013,36039.79514,43596.49037,46092.56316
