Category breakdown,2009-10 ,2010-11 ,2011-12 ,2012-13 ,2013-14 ,2014-15 ,2015-16 ,2016-17 ,2017-18 ,2018-19 ,2019-20,2020-21,2021-22,2022-23
Total ,240100.6001,246841.5923,243426.7153,242344.3724,258128.725,268774.903,275704.7685,285175.7151,293286.5687,303650.0213,323676.668,363070.4367,391114.998,403440.3834
Infectious diseases Total,2011.661042,3394.187818,2676.120304,2405.638,2544.863,2490.29,2899.026282,3493.294536,6153.407535,4620.32797,3627.739317,20327.12899,17147.76873,13259.50668
Cancers & tumours Total,17006.80301,17883.21182,17436.63614,14364.55,15075.21177,17463.489,21258.30213,18708.61509,18965.7205,23133.90488,22675.13377,22291.40814,24284.92177,28873.0118
Blood disorders Total,1710.932825,2233.122415,2548.715515,1748.812,2031.497,1748.97,2834.494798,2197.943809,1842.78139,2311.034393,2483.264055,2801.5945,3087.346551,3154.716466
"Endocrine, nutritional & metabolic problems Total",7694.610745,8206.163992,8209.157671,9538.929,10310.512,10543.367,10831.93246,11305.03858,10716.15084,11508.76026,11827.90644,13091.88033,14405.96242,16819.0665
Diabetes ,3663.572075,3641.374731,4285.742706,4151.357,4816.571,4865.634,5131.587516,5372.886474,5119.296167,5315.201805,5725.612152,5484.167616,6636.804836,7015.297563
"Other endocrine, nutritional and metabolic problems ",4031.038671,4564.789261,3923.414965,5387.572,5493.941,5677.733,6980.205935,5932.152107,5596.854671,6193.558455,6102.294286,7607.712715,7769.157588,9803.768935
Mental health problems Total,27997.447,31395.5272,28105.78193,26396.385,26565.702,28578.913,34326.07097,38299.20476,42485.05284,41230.34437,40775.29604,54526.2836,58195.54928,57057.63728
General mental illness ,13159.06693,12994.10308,12013.47971,11531.636,9000.101,11003.156,11696.57241,11895.21036,7071.793151,5864.976588,10277.82944,12545.7732,13579.9595,20116.70181
Elderly mental illness ,9370.709015,11613.79732,9357.005723,7057.269,10913.31,10867.992,10835.36409,12661.92719,11298.05922,10938.38131,14115.41669,17715.8392,19449.368,14098.99412
Child & adolescent mental health services ,2425.936258,3224.283097,3852.325314,2302.124,1372.309,1722.559,3974.58914,2537.291849,1090.988532,2451.363437,3647.758705,3797.00766,4655.646558,4000.486337
Other mental health problems ,3041.734803,3563.343702,2882.971177,5505.356,5279.982,4985.206,7819.54534,11204.77536,23024.21194,21975.62303,12734.2912,20467.66353,20510.57523,18841.45501
Learning disability problems Total,4859.605765,2603.41072,2554.888287,5038.6141,4714.51,5191.763,2856.562931,1456.569851,2087.191521,2116.346402,1256.087461,3002.062985,4991.646621,7903.700072
Neurological system problems Total,9693.840203,8262.357344,9685.159414,14120.355,12995.633,14067.935,15537.08105,14853.13993,16185.89557,14089.36269,16677.5539,16343.41071,16782.78678,17092.12004
Eye/vision problems Total,4375.505453,6564.171205,6321.842648,4577.926,3878.69,4332.881,5119.918108,4504.166074,5167.395941,5152.80164,6679.418967,6232.500199,7425.134697,7824.667545
Hearing problems Total,1375.609927,1522.665163,1401.89104,1181.187,1357.057,1619.376,1576.860126,1505.185647,1429.060948,1396.487923,2014.583453,1153.364519,1843.433436,1666.742094
Circulation problems Total,19237.92729,22365.7426,24401.30158,24846.901,23775.512,26047.515,27231.1538,29908.65301,28113.83724,30031.23005,32367.94047,41761.95754,33541.26499,38591.86852
Coronary Heart Disease ,7793.683388,6715.215635,7004.950147,6265.554,5508.265,5574.569,4826.054054,5969.77503,5280.520881,4767.77538,5524.003998,6020.87402,5502.413379,5958.347596
Cerebrovascular disease ,4081.26801,4986.808296,5612.76749,7718.133,6537.218,6682.213,8398.301812,7632.508667,7650.303755,8103.146284,8399.373304,13719.51577,8208.29301,9955.197302
Other problems of circulation,7362.975891,10663.71867,11783.58394,10863.214,11730.029,13790.733,14006.79794,16306.36932,15183.0126,17160.30838,18444.56317,22021.56774,19830.5586,22678.32362
Respiratory problems Total,14286.07718,14089.07091,15615.80459,17496.908,19583.2962,19687.439,19697.58237,22922.87381,22678.9126,21719.84938,20678.75103,19882.54103,20220.1133,24975.81487
Dental problems Total,8875.114654,6628.006742,7308.345572,7005.499,7803.816,7873.295,8542.508165,6863.480892,7682.45674,8895.917501,9283.774926,10684.94432,10759.82676,11578.01969
Gastro intestinal problems Total,13044.5053,13573.47235,15165.61212,13008.549,14209.094,16112.742,17196.49287,16053.47473,14679.99535,17496.3578,18837.21287,19809.51539,21587.94412,22401.52984
Skin problems Total,3746.010363,2836.940672,3180.218013,4567.856,5170.134,4733.661,4721.644641,5939.805811,4929.127595,6225.956425,4857.819054,6076.862596,5725.274267,6768.597791
Musculo skeletal system problems (exc Trauma) Total,17883.62404,15621.43698,14486.69187,12082.098,14619.289,12628.016,13247.85886,13920.09387,12177.28708,13727.53558,22637.84877,9699.909164,23637.82399,15797.47084
Trauma & injuries (inc burns) Total,17168.73629,20628.22481,19413.65529,23001.384,26926.791,25544.437,22586.96672,27932.41605,27619.91479,26555.69779,29912.59934,34299.13835,33446.77998,35391.26262
Genito Urinary system disorders (exc infertility) Total,9070.47175,10728.94851,12603.34411,12316.503,12210.627,13746.538,17046.12765,15102.37551,13939.8754,14136.83714,13457.11351,14744.03871,13334.95825,15530.17488
Genital tract problems ,4577.602735,5325.885795,6035.635986,1837.309,1926.603,1934.974,2131.951934,1758.440106,1907.159052,1871.769237,2868.43799,914.243756,3006.890458,2680.216035
Renal problems ,847.564004,1077.787771,1177.275384,3610.878,3210.265,4808.587,6831.793338,5001.878035,4744.696045,4743.652694,3792.801562,4793.833628,4534.491375,5865.553965
Chronic renal failure,955.812843,578.64963,2380.055543,0,0,0,0,0,0,0,0,0,0,0
Sexually transmitted infections,0,0,0,107.411,4.057,31.573,30.535653,2.914072,5.770846,6.086081,25.814273,0.211979,13.408788,6.398407
Other problems of the genito urinary system ,2689.492169,3746.625311,3010.377198,6760.905,7069.702,6971.404,8051.846722,8339.143296,7282.249453,7515.329123,6770.059688,9035.749349,5780.167627,6978.006471
Maternity & reproductive health Total,8770.204073,8643.207488,8385.692754,7161.437,7360.843,6546.74,7334.706866,7057.471302,7721.322842,7412.295482,7922.915696,9445.632417,9183.145276,8200.741671
Neonates Total,4015.395247,621.157036,760.746148,853.0554,997.793,847.465,841.230233,925.299317,1265.734376,1116.818545,1129.264902,1783.988037,1776.213284,1438.352413
Poisoning Total,3169.924601,2079.942449,2779.497741,3030.502,2672.727,3091.444,2689.015845,3119.17959,3003.037931,3042.353991,3291.013964,3422.949093,3900.211742,3083.46473
Healthy individuals (includes Screening) Total,4465.360346,5877.506555,8672.356997,6795.679344,5173.455,4214.423,4498.039063,3251.536906,2841.729455,2966.677672,3453.857098,4886.946164,11570.03256,10233.73018
Social care needs Total,3388.865803,4379.883012,2014.909879,2073.932,2350.315,2231.686,967.148701,1042.589863,1095.006448,1265.525922,1036.974013,1013.584586,1159.440391,1195.291572
Other Total,36252.36721,36703.23453,29698.34574,28731.67253,35801.357,39432.518,31864.04389,34813.30617,40505.6738,43497.59753,46792.59898,45788.79532,53107.41877,54602.89528
General medical services,23621.94607,13615.63748,11690.39311,10939.406,12064.591,13182.352,12281.71761,14092.86818,15841.21716,16864.34132,16963.23333,17059.84627,19462.63373,19626.37677
Open access,1479.634183,1956.328441,2076.9299,997.609,716.451,1061.509,1003.700614,992.712422,0.323071,1.482514,7.941217,137.14336,327.26653,299.14931
Continuing care,1956.924368,5139.058032,4033.032103,3639.579,4913.485,6404.886,5851.771156,6494.803924,6196.508495,4179.163618,4405.792063,6174.859575,6512.762431,7374.597893
Other PHW functions,0,1102,1180.470006,1573.735525,3049,3153,3294,2660.093383,2921.178325,3155.177984,3517.347933,3116.474592,4531.477243,5587.493888
Other expenditure,9193.86259,14890.21058,10717.52061,11581.343,15057.83,15630.771,9432.854516,10572.82826,15546.44676,19297.43209,21898.28444,19300.47152,22273.27883,21715.27742
