Category breakdown,2019-20,2020-21,2021-22,2022-23
Total ,920094.8954,1071853.954,1120030.483,1170896.853
Infectious diseases Total ,13370.24778,62217.04571,54955.88198,36520.39323
Cancers & tumours Total ,74291.04952,88163.59058,86911.17084,103336.9427
Blood disorders Total ,10768.78857,11928.80281,16589.65332,15458.64325
"Endocrine, nutritional & metabolic problems Total",34492.00745,39531.50749,43214.02632,49072.51178
Diabetes ,17865.1655,18594.29223,19149.11918,20810.32669
"Other endocrine, nutritional and metabolic problems ",16626.84195,20937.21526,24064.90714,28262.18509
Mental health problems Total,100646.4679,110360.4405,114067.6136,120487.567
General mental illness ,44784.82301,51368.03292,52325.91689,61211.88087
Elderly mental illness ,35452.51256,39741.18077,35734.51093,27989.57606
Child & adolescent mental health services ,6486.749187,3636.415493,7084.20304,7956.611164
Other mental health problems ,13922.38315,15614.81133,18922.98272,23329.49894
Learning disability problems Total ,24774.28357,29837.94994,31908.6913,38619.08454
Neurological system problems Total ,42281.49045,46514.26842,47148.83588,52334.66067
Eye/vision problems Total ,24400.04584,23695.9905,24659.05586,28174.10655
Hearing problems Total ,6254.054084,5308.509504,5981.107595,6476.016723
Circulation problems Total,75363.88752,86201.92957,86890.13702,91695.47531
Coronary Heart Disease ,12844.88258,17595.644,14628.32827,13449.43408
Cerebrovascular disease ,13946.24254,17345.71618,16248.97849,15143.27756
Other problems of circulation,48572.7624,51260.5694,56012.83026,63102.76367
Respiratory problems Total ,59793.39181,52813.3454,57404.22467,62430.76452
Dental problems Total ,28669.97606,29296.40174,31470.36404,32782.66418
Gastro intestinal problems Total ,56815.07945,61342.39774,68100.05589,73478.10122
Skin problems Total ,19949.47915,20713.1414,21865.08137,21702.05429
Musculo skeletal system problems (exc Trauma) Total ,47273.31141,44458.88647,52590.60889,54361.22602
Trauma & injuries (inc burns) Total ,69477.50371,84531.57858,92502.70921,93171.07675
Genito Urinary system disorders (exc infertility) Total,43860.5656,42314.66382,44704.97328,48547.65501
Genital tract problems ,10913.95541,8252.242604,11698.61374,13538.9296
Renal problems ,15537.19048,16109.07988,16635.22648,15494.81207
Chronic renal failure,0,0,0,0
Sexually transmitted infections,2944.047972,3684.42006,3831.101714,4334.755049
Other problems of the genito urinary system ,14465.37174,14268.92128,12540.03134,15179.15828
Maternity & reproductive health Total ,28490.82799,45475.14741,32033.88897,34997.64471
Neonates Total ,6924.934387,6914.577394,5382.156683,5918.544434
Poisoning Total ,9525.046691,11127.10941,10840.07142,11062.60134
Healthy individuals (includes Screening) Total ,19492.13247,23097.02895,35831.8179,33420.35029
Social care needs Total ,9114.053283,12828.3164,10329.59205,10441.05294
Other Total,114066.2707,133181.3243,144648.7646,146407.7159
General medical services,54713.56474,62976.66242,67069.77302,66446.65618
Open access,10011.51016,10721.11205,9080.114963,12367.75748
Continuing care,21887.43707,24786.98183,27609.12938,17698.25902
Other PHW functions,10366.21012,9201.020224,13317.12017,15887.85774
Other expenditure,17087.54865,25495.54782,27572.62704,34007.1855
