Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,Organisation,Organisation_reference,Organisation_sort,Organisation_hierarchy,Year,Programme category,Programme category_reference,Programme category_sort,Programme category_hierarchy,Commissioner,Commissioner_reference,Commissioner_sort,Commissioner_hierarchy,Notes
"     178,637",178637.0912,Expenditure (£000),1,1,,Wales,W,0,,2023-24,Diabetes,5,5,4,LHB and PHW total,Tot,5,,Total
"     241,619",241619.2127,Expenditure (£000),1,1,,Wales,W,0,,2023-24,"Other endocrine, nutritional and metabolic problems",6,6,4,LHB and PHW total,Tot,5,,Total
"     545,618",545618.4108,Expenditure (£000),1,1,,Wales,W,0,,2023-24,General mental illness,8,8,7,LHB and PHW total,Tot,5,,Total
"     300,137",300137.3874,Expenditure (£000),1,1,,Wales,W,0,,2023-24,Elderly mental illness,9,9,7,LHB and PHW total,Tot,5,,Total
"     116,779",116779.0558,Expenditure (£000),1,1,,Wales,W,0,,2023-24,Child & adolescent mental health services,10,10,7,LHB and PHW total,Tot,5,,Total
"     161,593",161592.6619,Expenditure (£000),1,1,,Wales,W,0,,2023-24,Other mental health problems,11,11,7,LHB and PHW total,Tot,5,,Total
"     129,252",129251.5244,Expenditure (£000),1,1,,Wales,W,0,,2023-24,Coronary Heart Disease,17,17,16,LHB and PHW total,Tot,5,,Total
"     129,167",129166.7882,Expenditure (£000),1,1,,Wales,W,0,,2023-24,Cerebrovascular disease,18,18,16,LHB and PHW total,Tot,5,,Total
"     480,151",480150.8102,Expenditure (£000),1,1,,Wales,W,0,,2023-24,Other problems of circulation,19,19,16,LHB and PHW total,Tot,5,,Total
"      87,775",87774.72818,Expenditure (£000),1,1,,Wales,W,0,,2023-24,Genital tract problems,27,27,26,LHB and PHW total,Tot,5,,Total
"     148,541",148540.8387,Expenditure (£000),1,1,,Wales,W,0,,2023-24,Renal problems,28,28,26,LHB and PHW total,Tot,5,,Total
           0,0,Expenditure (£000),1,1,,Wales,W,0,,2023-24,Chronic renal failure,29,29,26,LHB and PHW total,Tot,5,,Total
"       8,131",8131.396674,Expenditure (£000),1,1,,Wales,W,0,,2023-24,Sexually transmitted infections,43,30,26,LHB and PHW total,Tot,5,,Total
"     183,652",183651.9858,Expenditure (£000),1,1,,Wales,W,0,,2023-24,Other problems of the genito urinary system,30,31,26,LHB and PHW total,Tot,5,,Total
"     573,776",573776.4494,Expenditure (£000),1,1,,Wales,W,0,,2023-24,General medical services ,37,38,36,LHB and PHW total,Tot,5,,Total
"     113,891",113891.1521,Expenditure (£000),1,1,,Wales,W,0,,2023-24,Open access ,38,39,36,LHB and PHW total,Tot,5,,Total
"     162,675",162675.4099,Expenditure (£000),1,1,,Wales,W,0,,2023-24,Continuing care ,39,40,36,LHB and PHW total,Tot,5,,Total
"     138,150",138149.7056,Expenditure (£000),1,1,,Wales,W,0,,2023-24,Other PHW functions,42,42,36,LHB and PHW total,Tot,5,,Total
"     413,755",413754.9616,Expenditure (£000),1,1,,Wales,W,0,,2023-24,Other expenditure,44,43,36,LHB and PHW total,Tot,5,,Total
"      34,518",34517.62227,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Diabetes,5,5,4,LHB and PHW total,Tot,5,,Total
"      45,227",45227.47995,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,"Other endocrine, nutritional and metabolic problems",6,6,4,LHB and PHW total,Tot,5,,Total
"     111,678",111678.3408,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,General mental illness,8,8,7,LHB and PHW total,Tot,5,,Total
"      71,387",71386.70031,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Elderly mental illness,9,9,7,LHB and PHW total,Tot,5,,Total
"      35,051",35051.26816,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Child & adolescent mental health services,10,10,7,LHB and PHW total,Tot,5,,Total
"      28,529",28528.8424,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Other mental health problems,11,11,7,LHB and PHW total,Tot,5,,Total
"      32,955",32954.66096,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Coronary Heart Disease,17,17,16,LHB and PHW total,Tot,5,,Total
"      36,873",36873.32105,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Cerebrovascular disease,18,18,16,LHB and PHW total,Tot,5,,Total
"     115,753",115752.9422,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Other problems of circulation,19,19,16,LHB and PHW total,Tot,5,,Total
"      15,025",15024.87654,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Genital tract problems,27,27,26,LHB and PHW total,Tot,5,,Total
"      36,179",36178.9004,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Renal problems,28,28,26,LHB and PHW total,Tot,5,,Total
           0,0,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Chronic renal failure,29,29,26,LHB and PHW total,Tot,5,,Total
          96,96.00222581,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Sexually transmitted infections,43,30,26,LHB and PHW total,Tot,5,,Total
"      45,475",45474.98961,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Other problems of the genito urinary system,30,31,26,LHB and PHW total,Tot,5,,Total
"     146,467",146467,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,General medical services ,37,38,36,LHB and PHW total,Tot,5,,Total
"      20,930",20930.40348,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Open access ,38,39,36,LHB and PHW total,Tot,5,,Total
"      11,447",11446.56739,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Continuing care ,39,40,36,LHB and PHW total,Tot,5,,Total
"      30,567",30566.55942,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Other PHW functions,42,42,36,LHB and PHW total,Tot,5,,Total
"      82,619",82619.36187,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Other expenditure,44,43,36,LHB and PHW total,Tot,5,,Total
"       7,644",7644.362385,Expenditure (£000),1,1,,Powys Teaching Health Board,7A7,2,W,2023-24,Diabetes,5,5,4,LHB and PHW total,Tot,5,,Total
