Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,Organisation,Organisation_reference,Organisation_sort,Organisation_hierarchy,Year,Programme category,Programme category_reference,Programme category_sort,Programme category_hierarchy,Commissioner,Commissioner_reference,Commissioner_sort,Commissioner_hierarchy,Notes
"     223,217",223216.933,Expenditure (£000),1,1,,Wales,W,0,,2023-24,Infectious diseases,1,1,999,LHB and PHW total,Tot,5,,Total
"     788,286",788286.422,Expenditure (£000),1,1,,Wales,W,0,,2023-24,Cancers & tumours,2,2,999,LHB and PHW total,Tot,5,,Total
"      98,168",98168.40311,Expenditure (£000),1,1,,Wales,W,0,,2023-24,Blood disorders,3,3,999,LHB and PHW total,Tot,5,,Total
"     420,256",420256.3039,Expenditure (£000),1,1,,Wales,W,0,,2023-24,"Endocrine, nutritional & metabolic problems ",4,4,999,LHB and PHW total,Tot,5,,Total
"   1,124,128",1124127.516,Expenditure (£000),1,1,,Wales,W,0,,2023-24,Mental health problems,7,7,999,LHB and PHW total,Tot,5,,Total
"     239,189",239188.6183,Expenditure (£000),1,1,,Wales,W,0,,2023-24,Learning disability problems,12,12,999,LHB and PHW total,Tot,5,,Total
"     412,298",412298.3896,Expenditure (£000),1,1,,Wales,W,0,,2023-24,Neurological system problems,13,13,999,LHB and PHW total,Tot,5,,Total
"     236,881",236880.8212,Expenditure (£000),1,1,,Wales,W,0,,2023-24,Eye/vision problems,14,14,999,LHB and PHW total,Tot,5,,Total
"      49,879",49878.64133,Expenditure (£000),1,1,,Wales,W,0,,2023-24,Hearing problems,15,15,999,LHB and PHW total,Tot,5,,Total
"     738,569",738569.1228,Expenditure (£000),1,1,,Wales,W,0,,2023-24,Circulation problems,16,16,999,LHB and PHW total,Tot,5,,Total
"     553,703",553703.4975,Expenditure (£000),1,1,,Wales,W,0,,2023-24,Respiratory problems,20,20,999,LHB and PHW total,Tot,5,,Total
"     238,158",238157.6651,Expenditure (£000),1,1,,Wales,W,0,,2023-24,Dental problems,21,21,999,LHB and PHW total,Tot,5,,Total
"     640,626",640626.1766,Expenditure (£000),1,1,,Wales,W,0,,2023-24,Gastro intestinal problems,22,22,999,LHB and PHW total,Tot,5,,Total
"     215,166",215166.0303,Expenditure (£000),1,1,,Wales,W,0,,2023-24,Skin problems,23,23,999,LHB and PHW total,Tot,5,,Total
"     467,256",467255.9459,Expenditure (£000),1,1,,Wales,W,0,,2023-24,Musculo skeletal system problems (exc Trauma),24,24,999,LHB and PHW total,Tot,5,,Total
"     786,286",786285.9233,Expenditure (£000),1,1,,Wales,W,0,,2023-24,Trauma & injuries (inc burns),25,25,999,LHB and PHW total,Tot,5,,Total
"     428,099",428098.9494,Expenditure (£000),1,1,,Wales,W,0,,2023-24,Genito Urinary system disorders (exc infertility),26,26,999,LHB and PHW total,Tot,5,,Total
"     314,831",314831.3718,Expenditure (£000),1,1,,Wales,W,0,,2023-24,Maternity & reproductive health,31,32,999,LHB and PHW total,Tot,5,,Total
"      79,070",79070.37264,Expenditure (£000),1,1,,Wales,W,0,,2023-24,Neonates,32,33,999,LHB and PHW total,Tot,5,,Total
"      90,117",90116.72334,Expenditure (£000),1,1,,Wales,W,0,,2023-24,Poisoning,33,34,999,LHB and PHW total,Tot,5,,Total
"     257,955",257955.2686,Expenditure (£000),1,1,,Wales,W,0,,2023-24,Healthy individuals (includes Screening),34,35,999,LHB and PHW total,Tot,5,,Total
"      93,498",93498.40879,Expenditure (£000),1,1,,Wales,W,0,,2023-24,Social care needs,35,36,999,LHB and PHW total,Tot,5,,Total
"   1,402,248",1402247.679,Expenditure (£000),1,1,,Wales,W,0,,2023-24,Other,36,37,999,LHB and PHW total,Tot,5,,Total
"   9,897,885",9897885.183,Expenditure (£000),1,1,,Wales,W,0,,2023-24,Total,999,44,,LHB and PHW total,Tot,5,,Total
"      53,011",53010.52815,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Infectious diseases,1,1,999,LHB and PHW total,Tot,5,,Total
"     187,884",187883.6405,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Cancers & tumours,2,2,999,LHB and PHW total,Tot,5,,Total
"      17,499",17499.10709,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Blood disorders,3,3,999,LHB and PHW total,Tot,5,,Total
"      79,745",79745.10222,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,"Endocrine, nutritional & metabolic problems ",4,4,999,LHB and PHW total,Tot,5,,Total
"     246,645",246645.1517,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Mental health problems,7,7,999,LHB and PHW total,Tot,5,,Total
"      49,645",49644.9855,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Learning disability problems,12,12,999,LHB and PHW total,Tot,5,,Total
"     109,583",109583.3811,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Neurological system problems,13,13,999,LHB and PHW total,Tot,5,,Total
"      53,800",53800.07487,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Eye/vision problems,14,14,999,LHB and PHW total,Tot,5,,Total
"      12,066",12066.48241,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Hearing problems,15,15,999,LHB and PHW total,Tot,5,,Total
"     185,581",185580.9243,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Circulation problems,16,16,999,LHB and PHW total,Tot,5,,Total
"     124,041",124041.3401,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Respiratory problems,20,20,999,LHB and PHW total,Tot,5,,Total
"      45,150",45149.52536,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Dental problems,21,21,999,LHB and PHW total,Tot,5,,Total
"     139,836",139835.6537,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Gastro intestinal problems,22,22,999,LHB and PHW total,Tot,5,,Total
"      49,441",49441.36231,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Skin problems,23,23,999,LHB and PHW total,Tot,5,,Total
"     111,752",111751.968,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Musculo skeletal system problems (exc Trauma),24,24,999,LHB and PHW total,Tot,5,,Total
"     174,974",174974.3471,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Trauma & injuries (inc burns),25,25,999,LHB and PHW total,Tot,5,,Total
"      96,775",96774.76878,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Genito Urinary system disorders (exc infertility),26,26,999,LHB and PHW total,Tot,5,,Total
"      66,876",66876.07313,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Maternity & reproductive health,31,32,999,LHB and PHW total,Tot,5,,Total
"      21,977",21977.21246,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Neonates,32,33,999,LHB and PHW total,Tot,5,,Total
"      21,475",21475.22847,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Poisoning,33,34,999,LHB and PHW total,Tot,5,,Total
"      43,028",43028.00822,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Healthy individuals (includes Screening),34,35,999,LHB and PHW total,Tot,5,,Total
"      26,563",26563.46627,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Social care needs,35,36,999,LHB and PHW total,Tot,5,,Total
"     292,030",292029.8922,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Other,36,37,999,LHB and PHW total,Tot,5,,Total
"   2,209,378",2209378.224,Expenditure (£000),1,1,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Total,999,44,,LHB and PHW total,Tot,5,,Total
"      10,460",10459.81338,Expenditure (£000),1,1,,Powys Teaching Health Board,7A7,2,W,2023-24,Infectious diseases,1,1,999,LHB and PHW total,Tot,5,,Total
"      31,613",31613.33361,Expenditure (£000),1,1,,Powys Teaching Health Board,7A7,2,W,2023-24,Cancers & tumours,2,2,999,LHB and PHW total,Tot,5,,Total
"       3,169",3168.50992,Expenditure (£000),1,1,,Powys Teaching Health Board,7A7,2,W,2023-24,Blood disorders,3,3,999,LHB and PHW total,Tot,5,,Total
"      17,308",17308.19709,Expenditure (£000),1,1,,Powys Teaching Health Board,7A7,2,W,2023-24,"Endocrine, nutritional & metabolic problems ",4,4,999,LHB and PHW total,Tot,5,,Total
"      65,982",65981.94462,Expenditure (£000),1,1,,Powys Teaching Health Board,7A7,2,W,2023-24,Mental health problems,7,7,999,LHB and PHW total,Tot,5,,Total
"      11,584",11583.87166,Expenditure (£000),1,1,,Powys Teaching Health Board,7A7,2,W,2023-24,Learning disability problems,12,12,999,LHB and PHW total,Tot,5,,Total
"      16,247",16247.32706,Expenditure (£000),1,1,,Powys Teaching Health Board,7A7,2,W,2023-24,Neurological system problems,13,13,999,LHB and PHW total,Tot,5,,Total
"       9,811",9811.328956,Expenditure (£000),1,1,,Powys Teaching Health Board,7A7,2,W,2023-24,Eye/vision problems,14,14,999,LHB and PHW total,Tot,5,,Total
"       2,291",2290.655233,Expenditure (£000),1,1,,Powys Teaching Health Board,7A7,2,W,2023-24,Hearing problems,15,15,999,LHB and PHW total,Tot,5,,Total
"      35,612",35611.56756,Expenditure (£000),1,1,,Powys Teaching Health Board,7A7,2,W,2023-24,Circulation problems,16,16,999,LHB and PHW total,Tot,5,,Total
"      24,346",24345.62555,Expenditure (£000),1,1,,Powys Teaching Health Board,7A7,2,W,2023-24,Respiratory problems,20,20,999,LHB and PHW total,Tot,5,,Total
"       9,873",9872.675654,Expenditure (£000),1,1,,Powys Teaching Health Board,7A7,2,W,2023-24,Dental problems,21,21,999,LHB and PHW total,Tot,5,,Total
"      26,423",26423.13346,Expenditure (£000),1,1,,Powys Teaching Health Board,7A7,2,W,2023-24,Gastro intestinal problems,22,22,999,LHB and PHW total,Tot,5,,Total
"       7,502",7502.261592,Expenditure (£000),1,1,,Powys Teaching Health Board,7A7,2,W,2023-24,Skin problems,23,23,999,LHB and PHW total,Tot,5,,Total
"      24,055",24054.99417,Expenditure (£000),1,1,,Powys Teaching Health Board,7A7,2,W,2023-24,Musculo skeletal system problems (exc Trauma),24,24,999,LHB and PHW total,Tot,5,,Total
"      37,912",37911.76769,Expenditure (£000),1,1,,Powys Teaching Health Board,7A7,2,W,2023-24,Trauma & injuries (inc burns),25,25,999,LHB and PHW total,Tot,5,,Total
"      16,160",16160.37323,Expenditure (£000),1,1,,Powys Teaching Health Board,7A7,2,W,2023-24,Genito Urinary system disorders (exc infertility),26,26,999,LHB and PHW total,Tot,5,,Total
"      10,874",10873.99348,Expenditure (£000),1,1,,Powys Teaching Health Board,7A7,2,W,2023-24,Maternity & reproductive health,31,32,999,LHB and PHW total,Tot,5,,Total
"       1,480",1479.92154,Expenditure (£000),1,1,,Powys Teaching Health Board,7A7,2,W,2023-24,Neonates,32,33,999,LHB and PHW total,Tot,5,,Total
"       4,072",4071.546205,Expenditure (£000),1,1,,Powys Teaching Health Board,7A7,2,W,2023-24,Poisoning,33,34,999,LHB and PHW total,Tot,5,,Total
"       7,788",7788.001641,Expenditure (£000),1,1,,Powys Teaching Health Board,7A7,2,W,2023-24,Healthy individuals (includes Screening),34,35,999,LHB and PHW total,Tot,5,,Total
"       1,068",1067.603228,Expenditure (£000),1,1,,Powys Teaching Health Board,7A7,2,W,2023-24,Social care needs,35,36,999,LHB and PHW total,Tot,5,,Total
"      59,419",59418.99116,Expenditure (£000),1,1,,Powys Teaching Health Board,7A7,2,W,2023-24,Other,36,37,999,LHB and PHW total,Tot,5,,Total
"     435,047",435047.4377,Expenditure (£000),1,1,,Powys Teaching Health Board,7A7,2,W,2023-24,Total,999,44,,LHB and PHW total,Tot,5,,Total
"      31,882",31882.49054,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,Infectious diseases,1,1,999,LHB and PHW total,Tot,5,,Total
"     109,151",109150.7267,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,Cancers & tumours,2,2,999,LHB and PHW total,Tot,5,,Total
"      14,328",14328.32075,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,Blood disorders,3,3,999,LHB and PHW total,Tot,5,,Total
"      58,770",58769.50988,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,"Endocrine, nutritional & metabolic problems ",4,4,999,LHB and PHW total,Tot,5,,Total
"     124,974",124974.3373,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,Mental health problems,7,7,999,LHB and PHW total,Tot,5,,Total
"      32,088",32088.31545,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,Learning disability problems,12,12,999,LHB and PHW total,Tot,5,,Total
"      57,641",57640.94594,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,Neurological system problems,13,13,999,LHB and PHW total,Tot,5,,Total
"      29,718",29718.47263,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,Eye/vision problems,14,14,999,LHB and PHW total,Tot,5,,Total
"       5,637",5637.484064,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,Hearing problems,15,15,999,LHB and PHW total,Tot,5,,Total
"     104,481",104480.8415,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,Circulation problems,16,16,999,LHB and PHW total,Tot,5,,Total
"      69,291",69290.76613,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,Respiratory problems,20,20,999,LHB and PHW total,Tot,5,,Total
"      21,176",21175.8842,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,Dental problems,21,21,999,LHB and PHW total,Tot,5,,Total
"      88,649",88648.59706,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,Gastro intestinal problems,22,22,999,LHB and PHW total,Tot,5,,Total
"      31,433",31432.50829,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,Skin problems,23,23,999,LHB and PHW total,Tot,5,,Total
"      61,270",61270.4229,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,Musculo skeletal system problems (exc Trauma),24,24,999,LHB and PHW total,Tot,5,,Total
"     121,494",121493.9507,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,Trauma & injuries (inc burns),25,25,999,LHB and PHW total,Tot,5,,Total
"      61,948",61947.52423,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,Genito Urinary system disorders (exc infertility),26,26,999,LHB and PHW total,Tot,5,,Total
"      36,162",36161.68942,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,Maternity & reproductive health,31,32,999,LHB and PHW total,Tot,5,,Total
"       7,745",7745.275505,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,Neonates,32,33,999,LHB and PHW total,Tot,5,,Total
"      11,409",11408.77284,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,Poisoning,33,34,999,LHB and PHW total,Tot,5,,Total
"      26,145",26144.98605,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,Healthy individuals (includes Screening),34,35,999,LHB and PHW total,Tot,5,,Total
"      12,066",12065.82932,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,Social care needs,35,36,999,LHB and PHW total,Tot,5,,Total
"     161,047",161047.0321,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,Other,36,37,999,LHB and PHW total,Tot,5,,Total
"   1,278,505",1278504.684,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,Total,999,44,,LHB and PHW total,Tot,5,,Total
"      24,427",24427.14836,Expenditure (£000),1,1,,Swansea Bay University Health Board,7A3,5,W,2023-24,Infectious diseases,1,1,999,LHB and PHW total,Tot,5,,Total
"     114,537",114537.0152,Expenditure (£000),1,1,,Swansea Bay University Health Board,7A3,5,W,2023-24,Cancers & tumours,2,2,999,LHB and PHW total,Tot,5,,Total
"      16,215",16215.14343,Expenditure (£000),1,1,,Swansea Bay University Health Board,7A3,5,W,2023-24,Blood disorders,3,3,999,LHB and PHW total,Tot,5,,Total
"      53,306",53305.68006,Expenditure (£000),1,1,,Swansea Bay University Health Board,7A3,5,W,2023-24,"Endocrine, nutritional & metabolic problems ",4,4,999,LHB and PHW total,Tot,5,,Total
"     140,357",140356.9929,Expenditure (£000),1,1,,Swansea Bay University Health Board,7A3,5,W,2023-24,Mental health problems,7,7,999,LHB and PHW total,Tot,5,,Total
"      37,712",37711.77331,Expenditure (£000),1,1,,Swansea Bay University Health Board,7A3,5,W,2023-24,Learning disability problems,12,12,999,LHB and PHW total,Tot,5,,Total
"      49,968",49967.75306,Expenditure (£000),1,1,,Swansea Bay University Health Board,7A3,5,W,2023-24,Neurological system problems,13,13,999,LHB and PHW total,Tot,5,,Total
"      27,584",27583.75405,Expenditure (£000),1,1,,Swansea Bay University Health Board,7A3,5,W,2023-24,Eye/vision problems,14,14,999,LHB and PHW total,Tot,5,,Total
"       6,663",6663.156999,Expenditure (£000),1,1,,Swansea Bay University Health Board,7A3,5,W,2023-24,Hearing problems,15,15,999,LHB and PHW total,Tot,5,,Total
"      94,953",94952.86494,Expenditure (£000),1,1,,Swansea Bay University Health Board,7A3,5,W,2023-24,Circulation problems,16,16,999,LHB and PHW total,Tot,5,,Total
"      64,867",64867.04535,Expenditure (£000),1,1,,Swansea Bay University Health Board,7A3,5,W,2023-24,Respiratory problems,20,20,999,LHB and PHW total,Tot,5,,Total
"      31,993",31993.09328,Expenditure (£000),1,1,,Swansea Bay University Health Board,7A3,5,W,2023-24,Dental problems,21,21,999,LHB and PHW total,Tot,5,,Total
