Category breakdown,2009-10 ,2010-11 ,2011-12 ,2012-13 ,2013-14 ,2014-15 ,2015-16 ,2016-17 ,2017-18 ,2018-19 
Total ,1714.730103,1754.07101,1759.118635,1766.153148,1807.387482,1874.566197,1984.750371,2076.871603,2104.409526,2166.629986
Infectious diseases Total ,25.180105,27.178732,28.651389,25.654681,26.873098,26.319906,27.694859,28.520472,45.748327,32.505155
Cancers & tumours Total ,118.33539,108.820721,121.525869,124.147417,137.259902,142.5079,151.182026,155.675689,161.651264,173.946663
Blood disorders Total ,13.769074,12.171515,12.090528,11.153748,13.13407,14.890197,17.496719,17.97094,22.663401,22.44345
"Endocrine, nutritional & metabolic problems Total ",54.551319,57.033385,58.227294,61.131513,63.213914,68.868459,71.557742,75.139335,73.724902,80.870979
Diabetes ,27.091214,28.367485,29.731529,28.947036,30.809767,32.83113,34.231663,35.642315,37.021613,40.477498
"Other endocrine, nutritional and metabolic problems ",27.460105,28.6659,28.495766,32.184477,32.404147,36.037329,45.731878,39.497019,36.703289,40.393481
Mental health problems Total ,216.932048,217.420648,213.570749,212.535886,219.631634,232.575176,234.970424,247.240377,245.46323,239.90534
General mental illness ,97.016979,92.989491,99.009047,82.758182,86.736909,107.24981,102.868168,88.52568,105.948601,108.733691
Elderly mental illness ,74.388493,87.020606,79.010288,74.611779,71.628307,82.959867,87.38174,93.02108,84.361408,81.540999
Child & adolescent mental health services ,12.960445,13.613317,11.690096,7.649815,7.715848,10.646958,9.955444,10.629666,10.288006,12.494147
Other mental health problems ,32.566132,23.797235,23.861318,47.51611,53.550571,31.718542,34.765072,55.063951,44.865215,37.136502
Learning disability problems Total ,35.875337,36.196812,33.3331,37.622545,36.432875,40.685123,46.677623,47.500055,49.208517,54.931626
Neurological system problems Total ,51.438756,54.316318,51.412173,74.150375,79.782931,81.969285,93.492899,97.80908,91.977632,96.140786
Eye/vision problems Total ,40.596098,41.709647,40.961915,40.021063,42.107698,41.490671,43.99486,51.155514,52.450743,56.947344
Hearing problems Total ,9.296296,8.328521,10.576247,8.267566,8.974267,9.478539,11.717579,13.326746,13.752535,13.712471
Circulation problems Total ,143.727962,149.221715,150.756244,142.748817,140.060262,144.188016,149.645536,151.979551,154.32053,164.854907
Coronary Heart Disease ,56.611876,56.548275,54.450964,43.882302,36.644119,36.52706,33.719378,33.995979,33.904891,33.974779
Cerebrovascular disease ,22.780327,23.175243,23.762989,26.689812,30.253347,29.874137,30.082082,31.50773,29.600983,28.661498
Other problems of circulation,64.337181,69.498197,72.542291,72.174445,73.162796,77.786819,85.844076,86.475842,90.814656,102.218629
Respiratory problems Total ,110.210028,109.151562,114.61843,121.109904,121.591302,133.081721,140.327398,149.341624,143.039442,141.074741
Dental problems Total ,59.261488,75.879662,66.75204,64.952375,63.945579,64.184871,64.960654,64.599018,66.330887,70.523405
Gastro intestinal problems Total ,98.92979,96.321198,100.535113,94.004274,101.475493,106.92495,112.411626,128.674403,118.793291,127.728779
Skin problems Total ,32.42164,33.00865,35.251796,41.332642,41.020049,40.220568,41.963672,45.015072,44.761886,43.973125
Musculo skeletal system problems (exc Trauma) Total ,109.56146,111.352293,122.33657,109.602011,109.565541,110.255877,125.705891,132.431601,114.211571,116.160816
Trauma & injuries (inc burns) Total ,119.719908,117.60485,116.527257,132.900874,130.400102,141.974665,144.361179,145.599158,149.459492,155.73737
Genito Urinary system disorders (exc infertility) Total ,76.78192,84.672339,87.051285,90.486483,97.321318,94.718777,102.833975,103.647119,98.497655,101.651315
Genital tract problems Total ,33.75381,33.406023,36.405277,21.956755,22.689625,20.674713,22.748465,24.662195,25.858276,24.787091
Renal problems ,4.537003,8.342826,6.591227,32.677604,36.015069,33.362105,32.51376,33.632352,32.732257,32.385494
Chronic renal failure,16.013651,18.00888,17.074673,0,0,0,0,0,0,0
Sexually transmitted infections,0,0,0,4.737828,5.539946,5.857327,7.825663,6.602539,5.318742,5.344549
Other problems of the genito urinary system ,22.477456,24.91461,26.980108,31.114296,33.076678,34.824631,39.746088,38.750034,34.58838,39.134181
Maternity & reproductive health Total ,56.87671,58.635593,58.059592,54.264398,56.378721,58.271314,59.444018,64.184971,72.969897,74.644514
Neonates Total ,14.688811,13.795886,14.98306,16.263867,17.228236,16.617172,14.519618,17.135063,20.372729,19.434951
Poisoning Total ,19.484863,18.63281,20.23072,19.191798,21.338289,21.780198,24.822837,29.055783,24.713181,23.467839
Healthy individuals (includes Screening) Total ,42.651046,42.664283,42.785292,33.883043,28.845431,28.937801,33.0476,45.230115,37.432206,43.574952
Social care needs Total ,20.098671,14.147421,13.204583,14.808265,14.795759,15.696862,17.687297,20.372267,20.218934,23.491389
Other Total ,244.339959,265.806448,245.677389,235.919604,236.011011,238.928146,254.234338,245.267652,282.647271,288.908071
General medical services,119.157893,108.885118,110.342749,105.035037,108.385372,115.021103,119.937926,119.398767,132.986729,132.034264
Open access,21.887135,24.975552,32.938321,30.72687,32.390359,32.760398,32.926697,37.592015,28.19346,28.011283
Continuing care,49.709524,53.197304,41.942393,41.176608,28.854011,30.208812,32.588615,35.474954,53.007296,57.976496
Other PHW functions,0,8.2166,8.87604,15.10884,22.983184,23.774359,24.703104,19.929915,21.977912,23.703453
Other expenditure,53.585407,70.531874,51.577887,43.873198,43.398085,37.163475,44.077996,32.872001,46.481874,47.182575
