Category breakdown,2009-10 ,2010-11 ,2011-12 ,2012-13 ,2013-14 ,2014-15 ,2015-16 ,2016-17 ,2017-18 ,2018-19 ,2019-20,2020-21 ,2021-22 ,2022-23 
Infectious diseases Total ,1539.288476,1596.329099,1605.545778,1606.13641,1634.052493,1703.973611,1835.748832,1881.074213,1897.400425,1957.921015,2062.057879,2422.007956,2614.93856,2707.718406
Infectious diseases Total ,31.222534,31.130533,23.426353,27.380098,26.915641,27.603483,31.749902,33.949939,43.609156,35.509459,36.056476,137.858231,123.586208,78.122572
Cancers & tumours Total ,92.276881,87.520641,86.078739,93.099918,99.166579,112.979451,123.039688,127.655631,130.774999,136.627532,146.393785,167.301222,184.519015,205.66772
Blood disorders Total ,19.159813,16.318152,12.361734,12.067982,16.676411,17.180682,22.145709,19.145595,24.433513,26.672326,27.931241,30.700064,40.012452,32.571155
"Endocrine, nutritional & metabolic problems Total ",56.681685,56.628259,58.379307,63.177713,63.825408,70.869985,75.385113,83.595827,83.531926,88.227122,94.021704,103.278853,122.432955,124.871914
Diabetes ,24.483408,23.26427,23.71621,26.357261,27.398144,29.333193,31.359444,34.915714,35.254843,37.22405,42.562686,41.237909,46.358738,45.145319
"Other endocrine, nutritional and metabolic problems ",32.198277,33.363989,34.663098,36.820452,36.427264,41.536792,51.800896,48.680113,48.277084,51.003072,51.459018,62.040944,76.074217,79.726595
Mental health problems Total ,208.912306,216.208589,216.529959,214.083362,219.970138,223.165448,219.652547,227.820586,233.954003,236.542764,248.604868,304.767252,316.278726,322.249393
General mental illness ,108.624093,116.977757,106.72045,102.327998,105.093937,113.074398,110.403965,117.882442,116.637551,111.604483,115.351626,140.629388,155.184645,156.628045
Elderly mental illness ,49.44525,54.048259,62.549545,68.804715,58.223338,56.420838,55.697517,58.630836,66.577543,66.523819,69.013552,82.248265,77.462651,79.307094
Child & adolescent mental health services ,14.272055,10.536192,3.45451,8.93634,9.578403,9.44489,8.862993,10.361399,12.711704,13.727538,17.219318,21.970382,23.4187,26.177261
