Category breakdown,2019-20,2020-21 ,2021-22 ,2022-23 
Total ,2426.365397,2724.058592,2926.224267,3036.700601
Infectious diseases Total ,38.406155,195.405553,128.240894,95.089478
Cancers & tumours Total ,156.432876,177.242237,203.224998,206.339984
Blood disorders Total ,35.906854,34.129894,32.182517,34.935617
"Endocrine, nutritional & metabolic problems Total ",112.864671,126.041962,138.149481,148.899378
Diabetes ,55.11892,54.786086,59.601889,62.600609
"Other endocrine, nutritional and metabolic problems ",57.745751,71.255875,78.547592,86.29877
Mental health problems Total ,287.24711,333.763349,338.447244,368.774224
General mental illness ,159.018737,184.024702,199.167042,206.533786
Elderly mental illness ,69.099164,75.141641,75.698374,90.309395
Child & adolescent mental health services ,22.618765,27.504095,25.553679,29.177726
Other mental health problems ,36.510444,47.092912,38.028151,42.753317
Learning disability problems Total ,25.282523,28.338154,29.430959,30.538418
Neurological system problems Total ,100.92436,108.787363,110.812027,130.452063
Eye/vision problems Total ,71.374892,52.848251,72.518274,77.411861
Hearing problems Total ,17.170863,13.025707,15.138339,17.802273
Circulation problems Total ,179.435638,188.03776,219.227376,223.001472
Coronary Heart Disease ,35.191386,37.262131,43.716592,42.448042
Cerebrovascular disease ,29.258798,38.05729,42.060198,37.407196
Other problems of circulation,114.985454,112.71834,133.450585,143.146233
Respiratory problems Total ,166.163486,141.285417,167.195027,198.743255
Dental problems Total  ,74.96083,75.607753,80.713946,81.701703
Gastro intestinal problems Total ,142.000256,173.652427,182.180298,212.421718
Skin problems Total ,46.8794,55.899517,54.826266,66.86935
Musculo skeletal system problems (exc Trauma) Total ,121.043661,84.046508,104.314109,115.708289
Trauma & injuries (inc burns) Total ,189.92644,235.407237,250.813869,247.782025
Genito Urinary system disorders (exc infertility) Total ,94.400184,102.371944,111.715932,131.432123
Genital tract problems ,26.699081,19.252185,28.779647,33.744523
Renal problems ,26.397863,40.762507,40.365351,49.315104
Chronic renal failure,0,0,0,0
Sexually transmitted infections,0.133062,0.307463,0.158696,0.638685
Other problems of the genito urinary system ,41.170177,42.049789,42.412238,47.733812
Maternity & reproductive health Total ,86.11511,87.09824,84.005829,91.742603
Neonates Total ,23.727427,28.449953,30.613207,24.437629
Poisoning Total ,22.721438,28.043763,24.195701,30.8879
Healthy individuals (includes Screening) Total ,45.820378,84.92438,104.765101,101.822081
Social care needs Total ,33.15512,29.403718,33.771577,36.580621
Other Total ,354.405727,340.247504,409.741293,363.326536
General medical services,119.072352,138.726634,152.700902,145.212639
Open access,33.346486,48.822838,63.32835,62.854984
Continuing care,40.745357,30.623727,33.591881,43.275881
Other PHW functions,26.559051,23.423319,34.657826,41.655692
Other expenditure ,134.682482,98.650986,125.462335,70.327339
