Category breakdown,2009-10 ,2010-11 ,2011-12 ,2012-13 ,2013-14 ,2014-15 ,2015-16 ,2016-17 ,2017-18 ,2018-19 
Total,1851.497995,1870.655872,1909.541382,1903.820032,1949.406038,2012.505314,2095.281864,2184.616356,2221.894097,2313.787544
Infectious diseases Total,27.349786,20.806395,21.942563,20.510076,22.729072,23.60469,25.786178,28.680335,47.562281,44.266188
Cancers & tumours Total,131.641951,110.546834,124.122476,125.830469,132.064277,139.95432,141.320192,141.868057,144.014321,152.173319
Blood disorders Total,19.235776,17.845702,10.933379,12.854797,16.253024,19.444012,18.637414,20.667817,22.396984,25.364968
"Endocrine, nutritional & metabolic problems Total",57.917342,64.930944,63.028729,76.009891,80.270241,82.185769,82.847484,88.542742,102.123435,111.108869
Diabetes ,25.615624,30.77184,29.446601,35.100612,35.243063,35.005092,35.316308,40.140315,46.351558,50.591814
"Other endocrine, nutritional and metabolic problems ",32.301717,34.159105,33.582128,40.909279,45.027177,47.180676,56.021944,48.402426,55.771877,60.517055
Mental health problems Total,240.835683,263.908456,267.253816,223.194483,249.026422,253.411868,254.069731,260.426187,266.154748,276.829725
General mental illness ,137.322644,162.794523,160.299512,130.86825,131.876236,135.19792,135.082687,147.437721,157.949886,158.558758
Elderly mental illness ,65.138437,62.481939,66.401935,51.767971,68.250273,74.317379,74.149593,73.926678,71.523215,67.559325
Child & adolescent mental health services ,10.479192,11.63792,13.104688,15.173181,14.898907,14.918338,16.444737,13.456728,16.387037,21.700743
Other mental health problems ,27.89541,26.994074,27.447682,25.385082,34.001006,28.978231,28.392715,25.60506,20.29461,29.010899
Learning disability problems Total,22.490614,23.254745,23.959215,23.927288,21.137949,23.721242,21.910753,27.398244,25.458105,24.262549
Neurological system problems Total,50.492207,50.537818,45.456017,71.551048,79.562919,93.654776,104.744266,108.998768,104.496954,108.491409
Eye/vision problems Total,39.316227,39.210639,35.742937,41.571593,46.652974,49.445907,52.581478,64.919532,63.522593,56.513469
Hearing problems Total,6.850363,6.972798,6.97905,7.223449,7.376073,9.251704,9.679997,11.557019,11.955146,11.88173
Circulation problems Total,153.229608,157.381803,154.616689,154.023866,148.551119,152.419644,164.047275,169.699946,164.685526,169.827294
Coronary Heart Disease ,56.54303,54.908664,52.746586,43.600369,41.073773,40.760826,39.759777,41.193012,39.872847,39.910654
Cerebrovascular disease ,25.713881,24.995999,26.784312,27.607221,29.266229,30.101809,31.56893,27.261033,27.301729,28.71979
Other problems of circulation,70.972697,77.47714,75.085791,82.816277,78.211116,81.557009,92.718567,101.2459,97.51095,101.196851
Respiratory problems Total,135.381102,127.450511,139.079308,145.14796,144.076778,150.592957,154.667857,166.167669,167.71638,164.61479
Dental problems Total,77.217477,70.836011,63.346735,78.931244,69.752377,70.830624,80.645057,71.0698,71.776077,75.513453
Gastro intestinal problems Total,103.337928,101.010579,99.430183,104.57109,106.00065,112.565589,121.326857,134.248875,134.468326,144.885583
Skin problems Total,38.206237,34.972395,35.932611,44.263722,35.433358,39.319751,33.919127,42.946763,36.919851,43.731032
Musculo skeletal system problems (exc Trauma) Total,98.128739,98.669379,103.256418,127.249159,116.993939,122.728227,118.322879,130.836361,121.156156,125.402765
Trauma & injuries (inc burns) Total,131.731249,140.754854,126.819633,124.338688,143.921761,155.361555,170.276049,168.615426,164.56182,178.001039
Genito Urinary system disorders (exc infertility) Total,87.997157,100.285112,87.955662,97.43352,88.895624,93.606619,89.40948,95.408734,93.834472,90.331127
Genital tract problems ,39.887227,40.721852,41.196669,21.368319,21.12266,20.413041,24.66665,22.985961,28.915367,26.786187
Renal problems ,4.902266,6.871604,5.237395,18.309002,20.352233,20.710202,19.330684,26.363181,23.959934,25.571146
Chronic renal failure,15.380305,10.956256,11.593338,0,0,0,0,0,0,0
Sexually transmitted infections,0,0,0,9.082361,2.243314,4.026121,1.507476,0.239539,0.063832,0
Other problems of the genito urinary system ,27.827359,41.7354,29.92826,48.673838,45.177417,48.457255,43.904671,45.820053,40.895339,37.973794
Maternity & reproductive health Total,74.709284,82.78348,93.168912,57.766114,70.870568,72.713815,68.899631,77.282195,87.858182,86.462869
Neonates Total,10.096214,16.253833,21.717001,23.258381,22.386684,19.689484,20.230284,26.26288,16.069079,17.25144
Poisoning Total,22.489363,19.819813,24.037364,25.036296,25.719897,23.02085,28.12442,26.882814,27.695837,26.136171
Healthy individuals (includes Screening) Total,60.730104,69.349112,79.791306,52.082645,52.168118,35.350931,37.179486,46.459588,47.49467,48.137587
Social care needs Total,7.8218,16.874812,19.412122,21.527664,25.139728,31.437402,35.842805,33.982121,31.356674,30.624583
Other Total,254.291785,236.199848,261.559256,245.516589,244.422486,238.193578,260.813165,241.694486,268.616483,301.975587
General medical services,123.284822,85.323848,88.796766,94.055738,92.296527,94.973375,98.903899,108.842222,114.079547,124.460581
Open access,21.186282,27.438748,33.352645,28.394569,40.2004,32.517993,39.340153,28.111631,25.832787,29.555279
Continuing care,39.936275,56.229481,39.974958,35.750824,32.931532,39.142853,46.850532,37.358488,43.926057,57.271599
Other PHW functions,0,8.311942,8.868934,11.769809,22.969503,23.765996,24.772019,19.547017,21.986177,23.712133
Other expenditure,69.884406,58.895829,90.565953,75.545649,56.024525,47.793361,50.946562,47.835129,62.791915,66.975995
