Category breakdown,2009-10 ,2010-11 ,2011-12 ,2012-13 ,2013-14 ,2014-15 ,2015-16 ,2016-17 ,2017-18 ,2018-19 ,2019-20,2020-21 ,2021-22 ,2022-23
Total ,1721.306484,1755.765024,1759.100769,1765.567393,1803.818156,1876.468937,1974.027449,2049.840795,2091.070449,2167.451653,2307.904308,2631.504784,2834.292618,2946.446727
Infectious diseases Total ,24.835027,26.472891,25.448167,23.688928,24.296881,24.840029,27.358956,27.840656,42.215835,37.248045,38.577507,156.031747,134.738266,91.718302
Cancers & tumours Total ,115.928756,113.798421,116.443494,117.412046,123.316583,132.404131,141.119488,145.458868,148.210181,158.326041,169.985426,198.472445,209.330014,229.560811
Blood disorders Total ,16.005481,14.908543,13.367217,13.355052,15.274692,16.005488,17.756108,18.221595,20.384964,22.394864,26.424353,29.102989,32.916755,31.556511
"Endocrine, nutritional & metabolic problems Total ",54.493378,58.374841,58.924588,63.501509,66.656836,69.770898,71.836515,76.981366,80.069977,85.807458,91.576686,106.860537,119.07057,127.44977
Diabetes ,24.994326,27.69413,28.16055,29.214479,30.896465,31.824089,33.333203,35.753602,37.218231,40.242856,44.384864,46.657156,51.025402,53.278127
"Other endocrine, nutritional and metabolic problems ",29.499051,30.680711,30.764038,34.287097,35.760371,37.946809,46.733661,41.227764,42.851746,45.564602,47.191822,60.203381,68.045167,74.171643
Mental health problems Total ,199.89211,208.759856,209.494936,200.874231,205.836946,214.503081,219.41617,228.792171,238.786878,240.817234,256.860368,295.411061,309.644411,324.423232
General mental illness ,100.901728,107.448,103.257617,82.749305,87.965706,98.923252,100.129672,100.239254,108.309872,110.088404,119.841245,136.928731,146.969429,157.065349
Elderly mental illness ,55.101123,57.810561,60.842837,58.182373,59.023502,65.223256,67.773097,73.489622,74.13837,72.926532,76.465359,87.384796,86.401839,85.776452
Child & adolescent mental health services ,14.417936,13.7472,13.976267,13.93813,13.057509,13.363454,14.963519,15.692661,16.733606,18.173081,23.009063,23.871837,29.279872,31.845351
Other mental health problems ,29.471323,29.754094,31.418215,46.004423,45.790227,36.993119,36.549883,39.370635,39.60503,39.629218,37.544701,47.225696,46.993271,49.736079
Learning disability problems Total ,39.41669,39.254464,38.716851,39.817137,40.204962,42.54638,43.724331,46.403013,49.844638,52.56287,53.457878,60.979315,61.661704,67.94583
Neurological system problems Total ,54.168532,56.148297,54.640438,80.580293,86.565084,91.760483,101.702328,102.097118,95.166001,96.123492,100.845402,115.272054,118.845361,126.766345
Eye/vision problems Total ,37.326767,39.090864,40.030186,38.843751,40.234748,43.632362,45.836923,51.920806,54.924173,58.335224,60.810025,57.425757,64.831585,70.16298
Hearing problems Total ,8.647127,8.708616,8.746114,7.662942,8.994592,9.144869,10.706646,11.161508,11.572207,11.727826,13.1981,11.370506,14.038884,14.718347
Mental health problems Total ,151.318325,152.278483,148.093859,143.877549,139.922109,144.106492,147.187255,150.629958,154.338127,160.615769,175.426653,196.255615,209.840485,225.281499
Coronary Heart Disease ,59.270591,55.816065,52.960042,41.783112,37.745038,37.053312,34.10692,36.277546,33.454268,32.202908,32.428882,36.913522,38.266116,37.54431
Cerebrovascular disease ,24.066382,23.557926,24.568837,26.170133,26.516732,27.12205,27.42512,27.688109,28.07254,28.772418,30.936055,38.680442,39.387924,42.567228
Other problems of circulation,67.981593,72.904492,70.56498,75.92407,75.660339,79.93113,85.655216,86.664303,92.811319,99.640443,112.061716,120.661652,132.186445,145.169962
Respiratory problems Total ,111.3365,114.511673,115.764223,117.68332,117.923152,125.168454,131.168615,138.81359,134.233344,137.215866,146.259623,127.5893,145.811659,165.512431
