Category breakdown,2009-10 ,2010-11 ,2011-12 ,2012-13 ,2013-14 ,2014-15 ,2015-16 ,2016-17 ,2017-18 ,2018-19 ,2019-20,2020-21 ,2021-22 ,2022-23
Total ,1804.046886,1857.655837,1829.299512,1821.932657,1943.945333,2024.257989,2077.185026,2154.920507,2213.232983,2292.61532,2444.041741,2729.23729,2928.45001,3013.200165
Infectious diseases Total ,15.115043,25.54364,20.11047,18.085464,19.165145,18.755432,21.84153,26.39696,46.435555,34.884354,27.392603,152.80109,128.392886,99.032098
Cancers & tumours Total ,127.784229,134.583692,131.032578,107.991956,113.530129,131.524955,160.161999,141.371008,143.121311,174.665375,171.217078,167.566775,181.83189,215.645651
Blood disorders Total ,12.855457,16.80581,19.15305,13.14748,15.29903,13.172236,21.355344,16.608687,13.90621,17.448749,18.750814,21.05987,23.116322,23.561826
"Endocrine, nutritional & metabolic problems Total ",57.815093,61.757131,61.690058,71.713183,77.647583,79.406576,81.608773,85.426136,80.867455,86.893325,89.311031,98.412992,107.863777,125.617603
Diabetes ,27.527027,27.403895,32.206436,31.209691,36.273184,36.645157,38.661851,40.600032,38.631824,40.130783,43.233376,41.225044,49.692677,52.395587
"Other endocrine, nutritional and metabolic problems ",30.288066,34.353236,29.483621,40.503492,41.374399,42.76142,52.589512,44.826104,42.235631,46.762542,46.077655,57.187948,58.1711,73.222016
Mental health problems Total ,210.364768,236.273327,211.208918,198.446679,200.064028,215.239936,258.615769,289.406627,320.605613,311.296929,307.889123,409.879603,435.735673,426.149908
General mental illness ,98.873446,97.789725,90.278721,86.694253,67.77899,82.869443,88.12305,89.885749,53.365982,44.281687,77.606595,94.307849,101.679129,150.246856
Elderly mental illness ,70.408814,87.401958,70.315889,53.056189,82.187203,81.851465,81.634627,95.679418,85.25872,82.586856,106.583733,133.17176,145.625972,105.30203
Child & adolescent mental health services ,18.227788,24.264988,28.949398,17.307251,10.334742,12.973324,29.944919,19.172959,8.232944,18.508259,27.543766,28.542492,34.858873,29.87868
Other mental health problems ,22.854721,26.816657,21.66491,41.388986,39.763092,37.545704,58.913172,84.668501,173.747968,165.920127,96.155029,153.857502,153.571698,140.722341
Learning disability problems Total ,36.513681,19.592489,19.199437,37.880044,35.504571,39.101373,21.521607,11.00652,15.750606,15.978817,9.484558,22.566812,37.374654,59.030854
Neurological system problems Total ,72.836729,62.180025,72.781894,106.15611,97.869,105.951596,117.057794,112.237242,122.143875,106.377364,125.930108,122.855076,125.660106,127.656975
Eye/vision problems Total ,32.87629,49.399985,47.50729,34.416615,29.210082,32.632768,38.573933,34.035576,38.9948,38.904631,50.435451,46.850336,55.595249,58.440579
Hearing problems Total ,10.335938,11.459122,10.53491,8.880104,10.21988,12.196209,11.880209,11.373884,10.784145,10.543749,15.211866,8.669958,13.802597,12.4485
Circulation problems Total ,144.548255,168.317875,183.370543,186.797737,179.051346,196.174902,205.162012,226.00371,212.155886,226.741489,244.406241,313.92887,251.138203,288.233477
Coronary Heart Disease Total ,58.559496,50.5367,52.640697,47.104116,41.482272,41.984448,36.359934,45.1104,39.848477,35.997609,41.711058,45.259521,41.198989,44.50148
Cerebrovascular disease ,30.665475,37.529225,42.178743,58.024531,49.231229,50.326585,63.273577,57.67479,57.731606,61.180293,63.42261,103.130991,61.4591,74.352998
Other problems of circulation,55.323284,80.25195,88.551104,81.66909,88.337844,103.863869,105.528501,123.21852,114.575804,129.563587,139.272573,165.538358,148.480114,169.378999
Respiratory problems Total ,107.341477,106.030125,117.349419,131.540864,147.480127,148.274468,148.403393,173.215909,171.14223,163.988987,156.142644,149.459077,151.396882,186.538415
