Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,Organisation,Organisation_reference,Organisation_sort,Organisation_hierarchy,Year,Programme category,Programme category_reference,Programme category_sort,Programme category_hierarchy,Commissioner,Commissioner_reference,Commissioner_sort,Commissioner_hierarchy,Notes
          56.40,56.39988091,Expenditure per head,2,2,,Wales,W,0,,2023-24,Diabetes,5,5,4,LHB and PHW total,Tot,5,,Total
          76.28,76.28480026,Expenditure per head,2,2,,Wales,W,0,,2023-24,"Other endocrine, nutritional and metabolic problems",6,6,4,LHB and PHW total,Tot,5,,Total
         172.26,172.2644115,Expenditure per head,2,2,,Wales,W,0,,2023-24,General mental illness,8,8,7,LHB and PHW total,Tot,5,,Total
          94.76,94.76034789,Expenditure per head,2,2,,Wales,W,0,,2023-24,Elderly mental illness,9,9,7,LHB and PHW total,Tot,5,,Total
          36.87,36.86986167,Expenditure per head,2,2,,Wales,W,0,,2023-24,Child & adolescent mental health services,10,10,7,LHB and PHW total,Tot,5,,Total
          51.02,51.01855851,Expenditure per head,2,2,,Wales,W,0,,2023-24,Other mental health problems,11,11,7,LHB and PHW total,Tot,5,,Total
          40.81,40.80770983,Expenditure per head,2,2,,Wales,W,0,,2023-24,Coronary Heart Disease,17,17,16,LHB and PHW total,Tot,5,,Total
          40.78,40.78095665,Expenditure per head,2,2,,Wales,W,0,,2023-24,Cerebrovascular disease,18,18,16,LHB and PHW total,Tot,5,,Total
         151.59,151.5947687,Expenditure per head,2,2,,Wales,W,0,,2023-24,Other problems of circulation,19,19,16,LHB and PHW total,Tot,5,,Total
          27.71,27.71252142,Expenditure per head,2,2,,Wales,W,0,,2023-24,Genital tract problems,27,27,26,LHB and PHW total,Tot,5,,Total
          46.90,46.89779461,Expenditure per head,2,2,,Wales,W,0,,2023-24,Renal problems,28,28,26,LHB and PHW total,Tot,5,,Total
           0.00,0,Expenditure per head,2,2,,Wales,W,0,,2023-24,Chronic renal failure,29,29,26,LHB and PHW total,Tot,5,,Total
           2.57,2.56727089,Expenditure per head,2,2,,Wales,W,0,,2023-24,Sexually transmitted infections,43,30,26,LHB and PHW total,Tot,5,,Total
          57.98,57.98319969,Expenditure per head,2,2,,Wales,W,0,,2023-24,Other problems of the genito urinary system,30,31,26,LHB and PHW total,Tot,5,,Total
         181.15,181.1545586,Expenditure per head,2,2,,Wales,W,0,,2023-24,General medical services ,37,38,36,LHB and PHW total,Tot,5,,Total
          35.96,35.95808336,Expenditure per head,2,2,,Wales,W,0,,2023-24,Open access ,38,39,36,LHB and PHW total,Tot,5,,Total
          51.36,51.36040722,Expenditure per head,2,2,,Wales,W,0,,2023-24,Continuing care ,39,40,36,LHB and PHW total,Tot,5,,Total
          43.62,43.61707241,Expenditure per head,2,2,,Wales,W,0,,2023-24,Other PHW functions,42,42,36,LHB and PHW total,Tot,5,,Total
         130.63,130.6320563,Expenditure per head,2,2,,Wales,W,0,,2023-24,Other expenditure,44,43,36,LHB and PHW total,Tot,5,,Total
          49.74,49.73978804,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Diabetes,5,5,4,LHB and PHW total,Tot,5,,Total
          65.17,65.17266019,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,"Other endocrine, nutritional and metabolic problems",6,6,4,LHB and PHW total,Tot,5,,Total
         160.93,160.9281473,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,General mental illness,8,8,7,LHB and PHW total,Tot,5,,Total
         102.87,102.8680167,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Elderly mental illness,9,9,7,LHB and PHW total,Tot,5,,Total
          50.51,50.50877013,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Child & adolescent mental health services,10,10,7,LHB and PHW total,Tot,5,,Total
          41.11,41.10997458,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Other mental health problems,11,11,7,LHB and PHW total,Tot,5,,Total
          47.49,47.48756558,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Coronary Heart Disease,17,17,16,LHB and PHW total,Tot,5,,Total
          53.13,53.13434278,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Cerebrovascular disease,18,18,16,LHB and PHW total,Tot,5,,Total
         166.80,166.7996355,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Other problems of circulation,19,19,16,LHB and PHW total,Tot,5,,Total
          21.65,21.65080111,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Genital tract problems,27,27,26,LHB and PHW total,Tot,5,,Total
          52.13,52.13368475,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Renal problems,28,28,26,LHB and PHW total,Tot,5,,Total
           0.00,0,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Chronic renal failure,29,29,26,LHB and PHW total,Tot,5,,Total
           0.14,0.138338914,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Sexually transmitted infections,43,30,26,LHB and PHW total,Tot,5,,Total
          65.53,65.52932084,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Other problems of the genito urinary system,30,31,26,LHB and PHW total,Tot,5,,Total
         211.06,211.0584987,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,General medical services ,37,38,36,LHB and PHW total,Tot,5,,Total
