Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,Organisation,Organisation_reference,Organisation_sort,Organisation_hierarchy,Year,Programme category,Programme category_reference,Programme category_sort,Programme category_hierarchy,Commissioner,Commissioner_reference,Commissioner_sort,Commissioner_hierarchy,Notes
          70.47,70.47477294,Expenditure per head,2,2,,Wales,W,0,,2023-24,Infectious diseases,1,1,999,LHB and PHW total,Tot,5,,Total
         248.88,248.8803418,Expenditure per head,2,2,,Wales,W,0,,2023-24,Cancers & tumours,2,2,999,LHB and PHW total,Tot,5,,Total
          30.99,30.99404613,Expenditure per head,2,2,,Wales,W,0,,2023-24,Blood disorders,3,3,999,LHB and PHW total,Tot,5,,Total
         132.68,132.6846812,Expenditure per head,2,2,,Wales,W,0,,2023-24,"Endocrine, nutritional & metabolic problems ",4,4,999,LHB and PHW total,Tot,5,,Total
         354.91,354.9131796,Expenditure per head,2,2,,Wales,W,0,,2023-24,Mental health problems,7,7,999,LHB and PHW total,Tot,5,,Total
          75.52,75.51740512,Expenditure per head,2,2,,Wales,W,0,,2023-24,Learning disability problems,12,12,999,LHB and PHW total,Tot,5,,Total
         130.17,130.1721827,Expenditure per head,2,2,,Wales,W,0,,2023-24,Neurological system problems,13,13,999,LHB and PHW total,Tot,5,,Total
          74.79,74.78877994,Expenditure per head,2,2,,Wales,W,0,,2023-24,Eye/vision problems,14,14,999,LHB and PHW total,Tot,5,,Total
          15.75,15.74784616,Expenditure per head,2,2,,Wales,W,0,,2023-24,Hearing problems,15,15,999,LHB and PHW total,Tot,5,,Total
         233.18,233.1834351,Expenditure per head,2,2,,Wales,W,0,,2023-24,Circulation problems,16,16,999,LHB and PHW total,Tot,5,,Total
         174.82,174.8170613,Expenditure per head,2,2,,Wales,W,0,,2023-24,Respiratory problems,20,20,999,LHB and PHW total,Tot,5,,Total
          75.19,75.19190925,Expenditure per head,2,2,,Wales,W,0,,2023-24,Dental problems,21,21,999,LHB and PHW total,Tot,5,,Total
         202.26,202.260571,Expenditure per head,2,2,,Wales,W,0,,2023-24,Gastro intestinal problems,22,22,999,LHB and PHW total,Tot,5,,Total
          67.93,67.93291586,Expenditure per head,2,2,,Wales,W,0,,2023-24,Skin problems,23,23,999,LHB and PHW total,Tot,5,,Total
         147.52,147.5235603,Expenditure per head,2,2,,Wales,W,0,,2023-24,Musculo skeletal system problems (exc Trauma),24,24,999,LHB and PHW total,Tot,5,,Total
         248.25,248.2487379,Expenditure per head,2,2,,Wales,W,0,,2023-24,Trauma & injuries (inc burns),25,25,999,LHB and PHW total,Tot,5,,Total
         135.16,135.1607866,Expenditure per head,2,2,,Wales,W,0,,2023-24,Genito Urinary system disorders (exc infertility),26,26,999,LHB and PHW total,Tot,5,,Total
          99.40,99.39958022,Expenditure per head,2,2,,Wales,W,0,,2023-24,Maternity & reproductive health,31,32,999,LHB and PHW total,Tot,5,,Total
          24.96,24.9643541,Expenditure per head,2,2,,Wales,W,0,,2023-24,Neonates,32,33,999,LHB and PHW total,Tot,5,,Total
          28.45,28.45194372,Expenditure per head,2,2,,Wales,W,0,,2023-24,Poisoning,33,34,999,LHB and PHW total,Tot,5,,Total
          81.44,81.44247272,Expenditure per head,2,2,,Wales,W,0,,2023-24,Healthy individuals (includes Screening),34,35,999,LHB and PHW total,Tot,5,,Total
          29.52,29.5196204,Expenditure per head,2,2,,Wales,W,0,,2023-24,Social care needs,35,36,999,LHB and PHW total,Tot,5,,Total
         442.72,442.7221779,Expenditure per head,2,2,,Wales,W,0,,2023-24,Other,36,37,999,LHB and PHW total,Tot,5,,Total
"       3,124.99",3124.992362,Expenditure per head,2,2,,Wales,W,0,,2023-24,Total,999,44,,LHB and PHW total,Tot,5,,Total
          76.39,76.38800882,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Infectious diseases,1,1,999,LHB and PHW total,Tot,5,,Total
         270.74,270.739751,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Cancers & tumours,2,2,999,LHB and PHW total,Tot,5,,Total
          25.22,25.21615976,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Blood disorders,3,3,999,LHB and PHW total,Tot,5,,Total
         114.91,114.9124482,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,"Endocrine, nutritional & metabolic problems ",4,4,999,LHB and PHW total,Tot,5,,Total
         355.41,355.4149087,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Mental health problems,7,7,999,LHB and PHW total,Tot,5,,Total
          71.54,71.53827216,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Learning disability problems,12,12,999,LHB and PHW total,Tot,5,,Total
         157.91,157.9093168,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Neurological system problems,13,13,999,LHB and PHW total,Tot,5,,Total
          77.53,77.52574323,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Eye/vision problems,14,14,999,LHB and PHW total,Tot,5,,Total
          17.39,17.38776421,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Hearing problems,15,15,999,LHB and PHW total,Tot,5,,Total
         267.42,267.4215438,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Circulation problems,16,16,999,LHB and PHW total,Tot,5,,Total
         178.74,178.7431915,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Respiratory problems,20,20,999,LHB and PHW total,Tot,5,,Total
          65.06,65.06032786,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Dental problems,21,21,999,LHB and PHW total,Tot,5,,Total
         201.50,201.502749,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Gastro intestinal problems,22,22,999,LHB and PHW total,Tot,5,,Total
          71.24,71.24485177,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Skin problems,23,23,999,LHB and PHW total,Tot,5,,Total
         161.03,161.0342439,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Musculo skeletal system problems (exc Trauma),24,24,999,LHB and PHW total,Tot,5,,Total
         252.14,252.1374986,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Trauma & injuries (inc burns),25,25,999,LHB and PHW total,Tot,5,,Total
         139.45,139.4521456,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Genito Urinary system disorders (exc infertility),26,26,999,LHB and PHW total,Tot,5,,Total
          96.37,96.3682167,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Maternity & reproductive health,31,32,999,LHB and PHW total,Tot,5,,Total
          31.67,31.66909588,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Neonates,32,33,999,LHB and PHW total,Tot,5,,Total
          30.95,30.9457385,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Poisoning,33,34,999,LHB and PHW total,Tot,5,,Total
          62.00,62.00322815,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Healthy individuals (includes Screening),34,35,999,LHB and PHW total,Tot,5,,Total
          38.28,38.27787359,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Social care needs,35,36,999,LHB and PHW total,Tot,5,,Total
         420.81,420.8141808,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Other,36,37,999,LHB and PHW total,Tot,5,,Total
