Category breakdown,2019-20,2020-21 ,2021-22 ,2022-23 
Total ,100,100,100,100
Infectious diseases Total ,1.582868,7.173324,4.38247,3.131342
Cancers & tumours Total ,6.44721,6.50655,6.944956,6.794874
Blood disorders Total ,1.479862,1.252906,1.099797,1.150447
"Endocrine, nutritional & metabolic problems Total ",4.651594,4.626992,4.721083,4.903328
Diabetes ,2.271666,2.011193,2.036819,2.061468
"Other endocrine, nutritional and metabolic problems ",2.379928,2.615798,2.684264,2.84186
Mental health problems Total ,11.838576,12.252429,11.566005,12.143911
General mental illness ,6.553784,6.755534,6.806281,6.801256
Elderly mental illness ,2.847847,2.758444,2.586896,2.973931
Child & adolescent mental health services ,0.932208,1.009673,0.873265,0.960836
Other mental health problems ,1.504738,1.728777,1.299564,1.407887
Learning disability problems Total ,1.041992,1.040292,1.005766,1.005645
Neurological system problems Total ,4.159487,3.993576,3.78686,4.295849
Eye/vision problems Total ,2.941638,1.940056,2.47822,2.54921
Hearing problems Total ,0.707678,0.478173,0.517334,0.586237
Circulation problems Total ,7.395244,6.902853,7.491817,7.343545
Coronary Heart Disease,1.450375,1.36789,1.493959,1.397834
Cerebrovascular disease ,1.205869,1.39708,1.437354,1.231837
Other problems of circulation,4.739,4.137882,4.560504,4.713874
Respiratory problems Total ,6.848247,5.186578,5.713678,6.54471
Dental problems Total ,3.089429,2.775555,2.758297,2.690476
Gastro intestinal problems Total ,5.852385,6.374768,6.22578,6.995149
Skin problems Total ,1.932083,2.052067,1.873618,2.20204
Musculo skeletal system problems (exc Trauma) Total ,4.988682,3.085341,3.564802,3.810329
Trauma & injuries (inc burns) Total ,7.827611,8.641783,8.571246,8.15958
Genito Urinary system disorders (exc infertility) Total ,3.8906,3.758067,3.81775,4.328123
Genital tract problems ,1.100373,0.706746,0.983508,1.111223
Renal problems ,1.087959,1.496389,1.379435,1.62397
Chronic renal failure,0,0,0,0
Sexually transmitted infections,0.005484,0.011287,0.005423,0.021032
Other problems of the genito urinary system ,1.696784,1.543645,1.449384,1.571897
Maternity & reproductive health Total ,3.54914,3.19737,2.870793,3.021128
Neonates Total ,0.9779,1.044396,1.046167,0.804743
Poisoning Total ,0.936439,1.029485,0.826857,1.017153
Healthy individuals (includes Screening) Total ,1.888437,3.117568,3.580214,3.35305
Social care needs Total ,1.366452,1.079408,1.154101,1.204617
Other Total ,14.606445,12.490462,14.002389,11.964516
General medical services ,4.907437,5.092645,5.21836,4.781922
Open access ,1.374339,1.792283,2.164166,2.069845
Continuing care ,1.679275,1.124195,1.14796,1.425095
Other PHW functions,1.094602,0.859868,1.184387,1.371742
Other expenditure ,5.550791,3.621471,4.287516,2.315913
