Category breakdown,2009-10 ,2010-11 ,2011-12 ,2012-13 ,2013-14 ,2014-15 ,2015-16 ,2016-17 ,2017-18 ,2018-19 
Total ,100,100,100,100,100,100,100,100,100,100
Infectious diseases Total ,1.477171,1.112251,1.149101,1.077312,1.165949,1.172901,1.230678,1.312832,2.140619,1.913148
Cancers & tumours Total ,7.110024,5.909523,6.50012,6.609368,6.774591,6.954234,6.744686,6.493957,6.481601,6.576806
Blood disorders Total ,1.03893,0.953981,0.572566,0.675211,0.833742,0.96616,0.889494,0.946062,1.008013,1.096253
"Endocrine, nutritional & metabolic problems Total ",3.128134,3.471026,3.300726,3.992493,4.117677,4.083754,3.954002,4.053011,4.596233,4.802034
Diabetes ,1.383508,1.644976,1.542077,1.843694,1.807887,1.739379,1.685516,1.837408,2.086128,2.186537
"Other endocrine, nutritional and metabolic problems ",1.744626,1.82605,1.758649,2.1488,2.30979,2.344375,2.673719,2.215603,2.510105,2.615498
Mental health problems Total ,13.007612,14.107804,13.995707,11.723507,12.774477,12.591861,12.125802,11.920912,11.978732,11.964354
General mental illness ,7.41684,8.702537,8.39466,6.873982,6.764944,6.717891,6.446994,6.748907,7.108795,6.852779
Elderly mental illness ,3.518148,3.340109,3.477376,2.719163,3.50108,3.692779,3.538884,3.383966,3.21902,2.919859
Child & adolescent mental health services ,0.565985,0.62213,0.686274,0.796986,0.764279,0.741282,0.784846,0.615977,0.737526,0.937888
Other mental health problems ,1.50664,1.443027,1.437397,1.333376,1.744173,1.439908,1.355079,1.172062,0.913392,1.253827
Learning disability problems Total ,1.214725,1.243133,1.25471,1.256804,1.084328,1.178692,1.045719,1.254144,1.145784,1.048607
Neurological system problems Total ,2.7271,2.70161,2.380468,3.758288,4.081393,4.653641,4.999054,4.989378,4.703057,4.68891
Eye/vision problems Total ,2.123482,2.09609,1.871807,2.183588,2.393189,2.456933,2.509518,2.971667,2.858939,2.442466
Hearing problems Total ,0.36999,0.372746,0.365483,0.379419,0.378375,0.459711,0.46199,0.529018,0.538061,0.513519
Circulation problems Total ,8.27598,8.413188,8.097059,8.090253,7.620327,7.573627,7.829365,7.767952,7.411943,7.339796
Coronary Heart Disease ,3.053907,2.935263,2.762265,2.290152,2.106989,2.025377,1.897586,1.885595,1.794543,1.724906
Cerebrovascular disease ,1.388815,1.336216,1.402657,1.450096,1.50129,1.495738,1.506667,1.247864,1.228759,1.241246
Other problems of circulation,3.833258,4.14171,3.932137,4.350006,4.012049,4.052511,4.425112,4.634493,4.388641,4.373645
Respiratory problems Total ,7.311977,6.813146,7.283388,7.624038,7.390804,7.48286,7.381721,7.606263,7.548352,7.114516
Dental problems Total ,4.170541,3.786694,3.31738,4.14594,3.578135,3.519525,3.848888,3.253194,3.2304,3.263629
Gastro intestinal problems Total ,5.581315,5.399741,5.207019,5.492698,5.437587,5.593306,5.790479,6.145192,6.051968,6.261836
Skin problems Total ,2.063531,1.869526,1.88174,2.324995,1.817649,1.953771,1.618834,1.965872,1.661639,1.890019
Musculo skeletal system problems (exc Trauma) Total ,5.299965,5.274587,5.407394,6.683886,6.001517,6.098281,5.64711,5.988986,5.452832,5.419805
Trauma & injuries (inc burns) Total ,7.114847,7.524358,6.641366,6.531011,7.382852,7.719808,8.126642,7.718308,7.406375,7.693059
Genito Urinary system disorders (exc infertility) Total ,4.752755,5.36096,4.606114,5.11779,4.560139,4.651248,4.267181,4.367299,4.223175,3.904037
Genital tract problems ,2.154322,2.176876,2.157412,1.122392,1.083543,1.01431,1.177247,1.052174,1.301384,1.157677
Renal problems ,0.264773,0.367337,0.274275,0.961698,1.044022,1.029076,0.922582,1.206765,1.078356,1.105164
Chronic renal failure,0.830695,0.585691,0.607127,0,0,0,0,0,0,0
Sexually transmitted infections,0,0,0,0.47706,0.115077,0.200055,0.071946,0.010965,0.002873,0
Other problems of the genito urinary system ,1.502965,2.231057,1.567301,2.556641,2.317497,2.407808,2.095406,2.097396,1.840562,1.641196
Maternity & reproductive health Total ,4.035072,4.425372,4.879125,3.034221,3.635495,3.613099,3.288323,3.537564,3.954202,3.736854
Neonates Total ,0.5453,0.868884,1.137289,1.221669,1.148385,0.978357,0.965516,1.202174,0.723215,0.745593
Poisoning Total ,1.214658,1.059511,1.258803,1.315056,1.319371,1.14389,1.342274,1.230551,1.246497,1.129584
Healthy individuals (includes Screening) Total ,3.280052,3.707208,4.178559,2.735692,2.676103,1.756563,1.774438,2.12667,2.137576,2.080467
Social care needs Total ,0.422458,0.90208,1.016586,1.130761,1.28961,1.562103,1.710644,1.555519,1.411259,1.323569
Other Total ,13.734381,12.626579,13.697491,12.895998,12.538306,11.835674,12.447641,11.063475,12.089527,13.051137
General medical services ,6.658653,4.561173,4.650162,4.940369,4.734597,4.719161,4.720315,4.982212,5.134338,5.379084
Open access ,1.144278,1.466798,1.746631,1.491452,2.062187,1.615797,1.877559,1.286799,1.162647,1.277355
Continuing care ,2.156971,3.00587,2.093432,1.877847,1.689311,1.944981,2.236001,1.710071,1.976964,2.475232
Other PHW functions,0,0.444333,0.464454,0.618221,1.178282,1.180916,1.182276,0.894757,0.989524,1.024819
Other expenditure ,3.774479,3.148405,4.742812,3.968109,2.873928,2.374819,2.43149,2.189635,2.826053,2.894648
