Category breakdown,2009-10 ,2010-11 ,2011-12 ,2012-13 ,2013-14 ,2014-15 ,2015-16 ,2016-17 ,2017-18 ,2018-19 ,2019-20,2020-21 ,2021-22,2022-23 
Total ,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Infectious diseases Total ,1.442801,1.50777,1.446658,1.341718,1.34697,1.323764,1.385946,1.358186,2.018862,1.718518,1.671538,5.929373,4.753859,3.112844
Cancers & tumours Total ,6.734928,6.481415,6.61949,6.650103,6.83642,7.056026,7.148811,7.096106,7.087766,7.304709,7.365359,7.542165,7.385618,7.791107
Blood disorders Total ,0.929845,0.849119,0.759889,0.756417,0.846798,0.852958,0.899486,0.888927,0.974858,1.033235,1.14495,1.105945,1.161375,1.071002
"Endocrine, nutritional & metabolic problems Total ",3.165815,3.324752,3.349699,3.596663,3.695319,3.718202,3.639084,3.75548,3.829138,3.95891,3.967959,4.060815,4.201068,4.325541
Diabetes ,1.452056,1.577326,1.600849,1.654679,1.712837,1.695956,1.688589,1.744214,1.779865,1.85669,1.923167,1.773022,1.800287,1.808216
"Other endocrine, nutritional and metabolic problems ",1.713759,1.747427,1.74885,1.941987,1.982482,2.022246,2.367427,2.011267,2.049273,2.10222,2.044791,2.287793,2.400781,2.517325
Mental health problems Total ,11.612813,11.889966,11.909206,11.377319,11.41118,11.431209,11.115153,11.161461,11.419361,11.110616,11.129594,11.225937,10.924927,11.01066
General mental illness ,5.861927,6.119726,5.869909,4.686839,4.876639,5.271777,5.072355,4.890099,5.179638,5.079163,5.192644,5.203438,5.185401,5.33067
Elderly mental illness ,3.201122,3.292614,3.458747,3.295392,3.272143,3.475851,3.43324,3.585138,3.545475,3.364621,3.313195,3.320716,3.048445,2.911183
Child & adolescent mental health services ,0.837616,0.782975,0.794512,0.789442,0.723882,0.71216,0.75802,0.765555,0.800241,0.838454,0.996968,0.907155,1.033057,1.080805
Other mental health problems ,1.712149,1.694651,1.786038,2.605645,2.538517,1.971422,1.851539,1.920668,1.894007,1.828378,1.626788,1.794627,1.658025,1.688002
