Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,Organisation,Organisation_reference,Organisation_sort,Organisation_hierarchy,Year,Programme category,Programme category_reference,Programme category_sort,Programme category_hierarchy,Commissioner,Commissioner_reference,Commissioner_sort,Commissioner_hierarchy,Notes
           1.8,1.8048006,Per cent of total,3,3,,Wales,W,0,,2023-24,Diabetes,5,5,4,LHB and PHW total,Tot,5,,Total
           2.4,2.441119575,Per cent of total,3,3,,Wales,W,0,,2023-24,"Other endocrine, nutritional and metabolic problems",6,6,4,LHB and PHW total,Tot,5,,Total
           5.5,5.512474642,Per cent of total,3,3,,Wales,W,0,,2023-24,General mental illness,8,8,7,LHB and PHW total,Tot,5,,Total
           3.0,3.032338544,Per cent of total,3,3,,Wales,W,0,,2023-24,Elderly mental illness,9,9,7,LHB and PHW total,Tot,5,,Total
           1.2,1.179838457,Per cent of total,3,3,,Wales,W,0,,2023-24,Child & adolescent mental health services,10,10,7,LHB and PHW total,Tot,5,,Total
           1.6,1.632597862,Per cent of total,3,3,,Wales,W,0,,2023-24,Other mental health problems,11,11,7,LHB and PHW total,Tot,5,,Total
           1.3,1.305849906,Per cent of total,3,3,,Wales,W,0,,2023-24,Coronary Heart Disease,17,17,16,LHB and PHW total,Tot,5,,Total
           1.3,1.304993802,Per cent of total,3,3,,Wales,W,0,,2023-24,Cerebrovascular disease,18,18,16,LHB and PHW total,Tot,5,,Total
           4.9,4.851044454,Per cent of total,3,3,,Wales,W,0,,2023-24,Other problems of circulation,19,19,16,LHB and PHW total,Tot,5,,Total
           0.9,0.886802853,Per cent of total,3,3,,Wales,W,0,,2023-24,Genital tract problems,27,27,26,LHB and PHW total,Tot,5,,Total
           1.5,1.500733096,Per cent of total,3,3,,Wales,W,0,,2023-24,Renal problems,28,28,26,LHB and PHW total,Tot,5,,Total
           0.0,0,Per cent of total,3,3,,Wales,W,0,,2023-24,Chronic renal failure,29,29,26,LHB and PHW total,Tot,5,,Total
           0.1,0.082152869,Per cent of total,3,3,,Wales,W,0,,2023-24,Sexually transmitted infections,43,30,26,LHB and PHW total,Tot,5,,Total
           1.9,1.855466925,Per cent of total,3,3,,Wales,W,0,,2023-24,Other problems of the genito urinary system,30,31,26,LHB and PHW total,Tot,5,,Total
           5.8,5.796960045,Per cent of total,3,3,,Wales,W,0,,2023-24,General medical services ,37,38,36,LHB and PHW total,Tot,5,,Total
           1.2,1.15066148,Per cent of total,3,3,,Wales,W,0,,2023-24,Open access ,38,39,36,LHB and PHW total,Tot,5,,Total
           1.6,1.643537048,Per cent of total,3,3,,Wales,W,0,,2023-24,Continuing care ,39,40,36,LHB and PHW total,Tot,5,,Total
           1.4,1.395749728,Per cent of total,3,3,,Wales,W,0,,2023-24,Other PHW functions,42,42,36,LHB and PHW total,Tot,5,,Total
           4.2,4.180236019,Per cent of total,3,3,,Wales,W,0,,2023-24,Other expenditure,44,43,36,LHB and PHW total,Tot,5,,Total
           1.6,1.562322915,Per cent of total,3,3,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Diabetes,5,5,4,LHB and PHW total,Tot,5,,Total
           2.0,2.047068241,Per cent of total,3,3,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,"Other endocrine, nutritional and metabolic problems",6,6,4,LHB and PHW total,Tot,5,,Total
           5.1,5.054740724,Per cent of total,3,3,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,General mental illness,8,8,7,LHB and PHW total,Tot,5,,Total
           3.2,3.231076487,Per cent of total,3,3,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Elderly mental illness,9,9,7,LHB and PHW total,Tot,5,,Total
           1.6,1.586476583,Per cent of total,3,3,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Child & adolescent mental health services,10,10,7,LHB and PHW total,Tot,5,,Total
           1.3,1.291261138,Per cent of total,3,3,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Other mental health problems,11,11,7,LHB and PHW total,Tot,5,,Total
           1.5,1.491580781,Per cent of total,3,3,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Coronary Heart Disease,17,17,16,LHB and PHW total,Tot,5,,Total
           1.7,1.668945618,Per cent of total,3,3,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Cerebrovascular disease,18,18,16,LHB and PHW total,Tot,5,,Total
           5.2,5.239163715,Per cent of total,3,3,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Other problems of circulation,19,19,16,LHB and PHW total,Tot,5,,Total
           0.7,0.680049997,Per cent of total,3,3,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Genital tract problems,27,27,26,LHB and PHW total,Tot,5,,Total
           1.6,1.637515026,Per cent of total,3,3,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Renal problems,28,28,26,LHB and PHW total,Tot,5,,Total
           0.0,0,Per cent of total,3,3,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Chronic renal failure,29,29,26,LHB and PHW total,Tot,5,,Total
           0.0,0.004345215,Per cent of total,3,3,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Sexually transmitted infections,43,30,26,LHB and PHW total,Tot,5,,Total
           2.1,2.058270925,Per cent of total,3,3,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Other problems of the genito urinary system,30,31,26,LHB and PHW total,Tot,5,,Total
           6.6,6.629331203,Per cent of total,3,3,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,General medical services ,37,38,36,LHB and PHW total,Tot,5,,Total
           0.9,0.947343612,Per cent of total,3,3,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Open access ,38,39,36,LHB and PHW total,Tot,5,,Total
           0.5,0.518089989,Per cent of total,3,3,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Continuing care ,39,40,36,LHB and PHW total,Tot,5,,Total
           1.4,1.383491477,Per cent of total,3,3,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Other PHW functions,42,42,36,LHB and PHW total,Tot,5,,Total
           3.7,3.739484755,Per cent of total,3,3,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Other expenditure,44,43,36,LHB and PHW total,Tot,5,,Total
           1.8,1.757133067,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,Diabetes,5,5,4,LHB and PHW total,Tot,5,,Total
           2.2,2.221328956,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,"Other endocrine, nutritional and metabolic problems",6,6,4,LHB and PHW total,Tot,5,,Total
           5.3,5.289269216,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,General mental illness,8,8,7,LHB and PHW total,Tot,5,,Total
           3.0,3.021708947,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,Elderly mental illness,9,9,7,LHB and PHW total,Tot,5,,Total
           1.7,1.660051296,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,Child & adolescent mental health services,10,10,7,LHB and PHW total,Tot,5,,Total
           5.2,5.195579722,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,Other mental health problems,11,11,7,LHB and PHW total,Tot,5,,Total
           1.3,1.284380599,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,Coronary Heart Disease,17,17,16,LHB and PHW total,Tot,5,,Total
           1.9,1.867964995,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,Cerebrovascular disease,18,18,16,LHB and PHW total,Tot,5,,Total
           5.0,5.033328996,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,Other problems of circulation,19,19,16,LHB and PHW total,Tot,5,,Total
           0.8,0.784885969,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,Genital tract problems,27,27,26,LHB and PHW total,Tot,5,,Total
           1.1,1.102831274,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,Renal problems,28,28,26,LHB and PHW total,Tot,5,,Total
           0.0,0,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,Chronic renal failure,29,29,26,LHB and PHW total,Tot,5,,Total
           0.0,0.00150285,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,Sexually transmitted infections,43,30,26,LHB and PHW total,Tot,5,,Total
           1.8,1.825403148,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,Other problems of the genito urinary system,30,31,26,LHB and PHW total,Tot,5,,Total
           5.0,4.98341262,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,General medical services ,37,38,36,LHB and PHW total,Tot,5,,Total
           0.1,0.071554316,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,Open access ,38,39,36,LHB and PHW total,Tot,5,,Total
           2.3,2.272320668,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,Continuing care ,39,40,36,LHB and PHW total,Tot,5,,Total
           1.4,1.365708187,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,Other PHW functions,42,42,36,LHB and PHW total,Tot,5,,Total
           5.0,4.965052968,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,Other expenditure,44,43,36,LHB and PHW total,Tot,5,,Total
           2.2,2.178070487,Per cent of total,3,3,,Hywel Dda University Health Board,7A2,3,W,2023-24,Diabetes,5,5,4,LHB and PHW total,Tot,5,,Total
           2.4,2.418667455,Per cent of total,3,3,,Hywel Dda University Health Board,7A2,3,W,2023-24,"Other endocrine, nutritional and metabolic problems",6,6,4,LHB and PHW total,Tot,5,,Total
           4.8,4.803930911,Per cent of total,3,3,,Hywel Dda University Health Board,7A2,3,W,2023-24,General mental illness,8,8,7,LHB and PHW total,Tot,5,,Total
           2.7,2.666619773,Per cent of total,3,3,,Hywel Dda University Health Board,7A2,3,W,2023-24,Elderly mental illness,9,9,7,LHB and PHW total,Tot,5,,Total
           1.2,1.173123053,Per cent of total,3,3,,Hywel Dda University Health Board,7A2,3,W,2023-24,Child & adolescent mental health services,10,10,7,LHB and PHW total,Tot,5,,Total
