Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,Organisation,Organisation_reference,Organisation_sort,Organisation_hierarchy,Year,Programme category,Programme category_reference,Programme category_sort,Programme category_hierarchy,Commissioner,Commissioner_reference,Commissioner_sort,Commissioner_hierarchy,Notes
           2.3,2.255198246,Per cent of total,3,3,,Wales,W,0,,2023-24,Infectious diseases,1,1,999,LHB and PHW total,Tot,5,,Total
           8.0,7.964190404,Per cent of total,3,3,,Wales,W,0,,2023-24,Cancers & tumours,2,2,999,LHB and PHW total,Tot,5,,Total
           1.0,0.9918119,Per cent of total,3,3,,Wales,W,0,,2023-24,Blood disorders,3,3,999,LHB and PHW total,Tot,5,,Total
           4.2,4.245920175,Per cent of total,3,3,,Wales,W,0,,2023-24,"Endocrine, nutritional & metabolic problems ",4,4,999,LHB and PHW total,Tot,5,,Total
          11.4,11.35724951,Per cent of total,3,3,,Wales,W,0,,2023-24,Mental health problems,7,7,999,LHB and PHW total,Tot,5,,Total
           2.4,2.41656287,Per cent of total,3,3,,Wales,W,0,,2023-24,Learning disability problems,12,12,999,LHB and PHW total,Tot,5,,Total
           4.2,4.165520028,Per cent of total,3,3,,Wales,W,0,,2023-24,Neurological system problems,13,13,999,LHB and PHW total,Tot,5,,Total
           2.4,2.393246808,Per cent of total,3,3,,Wales,W,0,,2023-24,Eye/vision problems,14,14,999,LHB and PHW total,Tot,5,,Total
           0.5,0.503932309,Per cent of total,3,3,,Wales,W,0,,2023-24,Hearing problems,15,15,999,LHB and PHW total,Tot,5,,Total
           7.5,7.461888162,Per cent of total,3,3,,Wales,W,0,,2023-24,Circulation problems,16,16,999,LHB and PHW total,Tot,5,,Total
           5.6,5.594159634,Per cent of total,3,3,,Wales,W,0,,2023-24,Respiratory problems,20,20,999,LHB and PHW total,Tot,5,,Total
           2.4,2.406146977,Per cent of total,3,3,,Wales,W,0,,2023-24,Dental problems,21,21,999,LHB and PHW total,Tot,5,,Total
